re_theta,H,cf,band,dev,inside
5725.448887573245,1.3497299485752503,0.0028596688330281062,0.03937519013202478,0.03647035720042724,1
5923.186130269397,1.348244647683489,0.00284293811519031,0.04310710240709189,0.039190120864240674,1
6127.075708947296,1.3467774911793386,0.002826396477901487,0.04687028979258568,0.041921868095372794,1
6337.315725610479,1.345327931706908,0.0028100390261173312,0.05066460875268699,0.04466596527354261,1
6554.11065667508,1.343895448813844,0.00279386108638261,0.05448992268499162,0.0474227666178324,1
6777.671562126634,1.3424795472468927,0.002777858193781929,0.0583461012376391,0.050192614955052006,1
7008.216301475607,1.3410797553773828,0.0027620260798069,0.06223301968625367,0.05297584243005482,1
7245.969756743289,1.3396956237435214,0.0027463606610718793,0.06615055836508897,0.055772771166123114,1
7491.164062714011,1.338326723701967,0.002730858028796413,0.0700986021472634,0.058583713874883925,1
7744.038844700321,1.3369726461780778,0.002715514438998704,0.07407703996959059,0.06140897442226745,1
8004.841464071745,1.335633000507572,0.0027003263033387216,0.07808576439790438,0.06424884835214661,1
8273.82727181058,1.3343074133555026,0.0026852901805905147,0.0821246712292549,0.06710362338319409,1
8551.25987036144,1.3329955277179688,0.0026704027686389824,0.08619365912766422,0.06997357985917585,1
8837.411384054194,1.3316970019902756,0.0026556608970067608,0.09029262929048618,0.07285899117416816,1
9132.562738386354,1.3304115090976352,0.0026410615198640894,0.09442148514270822,0.07576012417208422,1
9437.003948462027,1.3291387356862379,0.002626601709472481,0.0985801320567716,0.07867723951728145,1
9751.034416893346,1.3278783813682038,0.0026122786500386275,0.10276847709574873,0.08161059204178245,1
