geom,path,alpha,level,h_wall,n_tri,cl_LE,cl_MID,cl_TE,cl_OUTSIDE,cl_total,v1_sum_err,v1_ref_err,converged,wall_s,note
m6wing,level-set,3.06,xcoarse_rt,0.06,1774,0.07937545110243033,0.10733614523282052,0.0022130059410953146,0.0,0.1889246022763462,2.7755575615628914e-17,0.0,True,0.6,
m6wing,level-set,3.06,coarse_rt,0.03,6904,0.0901008728375239,0.10863232181206693,0.002279503259259258,0.0,0.20101269790885007,2.7755575615628914e-17,0.0,True,8.1,
m6wing,level-set,3.06,medium_rt,0.015,27066,0.0971945420231827,0.11065578053411076,0.0031708878867371323,1.7595657191253436e-06,0.21102297000974968,5.551115123125783e-17,0.0,True,572.8,
wingbody,conforming,0.0,xcoarse,0.044,3270,0.0011999657102690865,0.0016710513583444338,0.000671208275482141,0.0,0.003542225344095676,1.474514954580286e-17,0.0,True,1.0,
wingbody,conforming,0.0,coarse,0.03,6432,0.00013363961323387496,0.0004217116987373487,0.0003888836221894122,0.0,0.0009442349341606201,1.5720931501039814e-17,0.0,True,2.7,
wingbody,conforming,0.0,medium,0.015,25112,-0.000825966172905084,0.0004093145371845558,-0.0001944103592293355,-5.110320124139219e-07,-0.0006115730269623963,1.1872013788716274e-16,0.0,True,45.5,
wingbody,conforming,3.06,xcoarse,0.044,3270,0.09144651346482387,0.10887809247108045,0.0016598443855301355,0.0,0.20198445032143444,0.0,0.0,True,0.9,
wingbody,conforming,3.06,coarse,0.03,6432,0.09701482138043142,0.10803292071805973,0.0014261484228099849,0.0,0.20647389052130127,1.3877787807814457e-16,0.0,True,2.7,
wingbody,conforming,3.06,medium,0.015,25112,0.10242452400990487,0.1108435696073789,0.0007800591724710684,8.847564435173642e-07,0.21404903754619847,1.1102230246251565e-16,0.0,True,49.0,
wingbody,level-set,0.0,xcoarse,0.044,3274,0.0005039829082675724,-0.0002296658329176664,-0.00011291034699666692,0.0,0.0001614067283532048,3.434210381347835e-17,0.0,True,2.4,
wingbody,level-set,0.0,coarse,0.03,6508,-7.044615672423919e-05,-0.00043942188543025197,2.1987380265100775e-05,0.0,-0.0004878806618893936,3.198396408832238e-18,0.0,True,10.0,
wingbody,level-set,0.0,medium,0.015,25170,-0.0007030994734944224,0.0007904025410365544,-3.2921738631360386e-05,1.602582832688588e-07,5.454158719420217e-05,1.6170197776263495e-16,0.0,True,129.5,
wingbody,level-set,3.06,xcoarse,0.044,3274,0.09176318247574296,0.10469045970433338,0.0019896614313487603,0.0,0.19844330361142495,1.3877787807814457e-16,0.0,True,3.1,
wingbody,level-set,3.06,coarse,0.03,6508,0.09736416992878053,0.10607891524193089,0.0023640189350011783,0.0,0.20580710410571273,1.3877787807814457e-16,0.0,True,12.9,
wingbody,level-set,3.06,medium,0.015,25170,0.10220793524364226,0.11020954377707573,0.002511224485317556,2.0442958485069097e-06,0.21493074780188445,3.885780586188048e-16,0.0,True,169.0,
