re_theta,x,H,cf,cf_coles_fernholz,cf_power_law,band,corr_spread,dev,inside,H_ref_clauser,H_rel_to_ref
2679.007843300256,17.34395540312813,1.3982343141571991,0.0032090037452865336,0.0032829313675951555,0.003335936271473216,0.03203261147885489,0.016016305739427444,0.038050045281778244,0,1.3823836979841626,0.011466148071733295
2782.0617888068114,17.988541824679935,1.3963351070551395,0.003186248560273108,0.003256938355910949,0.0033046049486464123,0.03,0.014529079676226792,0.03581559375857746,0,1.380093481161936,0.011768496927852423
2888.1921413069244,18.657084238114304,1.3944696830599324,0.003163909955095074,0.0032314607424333438,0.0032738194249504154,0.03,0.0130228618682559,0.03357224562164296,0,1.3778433273808925,0.012066942117899826
2997.4993495596386,19.350472965547706,1.3926364952947432,0.003141969714726919,0.003206475364276493,0.0032435564996677155,0.03,0.011497969676245088,0.031319566947948574,0,1.375631445931505,0.0123616317535713
3110.086971690071,20.06963141783176,1.390834104994311,0.0031204108451391775,0.0031819606499810687,0.0032137945372949055,0.03,0.009954692255003334,0.029057144466469342,1,1.373456168387551,0.012652705639060624
3226.061783597106,20.8155173242929,1.3890611718885209,0.003099217469071087,0.0031578964797872016,0.0031845133333756738,0.03,0.008393293518571519,0.02678458382027582,1,1.3713159379841642,0.012940295823034242
3345.533890265183,21.589124008175148,1.3873164456161073,0.0030783747325544408,0.0031342640607111443,0.0031556939942279567,0.03,0.006814014761190593,0.024501508008995754,1,1.3692093001114098,0.013224527107158934
3468.6168401411473,22.391481709484612,1.3855987580398146,0.003057868720891449,0.0031110458145949386,0.003127318828880223,0.03,0.005217076979398715,0.022207555989307792,1,1.3671348937863752,0.013505517515029153
3595.427742734671,23.223658956997376,1.3839070163540155,0.0030376863829603175,0.00308822527755592,0.0030993712517649345,0.03,0.0036026829338976886,0.019902381416711745,1,1.3650914439859432,0.013783378725994
3726.0873895983264,24.08676399125793,1.382240196895501,0.003017815462851314,0.003065787009480292,0.003071835694914467,0.03,0.0019710189842213244,0.017585651521852208,1,1.363077754738598,0.0140582164812586
3860.720378844052,24.981946240463177,1.3805973395567885,0.002998244438091461,0.003043716512388363,0.003044697528571562,0.03,0.00032225672452589386,0.015257046075737635,1,1.361092702887282,0.014330130951500486
3999.45524335241,25.910397851197565,1.37897754275392,0.002978962463606408,0.00302200015665506,0.0030179429892687334,0.03,0.0013434455551339709,0.014241459569045434,1,1.359135232446964,0.014599217085434546
4142.4245828318235,26.873355276057797,1.3773799588669335,0.0029599593208879775,0.0030006251142020344,0.00299155911455246,0.03,0.0030259415610320263,0.013552440497009988,1,1.3572043494904877,0.014865564926917596
4289.765199886136,27.872100920281497,1.375803790116154,0.002941225371722593,0.0029795792978910664,0.002965533683631968,0.03,0.004725095823326157,0.012872262267233592,1,1.3552991175047369,0.015129259915086957
4441.618240250846,28.90796484957266,1.374248284811715,0.002922751516073496,0.002958851306445529,0.002939855163321665,0.03,0.006440782643186337,0.012200609842540455,1,1.353418653166429,0.015390383157904308
4598.1293373616845,29.982326561398246,1.3727127339449647,0.0029045291536371983,0.002938430374309958,0.002914512658722976,0.03,0.008172885145812927,0.011537186985660974,1,1.351562122493066,0.0156490116879604
4759.448761420124,31.096616822114893,1.3711964680884074,0.002886550148683574,0.0029183063259298554,0.002889495868158066,0.03,0.009921294427388441,0.010881714837171153,1,1.3497287373299836,0.015905218704086455
4925.731573125409,32.252319572372166,1.36969885455819,0.0028688067979183544,0.0028984695339956917,0.002864795041925049,0.03,0.01168590878556453,0.010233930606972974,1,1.347917752139071,0.016159073789594025
5097.137782244728,33.45097390333008,1.3682192948309186,0.002851291800973675,0.0028789108812489416,0.002840400944494427,0.03,0.013466633024335675,0.009593586399341603,1,1.3461284610587851,0.016410643122988455
5273.832511199328,34.69417610632245,1.3667572221705577,0.0028339982333635883,0.0028596217254943978,0.002816304819809523,0.030526755650644284,0.015263377825322142,0.008960448125837184,1,1.3443601952085509,0.016659989667823005
5455.986163845269,35.983581798695774,1.3653120994598409,0.002816919521591197,0.0028405938675039643,0.0027924983593920283,0.03415211835680386,0.01707605917840193,0.008745273606708848,1,1.3426123202137363,0.016907173354770766
5643.774599635244,37.32090812865477,1.363883417208878,0.002800049420240687,0.0028218195215321132,0.0027689736729863425,0.03780919573099852,0.01890459786549926,0.011222839551533026,1,1.3408842339300162,0.01715225125099229
5837.379313351513,38.70793606205077,1.362470691718963,0.002783381990893135,0.0028032912881943432,0.0027457232615055757,0.041497837984137725,0.020748918992068863,0.013715413317695324,1,1.3391753643482738,0.01739527771407756
6036.98762060496,40.146512754158344,1.3610734634013597,0.0027669115826277476,0.0027850021294870183,0.002722739992067509,0.04521790312283992,0.02260895156141996,0.016223212899112438,1,1.3374851676632404,0.017636304542600012
6242.792849300893,41.638554009598806,1.3596912952219284,0.002750632814037259,0.0027669453457507876,0.002700017074931144,0.048969256175201696,0.024484628087600848,0.018746451485831983,1,1.3358131264908637,0.017875381112470334
6454.994537277942,43.18604683368656,1.358323771269029,0.002734540556578404,0.0027491145544006616,0.0026775480421641785,0.05275176848605687,0.026375884243028436,0.021285337748099042,1,1.3341587482209631,0.018112554506942047
6673.798636333615,44.79105207859594,1.35697049542892,0.0027186299191626065,0.002731503670264192,0.0026553267278890207,0.056565317074981435,0.028282658537490717,0.023840076103896823,1,1.332521563493133,0.018347869637242775
6899.417722854111,46.45570718787253,1.3556310901626614,0.0027028962338621868,0.0027141068873856515,0.0026333472499706014,0.06040978405097808,0.03020489202548904,0.02641086696498607,1,1.3309011247850797,0.018581369357227873
7132.071215274656,48.1822290429442,1.3543051953708813,0.002687335042659339,0.0026969186621683705,0.002611603993022653,0.06428505607848634,0.03214252803924317,0.02899790697173632,1,1.3292970051036654,0.018813094568933986
