x_c,cp_incompressible,cp_pg,cp_kt,surface
0.030232,-0.793566,-0.916331,-0.976257,upper
0.031591,-0.793887,-0.916702,-0.976677,upper
0.032979,-0.793849,-0.916658,-0.976628,upper
0.034396,-0.793488,-0.916240,-0.976153,upper
0.035842,-0.792832,-0.915483,-0.975294,upper
0.037316,-0.791910,-0.914419,-0.974086,upper
0.038819,-0.790747,-0.913076,-0.972563,upper
0.040350,-0.789366,-0.911481,-0.970753,upper
0.041910,-0.787787,-0.909658,-0.968686,upper
0.043497,-0.786029,-0.907628,-0.966384,upper
0.045113,-0.784109,-0.905411,-0.963871,upper
0.046757,-0.782042,-0.903025,-0.961167,upper
0.048429,-0.779842,-0.900485,-0.958290,upper
0.050129,-0.777522,-0.897806,-0.955256,upper
0.051857,-0.775093,-0.895001,-0.952082,upper
0.053612,-0.772566,-0.892082,-0.948780,upper
0.055395,-0.769949,-0.889061,-0.945363,upper
0.057205,-0.767252,-0.885946,-0.941842,upper
0.059043,-0.764482,-0.882747,-0.938227,upper
0.060908,-0.761645,-0.879472,-0.934529,upper
0.062799,-0.758749,-0.876128,-0.930754,upper
0.064718,-0.755799,-0.872722,-0.926910,upper
0.066664,-0.752800,-0.869259,-0.923005,upper
0.068636,-0.749757,-0.865745,-0.919044,upper
0.070635,-0.746674,-0.862185,-0.915033,upper
0.072661,-0.743555,-0.858583,-0.910977,upper
0.074712,-0.740403,-0.854944,-0.906881,upper
0.076790,-0.737222,-0.851270,-0.902749,upper
0.078895,-0.734014,-0.847566,-0.898584,upper
0.081025,-0.730782,-0.843834,-0.894390,upper
0.083181,-0.727528,-0.840076,-0.890170,upper
0.085362,-0.724254,-0.836296,-0.885927,upper
0.087570,-0.720962,-0.832495,-0.881662,upper
0.089802,-0.717654,-0.828675,-0.877379,upper
0.092060,-0.714331,-0.824839,-0.873080,upper
0.094344,-0.710995,-0.820986,-0.868765,upper
0.096652,-0.707647,-0.817120,-0.864437,upper
0.098985,-0.704288,-0.813241,-0.860097,upper
0.101343,-0.700918,-0.809351,-0.855746,upper
0.103725,-0.697540,-0.805449,-0.851386,upper
0.106132,-0.694153,-0.801539,-0.847017,upper
0.108563,-0.690758,-0.797619,-0.842641,upper
0.111018,-0.687357,-0.793691,-0.838259,upper
0.113498,-0.683948,-0.789756,-0.833870,upper
0.116001,-0.680534,-0.785813,-0.829476,upper
0.118528,-0.677115,-0.781865,-0.825078,upper
0.121078,-0.673690,-0.777910,-0.820675,upper
0.123652,-0.670260,-0.773950,-0.816269,upper
0.126249,-0.666826,-0.769984,-0.811859,upper
0.128869,-0.663388,-0.766014,-0.807447,upper
0.131512,-0.659946,-0.762040,-0.803032,upper
0.134177,-0.656500,-0.758061,-0.798615,upper
0.136865,-0.653051,-0.754078,-0.794196,upper
0.139576,-0.649598,-0.750091,-0.789775,upper
0.142309,-0.646142,-0.746101,-0.785352,upper
0.145064,-0.642683,-0.742107,-0.780928,upper
0.147840,-0.639222,-0.738110,-0.776503,upper
0.150639,-0.635758,-0.734110,-0.772077,upper
0.153459,-0.632291,-0.730106,-0.767651,upper
0.156300,-0.628821,-0.726100,-0.763223,upper
0.159163,-0.625350,-0.722091,-0.758795,upper
0.162047,-0.621875,-0.718080,-0.754367,upper
0.164951,-0.618399,-0.714066,-0.749938,upper
0.167876,-0.614921,-0.710049,-0.745509,upper
0.170822,-0.611440,-0.706031,-0.741080,upper
0.173788,-0.607958,-0.702010,-0.736651,upper
0.176774,-0.604474,-0.697986,-0.732222,upper
0.179780,-0.600988,-0.693961,-0.727794,upper
0.182806,-0.597501,-0.689934,-0.723366,upper
0.185851,-0.594012,-0.685905,-0.718938,upper
0.188916,-0.590521,-0.681875,-0.714512,upper
0.192000,-0.587029,-0.677843,-0.710086,upper
0.195103,-0.583536,-0.673809,-0.705660,upper
0.198224,-0.580042,-0.669774,-0.701236,upper
0.201365,-0.576546,-0.665738,-0.696813,upper
0.204523,-0.573050,-0.661701,-0.692392,upper
0.207700,-0.569553,-0.657663,-0.687972,upper
0.210895,-0.566055,-0.653624,-0.683553,upper
0.214108,-0.562557,-0.649585,-0.679136,upper
0.217339,-0.559058,-0.645544,-0.674722,upper
0.220587,-0.555559,-0.641504,-0.670309,upper
0.223852,-0.552059,-0.637463,-0.665898,upper
0.227134,-0.548560,-0.633423,-0.661491,upper
0.230433,-0.545061,-0.629382,-0.657085,upper
0.233749,-0.541562,-0.625342,-0.652683,upper
0.237081,-0.538063,-0.621302,-0.648283,upper
0.240429,-0.534565,-0.617263,-0.643887,upper
0.243793,-0.531068,-0.613225,-0.639494,upper
0.247173,-0.527572,-0.609187,-0.635105,upper
0.250569,-0.524077,-0.605151,-0.630719,upper
0.253980,-0.520582,-0.601117,-0.626338,upper
0.257406,-0.517090,-0.597084,-0.621960,upper
0.260847,-0.513599,-0.593053,-0.617588,upper
0.264303,-0.510109,-0.589024,-0.613220,upper
0.267774,-0.506622,-0.584997,-0.608856,upper
0.271259,-0.503137,-0.580972,-0.604498,upper
0.274758,-0.499654,-0.576951,-0.600145,upper
0.278271,-0.496174,-0.572932,-0.595798,upper
0.281797,-0.492696,-0.568916,-0.591457,upper
0.285337,-0.489221,-0.564904,-0.587121,upper
0.288890,-0.485749,-0.560895,-0.582792,upper
0.292456,-0.482281,-0.556890,-0.578469,upper
0.296036,-0.478816,-0.552889,-0.574153,upper
0.299627,-0.475354,-0.548892,-0.569844,upper
0.303231,-0.471897,-0.544900,-0.565543,upper
0.306847,-0.468443,-0.540912,-0.561248,upper
0.310475,-0.464994,-0.536929,-0.556961,upper
0.314115,-0.461549,-0.532951,-0.552683,upper
0.317766,-0.458109,-0.528979,-0.548412,upper
