x_c,cp,surface
0.533354,-0.350100,upper
0.537272,-0.346388,upper
0.541186,-0.342693,upper
0.545099,-0.339015,upper
0.549008,-0.335355,upper
0.552915,-0.331712,upper
0.556818,-0.328086,upper
0.560718,-0.324477,upper
0.564614,-0.320885,upper
0.568506,-0.317309,upper
0.572393,-0.313749,upper
0.576277,-0.310206,upper
0.580155,-0.306678,upper
0.584029,-0.303167,upper
0.587897,-0.299670,upper
0.591761,-0.296189,upper
0.595618,-0.292723,upper
0.599469,-0.289272,upper
0.603315,-0.285835,upper
0.607154,-0.282413,upper
0.610986,-0.279006,upper
0.614812,-0.275612,upper
0.618630,-0.272231,upper
0.622441,-0.268865,upper
0.626245,-0.265511,upper
0.630041,-0.262171,upper
0.633828,-0.258844,upper
0.637608,-0.255528,upper
0.641379,-0.252226,upper
0.645141,-0.248935,upper
0.648895,-0.245656,upper
0.652639,-0.242389,upper
0.656373,-0.239132,upper
0.660099,-0.235887,upper
0.663814,-0.232653,upper
0.667519,-0.229428,upper
0.671214,-0.226215,upper
0.674898,-0.223011,upper
0.678571,-0.219816,upper
0.682234,-0.216631,upper
0.685885,-0.213455,upper
0.689525,-0.210288,upper
0.693153,-0.207129,upper
0.696769,-0.203979,upper
0.700373,-0.200836,upper
0.703964,-0.197701,upper
0.707544,-0.194573,upper
0.711110,-0.191452,upper
0.714663,-0.188338,upper
0.718203,-0.185231,upper
0.721729,-0.182129,upper
0.725242,-0.179033,upper
0.728741,-0.175943,upper
0.732226,-0.172858,upper
0.735697,-0.169778,upper
0.739153,-0.166702,upper
0.742594,-0.163631,upper
0.746020,-0.160564,upper
0.749431,-0.157500,upper
0.752827,-0.154439,upper
0.756207,-0.151382,upper
0.759571,-0.148327,upper
0.762919,-0.145274,upper
0.766251,-0.142224,upper
0.769567,-0.139175,upper
0.772866,-0.136128,upper
0.776148,-0.133081,upper
0.779413,-0.130036,upper
0.782661,-0.126991,upper
0.785892,-0.123946,upper
0.789105,-0.120900,upper
0.792300,-0.117854,upper
0.795477,-0.114807,upper
0.798635,-0.111759,upper
0.801776,-0.108709,upper
0.804897,-0.105657,upper
0.808000,-0.102603,upper
0.811084,-0.099547,upper
0.814149,-0.096487,upper
0.817194,-0.093424,upper
0.820220,-0.090358,upper
0.823226,-0.087287,upper
0.826212,-0.084213,upper
0.829178,-0.081133,upper
0.832124,-0.078049,upper
0.835049,-0.074959,upper
0.837953,-0.071863,upper
0.840837,-0.068761,upper
0.843700,-0.065653,upper
0.846541,-0.062538,upper
0.849361,-0.059416,upper
0.852160,-0.056286,upper
0.854936,-0.053148,upper
0.857691,-0.050002,upper
0.860424,-0.046848,upper
0.863135,-0.043684,upper
0.865823,-0.040511,upper
0.868488,-0.037328,upper
0.871131,-0.034134,upper
0.873751,-0.030930,upper
0.876348,-0.027715,upper
0.878922,-0.024489,upper
0.881472,-0.021251,upper
0.883999,-0.018000,upper
0.886502,-0.014737,upper
0.888982,-0.011460,upper
0.891437,-0.008170,upper
0.893868,-0.004866,upper
0.896275,-0.001547,upper
0.898657,0.001787,upper
0.901015,0.005136,upper
0.903348,0.008501,upper
0.905656,0.011883,upper
0.907940,0.015282,upper
0.910198,0.018698,upper
0.912430,0.022132,upper
0.914638,0.025585,upper
0.916819,0.029058,upper
0.918975,0.032550,upper
0.921105,0.036062,upper
0.923210,0.039596,upper
0.925288,0.043152,upper
0.927339,0.046729,upper
0.929365,0.050330,upper
0.931364,0.053955,upper
0.933336,0.057605,upper
0.935282,0.061279,upper
0.937201,0.064980,upper
0.939092,0.068708,upper
0.940957,0.072464,upper
0.942795,0.076249,upper
0.944605,0.080064,upper
0.946388,0.083909,upper
0.948143,0.087786,upper
0.949871,0.091696,upper
0.951571,0.095641,upper
0.953243,0.099620,upper
0.954887,0.103636,upper
0.956503,0.107690,upper
0.958090,0.111784,upper
0.959650,0.115918,upper
0.961181,0.120095,upper
0.962684,0.124315,upper
0.964158,0.128582,upper
0.965604,0.132896,upper
0.967021,0.137259,upper
0.968409,0.141675,upper
0.969768,0.146144,upper
0.971098,0.150670,upper
0.972399,0.155254,upper
0.973671,0.159901,upper
0.974914,0.164611,upper
0.976128,0.169390,upper
0.977312,0.174239,upper
0.978466,0.179163,upper
0.979592,0.184165,upper
0.980687,0.189250,upper
0.981753,0.194423,upper
0.982789,0.199687,upper
0.983796,0.205049,upper
0.984772,0.210514,upper
0.985719,0.216089,upper
0.986636,0.221780,upper
0.987523,0.227596,upper
0.988379,0.233545,upper
0.989206,0.239636,upper
0.990002,0.245880,upper
0.990768,0.252287,upper
0.991504,0.258872,upper
0.992209,0.265648,upper
0.992885,0.272632,upper
0.993529,0.279843,upper
0.994144,0.287301,upper
0.994728,0.295031,upper
0.995281,0.303062,upper
0.995804,0.311425,upper
0.996296,0.320160,upper
0.996757,0.329313,upper
0.997188,0.338937,upper
0.997589,0.349100,upper
0.997958,0.359884,upper
0.998297,0.371391,upper
0.998605,0.383752,upper
0.998882,0.397139,upper
0.999129,0.411781,upper
0.999345,0.427997,upper
0.999530,0.446247,upper
0.999684,0.467238,upper
0.999807,0.492131,upper
0.999900,0.523042,upper
0.999961,0.564435,upper
0.999992,0.626065,upper
