eta,side,x_over_c,cp
0.65,lower,0.00000,0.847766
0.65,lower,0.00551,0.744695
0.65,lower,0.01465,0.278278
0.65,lower,0.02762,0.264097
0.65,lower,0.04655,0.011507
0.65,lower,0.06539,0.009534
0.65,lower,0.07345,0.001244
0.65,lower,0.09838,0.023797
0.65,lower,0.12654,-0.084231
0.65,lower,0.15106,-0.087854
0.65,lower,0.17946,-0.127201
0.65,lower,0.20406,-0.126483
0.65,lower,0.23240,-0.141677
0.65,lower,0.25703,-0.137696
0.65,lower,0.28532,-0.174079
0.65,lower,0.30998,-0.177517
0.65,lower,0.33830,-0.217671
0.65,lower,0.36295,-0.222246
0.65,lower,0.39115,-0.208491
0.65,lower,0.41581,-0.211327
0.65,lower,0.41592,-0.225407
0.65,lower,0.44059,-0.239083
0.65,lower,0.46885,-0.232636
0.65,lower,0.49348,-0.236827
0.65,lower,0.52180,-0.198517
0.65,lower,0.54643,-0.184400
0.65,lower,0.57467,-0.164088
0.65,lower,0.59929,-0.175469
0.65,lower,0.62751,-0.129822
0.65,lower,0.65208,-0.130398
0.65,lower,0.68032,-0.095458
0.65,lower,0.70489,-0.090885
0.65,lower,0.73310,-0.058774
0.65,lower,0.75766,-0.056915
0.65,lower,0.77988,-0.026519
0.65,lower,0.80457,-0.026394
0.65,lower,0.81055,0.014361
0.65,lower,0.83537,0.022340
0.65,lower,0.86439,0.065057
0.65,lower,0.88955,0.074590
0.65,lower,0.91905,0.154170
0.65,lower,0.93894,0.142987
0.65,lower,0.96049,0.205908
0.65,lower,0.97498,0.214216
0.65,lower,0.98823,0.300221
0.65,lower,1.00000,0.300167
0.80,upper,0.00187,0.013948
0.80,upper,0.00969,0.012919
0.80,upper,0.02276,-0.806237
0.80,upper,0.03655,-0.725591
0.80,upper,0.05003,-0.590733
0.80,upper,0.06418,-0.806519
0.80,upper,0.08685,-0.774242
0.80,upper,0.11436,-0.676259
0.80,upper,0.14253,-0.792035
0.80,upper,0.17150,-0.776691
0.80,upper,0.20010,-0.643082
0.80,upper,0.22932,-0.666662
0.80,upper,0.25795,-0.633464
0.80,upper,0.28723,-0.621844
0.80,upper,0.31590,-0.573819
0.80,upper,0.34520,-0.560903
0.80,upper,0.37383,-0.518930
0.80,upper,0.40315,-0.507364
0.80,upper,0.43177,-0.432434
0.80,upper,0.46104,-0.392233
0.80,upper,0.48964,-0.347390
0.80,upper,0.51892,-0.308392
0.80,upper,0.54756,-0.242520
0.80,upper,0.57688,-0.215464
0.80,upper,0.60542,-0.167913
0.80,upper,0.63467,-0.154170
0.80,upper,0.66330,-0.101553
0.80,upper,0.69259,-0.085464
0.80,upper,0.72110,-0.057805
0.80,upper,0.75025,-0.054957
0.80,upper,0.77874,-0.022512
0.80,upper,0.80788,-0.004467
0.80,upper,0.83629,0.040091
0.80,upper,0.86765,0.062673
0.80,upper,0.89764,0.108496
0.80,upper,0.92665,0.141682
0.80,upper,0.94737,0.136087
0.80,upper,0.95332,0.200184
0.80,upper,0.96878,0.200241
0.80,upper,0.98706,0.286843
0.80,upper,1.00000,0.286007
0.80,lower,0.00000,0.794878
0.80,lower,0.00629,0.713185
0.80,lower,0.01682,0.302885
0.80,lower,0.03317,0.193155
0.80,lower,0.05158,0.007070
0.80,lower,0.07238,0.027902
0.80,lower,0.10423,-0.006558
0.80,lower,0.13112,-0.020322
0.80,lower,0.16279,-0.141414
0.80,lower,0.19000,-0.122409
0.80,lower,0.19607,-0.142856
0.80,lower,0.22332,-0.139775
0.80,lower,0.24858,-0.191885
0.80,lower,0.27590,-0.190461
0.80,lower,0.30723,-0.230913
0.80,lower,0.33456,-0.218781
0.80,lower,0.36583,-0.251371
0.80,lower,0.39307,-0.252651
0.80,lower,0.42442,-0.217714
0.80,lower,0.45168,-0.225700
0.80,lower,0.48298,-0.240058
0.80,lower,0.51024,-0.247540
0.80,lower,0.54155,-0.198460
0.80,lower,0.56880,-0.180874
0.80,lower,0.59846,-0.143585
0.80,lower,0.62569,-0.144046
0.80,lower,0.62729,-0.113609
0.80,lower,0.65450,-0.116344
0.80,lower,0.68574,-0.076936
0.80,lower,0.71292,-0.078961
0.80,lower,0.74414,-0.041060
0.80,lower,0.77131,-0.034498
0.80,lower,0.80251,0.004145
0.80,lower,0.82971,0.005858
0.80,lower,0.86071,0.049956
0.80,lower,0.88728,0.057808
0.80,lower,0.91633,0.124829
0.80,lower,0.93976,0.119918
0.80,lower,0.95390,0.185014
0.80,lower,0.97175,0.190427
0.80,lower,0.98587,0.293596
0.80,lower,0.99918,0.283507
0.90,upper,0.00000,-0.194673
0.90,upper,0.00917,-0.020764
0.90,upper,0.02449,-0.713980
0.90,upper,0.03662,-0.647681
0.90,upper,0.05233,-0.792496
0.90,upper,0.07276,-0.773953
0.90,upper,0.08180,-0.741253
0.90,upper,0.11134,-0.720229
0.90,upper,0.14123,-0.708588
0.90,upper,0.17276,-0.673030
0.90,upper,0.20351,-0.655169
0.90,upper,0.23499,-0.647598
0.90,upper,0.26591,-0.514277
0.90,upper,0.28730,-0.492935
0.90,upper,0.31813,-0.494036
0.90,upper,0.32833,-0.458670
0.90,upper,0.35915,-0.418048
0.90,upper,0.39067,-0.355161
0.90,upper,0.42141,-0.328725
0.90,upper,0.45317,-0.283794
0.90,upper,0.48415,-0.259471
0.90,upper,0.51561,-0.240170
0.90,upper,0.54618,-0.204697
0.90,upper,0.57799,-0.192131
0.90,upper,0.60880,-0.143350
0.90,upper,0.64024,-0.130153
0.90,upper,0.67126,-0.095845
0.90,upper,0.70256,-0.075915
0.90,upper,0.73331,-0.047995
0.90,upper,0.76496,-0.028451
0.90,upper,0.79531,0.004785
0.90,upper,0.82672,0.017178
0.90,upper,0.85808,0.061545
0.90,upper,0.88954,0.086227
0.90,upper,0.91777,0.155904
0.90,upper,0.94672,0.232755
0.90,upper,0.96856,0.209370
0.90,upper,0.98426,0.221311
0.90,upper,0.98620,0.287665
0.90,upper,1.00000,0.282696
0.90,lower,0.00050,0.716091
0.90,lower,0.00963,0.721061
0.90,lower,0.02859,0.092520
0.90,lower,0.04744,0.178927
0.90,lower,0.05852,-0.023941
0.90,lower,0.08480,-0.023526
0.90,lower,0.12209,-0.136231
0.90,lower,0.15381,-0.135702
0.90,lower,0.19076,-0.180239
0.90,lower,0.22075,-0.202728
0.90,lower,0.25450,-0.215061
0.90,lower,0.28386,-0.239097
0.90,lower,0.31189,-0.247205
0.90,lower,0.34131,-0.250652
0.90,lower,0.34716,-0.238478
0.90,lower,0.37663,-0.247136
0.90,lower,0.41024,-0.230827
0.90,lower,0.43961,-0.223457
