side,arm,f,x_tr,n_substep,n_out_theta,n_out_H,n_out_cf,n_out_ctau,worst_theta,worst_H,worst_cf,worst_ctau,dev_H_first,dev_theta_first
side_b,fine,0.4,0.050976,4000,0,1,4,3,0.016101899486298255,0.0438651819384297,0.11590089398010928,0.23341082710623284,0.0438651819384297,0.009475438717559626
side_b,one-per-interval,0.4,0.050976,135,1,3,4,3,0.020806729287909942,0.05507522711036694,0.14636818446885813,0.3401396953159882,0.05507522711036694,0.010179307706913443
side_b,fine,0.5,0.051430000000000003,4000,1,4,3,3,0.022946458758952293,0.05816413848857982,0.15506495307408852,0.3920206021178605,0.05816413848857982,0.009854167885083753
side_b,one-per-interval,0.5,0.051430000000000003,135,8,4,3,3,0.03507808570293758,0.08497174255765394,0.22386885910719845,0.5985203052416399,0.08497174255765394,0.011917802523212284
side_b,fine,0.6000000000000001,0.051884,4000,6,4,3,3,0.02988015473862038,0.0684180492759574,0.182554766059302,0.5297481614125881,0.0684180492759574,0.0098493192906417
side_b,one-per-interval,0.6000000000000001,0.051884,135,8,4,3,3,0.03507808570293758,0.08497174255765394,0.22386885910719845,0.5985203052416399,0.08497174255765394,0.011917802523212284
side_b,fine,0.7000000000000001,0.052337999999999996,4000,8,4,3,3,0.036410754561690406,0.07370132298905374,0.1966786910274525,0.6376611510432812,0.07370132298905374,0.009565617052033515
side_b,one-per-interval,0.7000000000000001,0.052337999999999996,135,8,4,3,3,0.03822833804252801,0.07735204719135003,0.2059807526895614,0.6612479678415344,0.07735204719135003,0.009803625086406531
side_b,fine,0.8,0.052792,4000,8,4,3,4,0.043479523537857556,0.08616083864900492,0.2016458658964091,0.7306151240675349,0.07550095884803731,0.009221999649868473
side_b,one-per-interval,0.8,0.052792,135,10,5,3,4,0.05280593018235846,0.11572052358686924,0.24963969965411292,1.0,0.09457182662806307,0.009796567886917296
side_b,fine,0.9,0.053246,4000,10,5,3,4,0.050436083497348516,0.11134143573609268,0.19774851430649487,0.8010742475389986,0.07388957845783439,0.008925843785671295
side_b,one-per-interval,0.9,0.053246,135,11,5,3,5,0.05602258956774697,0.13191575141851897,0.23463917515175303,1.0,0.07376803296118584,0.008753087143059446
side_b,fine,1.0,0.0537,4000,11,5,3,6,0.05710169520158037,0.13690563671418143,0.2439510470626426,1.0,0.06773765969524637,0.008716264883910751
side_b,one-per-interval,1.0,0.0537,135,11,5,3,6,0.057136772362389565,0.13693325894784847,0.24398410731595632,1.0,0.06750953617119171,0.008714376315699157
