idx,sigma,sigma_rel_max
88,9.9999999999999978e-01,9.9999978228217634e-01
89,9.9999999999999978e-01,9.9999978228217634e-01
90,9.9999999999999978e-01,9.9999978228217634e-01
91,9.9999999999999978e-01,9.9999978228217634e-01
92,9.9999999999999978e-01,9.9999978228217634e-01
93,9.9999999999999978e-01,9.9999978228217634e-01
94,9.9999999999999978e-01,9.9999978228217634e-01
95,9.9999999999999978e-01,9.9999978228217634e-01
96,9.9999999999999978e-01,9.9999978228217634e-01
97,9.9999999999999978e-01,9.9999978228217634e-01
98,9.9999999999999978e-01,9.9999978228217634e-01
99,9.9999999999999956e-01,9.9999978228217612e-01
100,9.9999999999999956e-01,9.9999978228217612e-01
101,9.9999999999999956e-01,9.9999978228217612e-01
102,9.9999999999999933e-01,9.9999978228217590e-01
103,9.9999999999999933e-01,9.9999978228217590e-01
104,9.9999999999999933e-01,9.9999978228217590e-01
105,9.9999999999999933e-01,9.9999978228217590e-01
106,9.9999999999999911e-01,9.9999978228217568e-01
107,9.9999999999999911e-01,9.9999978228217568e-01
108,1.9535184891806844e-02,1.9535180638648911e-02
109,1.7917210982034904e-02,1.7917207081138729e-02
110,1.7212210005885093e-02,1.7212206258480193e-02
111,1.5872401560021825e-02,1.5872398104317106e-02
112,1.5293940129738863e-02,1.5293936799975505e-02
113,1.3975010218878106e-02,1.3975007176269299e-02
114,1.3652251628107227e-02,1.3652248655768718e-02
115,1.2633964393380822e-02,1.2633961642741593e-02
116,1.1498929980143317e-02,1.1498927476621309e-02
117,1.0652659348629325e-02,1.0652657029355517e-02
118,1.0483061754916407e-02,1.0483059472567020e-02
119,1.0228238309236018e-02,1.0228236082366235e-02
120,9.9939178266819952e-03,9.9939156508279583e-03
121,9.4782553054679908e-03,9.4782532418828756e-03
122,9.1122301311210071e-03,9.1122281472260959e-03
123,9.0361457279937944e-03,9.0361437606638149e-03
124,8.5126647253334006e-03,8.5126628719745644e-03
125,8.4158780501440919e-03,8.4158762178574396e-03
126,8.3649910642856744e-03,8.3649892430780262e-03
127,8.1588218109779013e-03,8.1588200346569741e-03
128,8.1286944340753856e-03,8.1286926643137254e-03
129,7.9861903385031949e-03,7.9861885997672168e-03
130,7.9277941751764135e-03,7.9277924491543209e-03
131,7.7932417434854384e-03,7.7932400467578085e-03
132,7.7409994910342282e-03,7.7409978056806675e-03
133,7.6165856796550297e-03,7.6165840213885732e-03
134,7.4744904438435846e-03,7.4744888165137937e-03
135,7.4676162766587400e-03,7.4676146508255783e-03
136,7.3585724368953609e-03,7.3585708348029863e-03
137,7.2240183629916233e-03,7.2240167901940688e-03
138,7.2173781442206510e-03,7.2173765728687908e-03
139,7.1116819791326533e-03,7.1116804307927318e-03
140,7.0444015005262676e-03,7.0443999668345055e-03
141,6.8755469583662099e-03,6.8755454614370911e-03
142,6.8669608278279729e-03,6.8669593327682077e-03
143,6.8392357703570966e-03,6.8392342813335706e-03
144,6.7291252366022116e-03,6.7291237715517115e-03
145,6.6611723866679415e-03,6.6611709364119880e-03
146,6.6295590937385440e-03,6.6295576503653678e-03
147,6.4642591078923990e-03,6.4642577005079756e-03
148,6.4577786600228419e-03,6.4577772540493281e-03
149,6.4321895293702868e-03,6.4321881289679823e-03
150,6.3638177924360594e-03,6.3638164069195011e-03
151,6.2832079810772636e-03,6.2832066131108975e-03
152,6.2577735348915810e-03,6.2577721724627472e-03
153,6.2505943799533378e-03,6.2505930190875341e-03
154,6.2116803215622168e-03,6.2116789691686975e-03
155,6.1151964674246067e-03,6.1151951360373415e-03
156,6.0799429397864948e-03,6.0799416160745509e-03
157,5.9626800525380474e-03,5.9626787543563247e-03
158,5.9248978602841245e-03,5.9248965703282584e-03
159,5.8541704215217798e-03,5.8541691469645380e-03
160,5.8250013052232041e-03,5.8250000370165984e-03
161,5.8129823294525099e-03,5.8129810638626496e-03
162,5.7830049173616845e-03,5.7830036582984410e-03
163,5.7828609736286533e-03,5.7828597145967485e-03
164,5.7078047740986961e-03,5.7078035314078639e-03
165,5.6963749184951945e-03,5.6963736782928457e-03
166,5.6616951775330625e-03,5.6616939448811115e-03
167,5.6434659346238951e-03,5.6434647059407754e-03
168,5.6007559280902954e-03,5.6007547087059050e-03
169,5.5770761965603377e-03,5.5770749823314467e-03
170,5.5584716943021199e-03,5.5584704841237613e-03
171,5.5305177556789114e-03,5.5305165515866228e-03
172,5.4826191354117272e-03,5.4826179417478225e-03
173,5.4502156033468937e-03,5.4502144167378154e-03
174,5.4463585969665449e-03,5.4463574111972054e-03
175,5.4082144140783625e-03,5.4082132366136916e-03
176,5.3592063668139152e-03,5.3592052000191693e-03
177,5.3284052779699687e-03,5.3284041178811694e-03
178,5.3253780986912604e-03,5.3253769392615320e-03
179,5.2918623263057026e-03,5.2918611741729548e-03
180,5.2347188926884546e-03,5.2347177529968513e-03
181,5.2226991822860759e-03,5.2226980452113776e-03
182,5.2100131045471230e-03,5.2100119702344098e-03
183,5.2015836618340148e-03,5.2015825293565418e-03
184,5.1807204720215952e-03,5.1807193440864098e-03
185,5.1129744686253453e-03,5.1129733554396723e-03
186,5.1036616868692965e-03,5.1036605757111822e-03
187,5.0801315168258988e-03,5.0801304107907222e-03
188,5.0782058826631237e-03,5.0782047770471916e-03
189,5.0012136490080808e-03,5.0012125601547304e-03
190,4.9921714260938539e-03,4.9921703392091571e-03
191,4.9819302878954834e-03,4.9819292032404648e-03
192,4.9605959013382384e-03,4.9605948213280954e-03
193,4.9220068177311168e-03,4.9220057461225051e-03
194,4.8902230106968878e-03,4.8902219460081773e-03
195,4.8898984788084609e-03,4.8898974141904075e-03
196,4.8740678150958191e-03,4.8740667539243828e-03
197,4.8448933538451410e-03,4.8448922990255048e-03
198,4.8089231251416493e-03,4.8089220781533737e-03
199,4.7959250487484544e-03,4.7959240045900913e-03
200,4.7592400473577432e-03,4.7592390111863593e-03
201,4.7325501657033368e-03,4.7325491353428150e-03
202,4.7275217332948885e-03,4.7275207040291464e-03
203,4.7007288183182313e-03,4.7007277948857840e-03
204,4.6506759472757083e-03,4.6506749347406638e-03
205,4.6434578940469937e-03,4.6434568830834482e-03
206,4.6211573628248117e-03,4.6211563567164892e-03
207,4.6065840957838248e-03,4.6065830928483618e-03
208,4.5658964139809249e-03,4.5658954199038959e-03
209,4.5558547410094845e-03,4.5558537491187066e-03
210,4.5470864352632227e-03,4.5470854452814612e-03
211,4.5111631475298229e-03,4.5111621653692010e-03
212,4.5092471093835188e-03,4.5092461276400528e-03
213,4.4702678582988781e-03,4.4702668850418901e-03
214,4.4464482578319923e-03,4.4464472897609558e-03
215,4.4191849091186645e-03,4.4191839469833443e-03
216,4.4040901535937291e-03,4.4040891947448070e-03
217,4.3831360225553154e-03,4.3831350682684810e-03
218,4.3560680810795747e-03,4.3560671326859134e-03
219,4.3282911625570075e-03,4.3282902202108767e-03
220,4.3044060167762212e-03,4.3044050796303118e-03
221,4.2955130056899233e-03,4.2955120704801812e-03
222,4.2531336136364291e-03,4.2531326876534357e-03
223,4.2390370075904354e-03,4.2390360846765243e-03
224,4.2059026745105985e-03,4.2059017588106226e-03
225,4.1955009016654424e-03,4.1954999882301176e-03
226,4.1508629098196727e-03,4.1508620061028343e-03
227,4.1440231315207302e-03,4.1440222292930340e-03
228,4.1159918300216966e-03,4.1159909338969137e-03
229,4.0901951726173792e-03,4.0901942821089891e-03
230,4.0668873946207952e-03,4.0668865091869231e-03
231,4.0486897013639351e-03,4.0486888198920257e-03
232,4.0319986408106625e-03,4.0319977629726944e-03
233,3.9984548987258995e-03,3.9984540281910019e-03
234,3.9921452359379470e-03,3.9921443667767752e-03
235,3.9730184495716699e-03,3.9730175845747407e-03
236,3.9595114437301808e-03,3.9595105816739671e-03
237,3.9255430553878081e-03,3.9255422007271187e-03
238,3.9079335239251495e-03,3.9079326730983690e-03
239,3.9006655516680634e-03,3.9006647024236495e-03
240,3.8843505941371327e-03,3.8843497484447758e-03
241,3.8688224174648713e-03,3.8688215751532754e-03
242,3.8558294722947917e-03,3.8558286328119916e-03
243,3.8331702271326958e-03,3.8331693925832172e-03
244,3.7808104717470836e-03,3.7808096485972566e-03
245,3.7677783200450632e-03,3.7677774997325682e-03
246,3.7541063014042871e-03,3.7541054840684340e-03
247,3.7338985593912324e-03,3.7338977464549650e-03
248,3.6895064838052701e-03,3.6895056805339487e-03
249,3.6738956226845965e-03,3.6738948228120382e-03
