state,arm,eta,foot,j1,d,sat
W M0.82,S2,0.8,0.4513668900738966,0.46531710410110644,-0.013950214027209862,0
W M0.82,S2,0.9,0.3710479020256783,0.37282630329915506,-0.0017784012734767818,0
W M0.82,S2,0.96,0.9856717028026137,0.2890955799193211,0.6965761228832926,1
W M0.82,S2,0.99,0.9753346931603681,0.2236815095254519,0.7516531836349163,1
W M0.82,S3,0.2,0.6139075607811839,0.6203257000274321,-0.006418139246248233,0
W M0.82,S3,0.44,0.543394155618494,0.5545803009717839,-0.011186145353289878,0
W M0.82,S3,0.65,0.515447331206354,0.5255158125965869,-0.010068481390232864,0
W M0.82,S3,0.8,0.4513668900738966,0.46531710410110644,-0.013950214027209862,0
W M0.82,S3,0.9,0.3767209718996567,0.37282630329915506,0.0038946686005016384,0
W M0.82,S3,0.96,0.30210244038427064,0.2890955799193211,0.013006860464949532,0
W M0.82,S3,0.99,0.2565798647418726,0.2236815095254519,0.032898355216420705,0
W M0.8395,P0,0.2,0.6705342486594731,0.676034162687673,-0.005499914028199937,0
W M0.8395,P0,0.44,0.6123522059682991,0.6255630828248574,-0.013210876856558307,0
W M0.8395,P0,0.65,0.5759128677684422,0.5729860759389566,0.002926791829485631,0
W M0.8395,P0,0.8,0.9841854235306934,0.5201747196863,0.46401070384439336,1
W M0.8395,P0,0.9,0.44511257595808695,0.4456864227601006,-0.0005738468020136667,0
W M0.8395,P0,0.96,0.9856717028026137,0.3726865108251922,0.6129851919774215,1
W M0.8395,P0,0.99,0.9811729250069775,0.34381145009775804,0.6373614749092195,1
W M0.8395,P1,0.2,0.6705342486594731,0.676034162687673,-0.005499914028199937,0
W M0.8395,P1,0.44,0.6123522059682991,0.6255630828248574,-0.013210876856558307,0
W M0.8395,P1,0.65,0.5759128677684422,0.5729860759389566,0.002926791829485631,0
W M0.8395,P1,0.8,0.503287755180331,0.5201747196863,-0.01688696450596905,0
W M0.8395,P1,0.9,0.46653672255814094,0.4456864227601006,0.020850299798040317,0
W M0.8395,P1,0.96,0.9920031353257368,0.3726865108251922,0.6193166245005446,1
W M0.8395,P1,0.99,0.9785004028722927,0.34381145009775804,0.6346889527745346,1
W M0.8395,P2,0.2,0.6705342486594731,0.676034162687673,-0.005499914028199937,0
W M0.8395,P2,0.44,0.6209465921842113,0.6255630828248574,-0.004616490640646065,0
W M0.8395,P2,0.65,0.5759128677684422,0.5729860759389566,0.002926791829485631,0
W M0.8395,P2,0.8,0.5071503772526418,0.5201747196863,-0.013024342433658243,0
W M0.8395,P2,0.9,0.46653672255814094,0.4456864227601006,0.020850299798040317,0
W M0.8395,P2,0.96,0.37667784831533363,0.3726865108251922,0.003991337490141411,0
W M0.8395,P2,0.99,0.9753346931603681,0.34381145009775804,0.6315232430626101,1
W M0.8395,P3,0.2,0.6705342486594731,0.676034162687673,-0.005499914028199937,0
W M0.8395,P3,0.44,0.6044771621004362,0.6255630828248574,-0.02108592072442117,0
W M0.8395,P3,0.65,0.5643319084461466,0.5729860759389566,-0.008654167492810005,0
W M0.8395,P3,0.8,0.5245456547884314,0.5201747196863,0.004370935102131379,0
W M0.8395,P3,0.9,0.447188836513951,0.4456864227601006,0.0015024137538504068,0
W M0.8395,P3,0.96,0.37667784831533363,0.3726865108251922,0.003991337490141411,0
W M0.8395,P3,0.99,0.9738007765786793,0.34381145009775804,0.6299893264809212,1
W M0.8395,S1,0.2,0.6705342486594731,0.676034162687673,-0.005499914028199937,0
W M0.8395,S1,0.44,0.6123522059682991,0.6255630828248574,-0.013210876856558307,0
W M0.8395,S1,0.65,0.5759128677684422,0.5729860759389566,0.002926791829485631,0
W M0.8395,S1,0.8,0.5071503772526418,0.5201747196863,-0.013024342433658243,0
W M0.8395,S1,0.9,0.44511257595808695,0.4456864227601006,-0.0005738468020136667,0
W M0.8395,S1,0.96,0.9856717028026137,0.3726865108251922,0.6129851919774215,1
W M0.8395,S1,0.99,0.9785004028722927,0.34381145009775804,0.6346889527745346,1
W M0.8395,S2,0.2,0.6705342486594731,0.676034162687673,-0.005499914028199937,0
W M0.8395,S2,0.44,0.6123522059682991,0.6255630828248574,-0.013210876856558307,0
W M0.8395,S2,0.65,0.5759128677684422,0.5729860759389566,0.002926791829485631,0
W M0.8395,S2,0.8,0.503287755180331,0.5201747196863,-0.01688696450596905,0
W M0.8395,S2,0.9,0.447188836513951,0.4456864227601006,0.0015024137538504068,0
W M0.8395,S2,0.96,0.9856717028026137,0.3726865108251922,0.6129851919774215,1
W M0.8395,S2,0.99,0.9785004028722927,0.34381145009775804,0.6346889527745346,1
W M0.8395,S3,0.2,0.6705342486594731,0.676034162687673,-0.005499914028199937,0
W M0.8395,S3,0.44,0.6123522059682991,0.6255630828248574,-0.013210876856558307,0
W M0.8395,S3,0.65,0.5588406787652771,0.5729860759389566,-0.014145397173679464,0
W M0.8395,S3,0.8,0.503287755180331,0.5201747196863,-0.01688696450596905,0
W M0.8395,S3,0.9,0.447188836513951,0.4456864227601006,0.0015024137538504068,0
W M0.8395,S3,0.96,0.368380241910572,0.3726865108251922,-0.004306268914620215,0
W M0.8395,S3,0.99,0.9753346931603681,0.34381145009775804,0.6315232430626101,1
W M0.86,P0,0.2,0.7434305362080408,0.7363343522107196,0.007096183997321148,0
W M0.86,P0,0.44,0.6766451347077229,0.6811539921683327,-0.004508857460609805,0
W M0.86,P0,0.65,0.637603299419519,0.6333842953593987,0.004219004060120324,0
W M0.86,P0,0.8,0.9841854235306934,0.5789670343823993,0.4052183891482941,1
W M0.86,P0,0.9,0.5368279222329849,0.5227805688362556,0.014047353396729356,0
W M0.86,P0,0.96,0.9921546889509332,0.4798209398581537,0.5123337490927795,1
W M0.86,P0,0.99,0.98513756469765,0.4460916367209732,0.5390459279766768,1
W M0.86,P1,0.2,0.7379938584886239,0.7363343522107196,0.0016595062779042324,0
W M0.86,P1,0.44,0.6766451347077229,0.6811539921683327,-0.004508857460609805,0
W M0.86,P1,0.65,0.637603299419519,0.6333842953593987,0.004219004060120324,0
W M0.86,P1,0.8,0.5798270803275549,0.5789670343823993,0.0008600459451556519,0
W M0.86,P1,0.9,0.5154345982166968,0.5227805688362556,-0.007345970619558773,0
W M0.86,P1,0.96,0.9920031353257368,0.4798209398581537,0.5121821954675831,1
W M0.86,P1,0.99,0.9816632691416428,0.4460916367209732,0.5355716324206696,1
W M0.86,P2,0.2,0.7248595611247314,0.7363343522107196,-0.011474791085988256,0
W M0.86,P2,0.44,0.6766451347077229,0.6811539921683327,-0.004508857460609805,0
W M0.86,P2,0.65,0.637603299419519,0.6333842953593987,0.004219004060120324,0
W M0.86,P2,0.8,0.5751020400613421,0.5789670343823993,-0.003864994321057136,0
W M0.86,P2,0.9,0.5249034476951203,0.5227805688362556,0.002122878858864752,0
W M0.86,P2,0.96,0.9856717028026137,0.4798209398581537,0.50585076294446,1
W M0.86,P2,0.99,0.9753346931603681,0.4460916367209732,0.529243056439395,1
W M0.86,P3,0.2,0.7379938584886239,0.7363343522107196,0.0016595062779042324,0
W M0.86,P3,0.44,0.6766451347077229,0.6811539921683327,-0.004508857460609805,0
W M0.86,P3,0.65,0.637603299419519,0.6333842953593987,0.004219004060120324,0
W M0.86,P3,0.8,0.5798270803275549,0.5789670343823993,0.0008600459451556519,0
W M0.86,P3,0.9,0.5154345982166968,0.5227805688362556,-0.007345970619558773,0
W M0.86,P3,0.96,0.9711054385393004,0.4798209398581537,0.4912844986811467,1
W M0.86,P3,0.99,0.9753346931603681,0.4460916367209732,0.529243056439395,1
W M0.86,S1,0.2,0.7379938584886239,0.7363343522107196,0.0016595062779042324,0
W M0.86,S1,0.44,0.6766451347077229,0.6811539921683327,-0.004508857460609805,0
W M0.86,S1,0.65,0.637603299419519,0.6333842953593987,0.004219004060120324,0
W M0.86,S1,0.8,0.5798270803275549,0.5789670343823993,0.0008600459451556519,0
W M0.86,S1,0.9,0.5368279222329849,0.5227805688362556,0.014047353396729356,0
W M0.86,S1,0.96,0.9856717028026137,0.4798209398581537,0.50585076294446,1
W M0.86,S1,0.99,0.9785004028722927,0.4460916367209732,0.5324087661513195,1
W M0.86,S2,0.2,0.7379938584886239,0.7363343522107196,0.0016595062779042324,0
W M0.86,S2,0.44,0.6766451347077229,0.6811539921683327,-0.004508857460609805,0
W M0.86,S2,0.65,0.637603299419519,0.6333842953593987,0.004219004060120324,0
W M0.86,S2,0.8,0.5798270803275549,0.5789670343823993,0.0008600459451556519,0
W M0.86,S2,0.9,0.5043964945475033,0.5227805688362556,-0.018384074288752217,0
W M0.86,S2,0.96,0.9856717028026137,0.4798209398581537,0.50585076294446,1
W M0.86,S2,0.99,0.9816632691416428,0.4460916367209732,0.5355716324206696,1
W M0.86,S3,0.2,0.7379938584886239,0.7363343522107196,0.0016595062779042324,0
W M0.86,S3,0.44,0.6766451347077229,0.6811539921683327,-0.004508857460609805,0
W M0.86,S3,0.65,0.637603299419519,0.6333842953593987,0.004219004060120324,0
W M0.86,S3,0.8,0.5798270803275549,0.5789670343823993,0.0008600459451556519,0
W M0.86,S3,0.9,0.5043964945475033,0.5227805688362556,-0.018384074288752217,0
W M0.86,S3,0.96,0.9856717028026137,0.4798209398581537,0.50585076294446,1
W M0.86,S3,0.99,0.9753346931603681,0.4460916367209732,0.529243056439395,1
W M0.88,P0,0.2,0.7884646723843592,0.800490567214696,-0.01202589483033678,0
W M0.88,P0,0.44,0.7368883428576719,0.73916087274921,-0.0022725298915381442,0
W M0.88,P0,0.65,0.680449389431921,0.6814392435018977,-0.0009898540699766478,0
W M0.88,P0,0.8,0.9841854235306934,0.6371611084235318,0.3470243151071616,1
W M0.88,P0,0.9,0.5905440080667369,0.5883277435233024,0.0022162645434344874,0
