level,n_nodes,arm,n_picard_seed,entropy_correction,mach,cl,cl_over_alpha0_baseline,cd_pressure,x_shock_upper,x_shock_lower,dx_shock,converged,residual,n_limited,n_floored,n_threads,wall_s
coarse,6106,cold_no_entropy,5,0,0.8,-0.007069010054063291,5.89,0.0070356271068837935,0.4664239931326186,0.4758022157878367,-0.009378222655218094,1,3.836784754194914e-13,0,0,8,1.45
coarse,6106,cold_no_entropy,5,0,0.82,-0.016472936123494365,13.73,0.012034656369172355,0.548287779494658,0.5637638893454149,-0.01547610985075687,1,2.9693372443486754e-12,0,0,8,1.58
coarse,6106,cold_no_entropy,5,0,0.83,-0.01850165396286147,15.42,0.015870810683967448,0.5941213298546123,0.6098652960659929,-0.015743966211380633,1,3.670288457438333e-12,0,0,8,1.65
coarse,6106,cold_no_entropy,5,0,0.84,-0.02259099054449364,18.83,0.02091747822143651,0.636671965597218,0.6525681863530707,-0.01589622075585273,1,7.60949075239959e-11,0,0,8,1.64
coarse,6106,cold_no_entropy,5,0,0.85,-0.01587206998731019,13.23,0.024577575805857656,0.6682498346128862,0.6681479817412426,0.00010185287164365953,0,1.3182321616687396e-05,0,0,8,2.96
coarse,6106,cold_no_entropy,5,0,0.86,-0.005400656499761824,4.5,0.03502618466970085,0.7360672301746798,0.7343785888663434,0.0016886413083363472,1,2.9789192468302055e-13,0,0,8,1.93
coarse,6106,seed_sweep,0,1,0.86,0.2017272733297859,168.11,0.035305970314568086,0.7974820970345192,0.6041092383473909,0.19337285868712828,1,4.57828792293628e-13,0,0,8,1.05
coarse,6106,seed_sweep,2,1,0.86,0.4359817093322588,363.32,0.0439061291664004,0.8811781071114416,0.7330805136711465,0.14809759344029516,1,2.818062409923701e-13,0,0,8,1.58
coarse,6106,seed_sweep,5,1,0.86,0.06146441738358688,51.22,0.03373742232666968,0.747054065029067,0.6875988057229181,0.05945525930614892,1,3.959522485520149e-13,0,0,8,1.94
coarse,6106,seed_sweep,8,1,0.86,-0.005918786307861751,4.93,0.03319992608944393,0.7154292523092123,0.7136977353602926,0.001731516948919709,1,3.2762366627507775e-13,0,0,8,2.48
coarse,6106,seed_sweep,12,1,0.86,-0.08692468487105111,72.44,0.05858040605877725,0.8308410762642124,0.8275725385646362,0.003268537699576246,0,1.1707039389904477e-07,0,0,8,5.4
medium,21874,cold,5,1,0.78,6.12109600136245e-05,0.05,0.002645034512648254,0.40375303507059174,0.40146297708977113,0.0022900579808206034,1,5.107074750028037e-11,0,0,8,5.63
medium,21874,cold,5,1,0.8,-0.006669211604161062,5.56,0.006586497455158776,0.49030069811742955,0.4948296001394085,-0.0045289020219789755,1,4.812834386699917e-12,0,0,8,10.58
medium,21874,cold,5,1,0.82,-0.02345374636990919,19.54,0.014677096061739336,0.5713851425196785,0.6003290797933994,-0.02894393727372091,1,2.562573374706763e-13,0,0,8,10.18
medium,21874,cold,5,1,0.83,-0.09978993323338464,83.16,0.02126383738787898,0.5899003035885744,0.6873419379630585,-0.09744163437448417,0,8.803623401046275e-08,0,0,8,13.31
medium,21874,cold,5,1,0.84,0.22662700571296682,188.86,0.029156816546210412,0.7693358483474002,0.6647993930648665,0.10453645528253375,0,2.593352148067923e-08,0,0,8,14.54
medium,21874,cold,5,1,0.85,-0.01828124621109014,15.23,0.0478181027414498,0.6353653323712096,0.9692671715399964,-0.3339018391687868,0,6.5292413441863084e-06,0,0,8,21.32
