s_from_te,ds_wake_l05,ds_wake_l10,ds_wake_l20
5.085575,4.479403e-03,4.489020e-03,4.641917e-03
5.115557,4.479398e-03,4.488628e-03,4.639413e-03
5.145539,4.479393e-03,4.488249e-03,4.636947e-03
5.175521,4.479389e-03,4.487880e-03,4.634517e-03
5.205504,4.479385e-03,4.487522e-03,4.632123e-03
5.235486,4.479381e-03,4.487175e-03,4.629765e-03
5.265468,4.479378e-03,4.486838e-03,4.627442e-03
5.295450,4.479375e-03,4.486511e-03,4.625154e-03
5.325433,4.479371e-03,4.486194e-03,4.622900e-03
5.355415,4.479368e-03,4.485886e-03,4.620679e-03
5.385397,4.479366e-03,4.485587e-03,4.618492e-03
5.415379,4.479363e-03,4.485297e-03,4.616336e-03
5.445362,4.479361e-03,4.485016e-03,4.614213e-03
5.475344,4.479358e-03,4.484743e-03,4.612122e-03
5.505326,4.479356e-03,4.484478e-03,4.610062e-03
5.535308,4.479354e-03,4.484221e-03,4.608032e-03
5.565291,4.479352e-03,4.483971e-03,4.606032e-03
5.595273,4.479350e-03,4.483729e-03,4.604063e-03
5.625255,4.479348e-03,4.483494e-03,4.602122e-03
5.655237,4.479347e-03,4.483265e-03,4.600211e-03
5.685220,4.479345e-03,4.483044e-03,4.598328e-03
5.715202,4.479344e-03,4.482829e-03,4.596473e-03
5.745184,4.479342e-03,4.482621e-03,4.594645e-03
5.775166,4.479341e-03,4.482418e-03,4.592845e-03
5.805149,4.479340e-03,4.482222e-03,4.591071e-03
5.835131,4.479339e-03,4.482031e-03,4.589324e-03
5.865113,4.479338e-03,4.481846e-03,4.587603e-03
5.895095,4.479337e-03,4.481667e-03,4.585908e-03
5.925078,4.479336e-03,4.481493e-03,4.584237e-03
5.955060,4.479335e-03,4.481324e-03,4.582592e-03
5.985042,4.479334e-03,4.481160e-03,4.580971e-03
6.015024,4.479333e-03,4.481000e-03,4.579374e-03
6.045007,4.479333e-03,4.480846e-03,4.577801e-03
6.074989,4.479332e-03,4.480696e-03,4.576251e-03
6.104971,4.479331e-03,4.480550e-03,4.574725e-03
6.134953,4.479331e-03,4.480409e-03,4.573221e-03
6.164936,4.479330e-03,4.480272e-03,4.571739e-03
6.194918,4.479329e-03,4.480139e-03,4.570280e-03
6.224900,4.479329e-03,4.480010e-03,4.568842e-03
6.254882,4.479328e-03,4.479885e-03,4.567426e-03
6.284865,4.479328e-03,4.479763e-03,4.566031e-03
6.314847,4.479328e-03,4.479645e-03,4.564656e-03
6.344829,4.479327e-03,4.479531e-03,4.563302e-03
6.374811,4.479327e-03,4.479420e-03,4.561968e-03
6.404794,4.479326e-03,4.479312e-03,4.560654e-03
6.434776,4.479326e-03,4.479207e-03,4.559359e-03
6.464758,4.479326e-03,4.479106e-03,4.558084e-03
6.494740,4.479325e-03,4.479007e-03,4.556828e-03
6.524723,4.479325e-03,4.478912e-03,4.555590e-03
6.554705,4.479325e-03,4.478819e-03,4.554371e-03
6.584687,4.479325e-03,4.478729e-03,4.553170e-03
6.614669,4.479324e-03,4.478641e-03,4.551987e-03
6.644652,4.479324e-03,4.478557e-03,4.550821e-03
6.674634,4.479324e-03,4.478474e-03,4.549673e-03
6.704616,4.479324e-03,4.478394e-03,4.548542e-03
6.734598,4.479324e-03,4.478317e-03,4.547428e-03
6.764581,4.479323e-03,4.478242e-03,4.546330e-03
6.794563,4.479323e-03,4.478169e-03,4.545249e-03
6.824545,4.479323e-03,4.478098e-03,4.544183e-03
6.854527,4.479323e-03,4.478029e-03,4.543134e-03
6.884510,4.479323e-03,4.477962e-03,4.542100e-03
6.914492,4.479323e-03,4.477897e-03,4.541081e-03
6.944474,4.479323e-03,4.477835e-03,4.540078e-03
6.974456,4.479322e-03,4.477774e-03,4.539090e-03
7.004438,4.479322e-03,4.477714e-03,4.538116e-03
7.034421,4.479322e-03,4.477657e-03,4.537157e-03
7.064403,4.479322e-03,4.477601e-03,4.536212e-03
7.094385,4.479322e-03,4.477547e-03,4.535281e-03
7.124367,4.479322e-03,4.477495e-03,4.534364e-03
7.154350,4.479322e-03,4.477444e-03,4.533461e-03
7.184332,4.479322e-03,4.477394e-03,4.532571e-03
7.214314,4.479322e-03,4.477346e-03,4.531694e-03
7.244296,4.479322e-03,4.477300e-03,4.530831e-03
7.274279,4.479322e-03,4.477254e-03,4.529980e-03
7.304261,4.479322e-03,4.477211e-03,4.529142e-03
7.334243,4.479321e-03,4.477168e-03,4.528316e-03
7.364225,4.479321e-03,4.477127e-03,4.527503e-03
7.394208,4.479321e-03,4.477087e-03,4.526702e-03
7.424190,4.479321e-03,4.477048e-03,4.525912e-03
7.454172,4.479321e-03,4.477010e-03,4.525135e-03
7.484154,4.479321e-03,4.476973e-03,4.524369e-03
7.514137,4.479321e-03,4.476938e-03,4.523614e-03
7.544119,4.479321e-03,4.476903e-03,4.522871e-03
7.574101,4.479321e-03,4.476870e-03,4.522138e-03
7.604083,4.479321e-03,4.476837e-03,4.521417e-03
7.634066,4.479321e-03,4.476806e-03,4.520706e-03
7.664048,4.479321e-03,4.476775e-03,4.520006e-03
7.694030,4.479321e-03,4.476745e-03,4.519316e-03
7.724012,4.479321e-03,4.476717e-03,4.518637e-03
7.753995,4.479321e-03,4.476689e-03,4.517967e-03
7.783977,4.479321e-03,4.476662e-03,4.517308e-03
7.813959,4.479321e-03,4.476635e-03,4.516659e-03
