x_c,side,ds_ours,ds_xfoil,err_ds,cf_ours,cf_xfoil,err_cf,cf_ours_localframe,err_cf_localframe,window
0.512990,upper,1.663467e-03,1.870710e-03,-0.1108,3.619033e-03,3.456960e-03,+0.0469,2.820134e-03,-0.1842,banded
0.522965,upper,1.694710e-03,1.912463e-03,-0.1139,3.574438e-03,3.419595e-03,+0.0453,2.801925e-03,-0.1806,banded
0.532939,upper,1.725869e-03,1.953941e-03,-0.1167,3.532256e-03,3.382054e-03,+0.0444,2.785207e-03,-0.1765,banded
0.542911,upper,1.757287e-03,1.995727e-03,-0.1195,3.489469e-03,3.345582e-03,+0.0430,2.767711e-03,-0.1727,banded
0.552882,upper,1.788789e-03,2.038613e-03,-0.1225,3.448424e-03,3.309784e-03,+0.0419,2.751349e-03,-0.1687,banded
0.562851,upper,1.820572e-03,2.080917e-03,-0.1251,3.406431e-03,3.274021e-03,+0.0404,2.733917e-03,-0.1650,banded
0.572819,upper,1.852447e-03,2.123850e-03,-0.1278,3.365577e-03,3.239145e-03,+0.0390,2.717164e-03,-0.1611,banded
0.582786,upper,1.884371e-03,2.167838e-03,-0.1308,3.324531e-03,3.204484e-03,+0.0375,2.699930e-03,-0.1575,banded
0.592751,upper,1.916312e-03,2.211941e-03,-0.1337,3.286840e-03,3.169832e-03,+0.0369,2.685164e-03,-0.1529,banded
0.602714,upper,1.948415e-03,2.256015e-03,-0.1363,3.248893e-03,3.136244e-03,+0.0359,2.669941e-03,-0.1487,banded
0.612677,upper,1.980716e-03,2.301108e-03,-0.1392,3.211742e-03,3.102687e-03,+0.0351,2.655148e-03,-0.1442,banded
0.622637,upper,2.013292e-03,2.346188e-03,-0.1419,3.173570e-03,3.069139e-03,+0.0340,2.639242e-03,-0.1401,banded
0.632597,upper,2.046247e-03,2.391564e-03,-0.1444,3.135247e-03,3.035789e-03,+0.0328,2.623139e-03,-0.1359,banded
0.642555,upper,2.079350e-03,2.438723e-03,-0.1474,3.100139e-03,3.003086e-03,+0.0323,2.609544e-03,-0.1310,banded
0.652511,upper,2.112697e-03,2.485836e-03,-0.1501,3.064477e-03,2.969846e-03,+0.0319,2.595324e-03,-0.1261,banded
0.662467,upper,2.146098e-03,2.533238e-03,-0.1528,3.029284e-03,2.937405e-03,+0.0313,2.581299e-03,-0.1212,banded
0.672420,upper,2.179796e-03,2.581706e-03,-0.1557,2.993493e-03,2.904625e-03,+0.0306,2.566491e-03,-0.1164,banded
0.682373,upper,2.214066e-03,2.631274e-03,-0.1586,2.958206e-03,2.871552e-03,+0.0302,2.552104e-03,-0.1112,banded
0.692324,upper,2.248731e-03,2.681447e-03,-0.1614,2.922543e-03,2.839149e-03,+0.0294,2.537310e-03,-0.1063,banded
0.702273,upper,2.284054e-03,2.732623e-03,-0.1642,2.886880e-03,2.806242e-03,+0.0287,2.522506e-03,-0.1011,banded
0.712221,upper,2.319610e-03,2.784898e-03,-0.1671,2.852084e-03,2.772786e-03,+0.0286,2.508338e-03,-0.0954,banded
0.722168,upper,2.355568e-03,2.837721e-03,-0.1699,2.816329e-03,2.739351e-03,+0.0281,2.493202e-03,-0.0899,banded
0.732113,upper,2.392565e-03,2.892254e-03,-0.1728,2.779804e-03,2.705922e-03,+0.0273,2.477442e-03,-0.0844,banded
0.742057,upper,2.430038e-03,2.948285e-03,-0.1758,2.744463e-03,2.671826e-03,+0.0272,2.462774e-03,-0.0782,banded
0.751999,upper,2.468137e-03,3.005397e-03,-0.1788,2.708580e-03,2.637362e-03,+0.0270,2.447638e-03,-0.0719,banded
0.761940,upper,2.506963e-03,3.064349e-03,-0.1819,2.672587e-03,2.602143e-03,+0.0271,2.432409e-03,-0.0652,banded
0.771879,upper,2.546762e-03,3.125468e-03,-0.1852,2.636132e-03,2.566645e-03,+0.0271,2.416777e-03,-0.0584,banded
0.781817,upper,2.588005e-03,3.188809e-03,-0.1884,2.599204e-03,2.530274e-03,+0.0272,2.401006e-03,-0.0511,banded
0.791753,upper,2.630365e-03,3.254272e-03,-0.1917,2.560879e-03,2.492844e-03,+0.0273,2.384107e-03,-0.0436,banded
0.801688,upper,2.674057e-03,3.321954e-03,-0.1950,2.521850e-03,2.454303e-03,+0.0275,2.366667e-03,-0.0357,banded
0.811621,upper,2.719116e-03,3.392793e-03,-0.1986,2.482877e-03,2.415657e-03,+0.0278,2.349488e-03,-0.0274,banded
0.821553,upper,2.766326e-03,3.466966e-03,-0.2021,2.441836e-03,2.374911e-03,+0.0282,2.330736e-03,-0.0186,banded
0.831483,upper,2.815761e-03,3.544522e-03,-0.2056,2.400197e-03,2.332027e-03,+0.0292,2.311804e-03,-0.0087,banded
0.841411,upper,2.867496e-03,3.626627e-03,-0.2093,2.356236e-03,2.288012e-03,+0.0298,2.290981e-03,+0.0013,banded
0.851337,upper,2.922149e-03,3.714240e-03,-0.2133,2.311093e-03,2.242718e-03,+0.0305,2.269573e-03,+0.0120,banded
0.861262,upper,2.980598e-03,3.807248e-03,-0.2171,2.264232e-03,2.195066e-03,+0.0315,2.247081e-03,+0.0237,banded
0.871185,upper,3.043003e-03,3.906396e-03,-0.2210,2.215896e-03,2.144302e-03,+0.0334,2.223820e-03,+0.0371,banded
0.881106,upper,3.110804e-03,4.013643e-03,-0.2249,2.162747e-03,2.090981e-03,+0.0343,2.196475e-03,+0.0505,banded
0.891026,upper,3.186877e-03,4.130261e-03,-0.2284,2.103310e-03,2.034604e-03,+0.0338,2.163696e-03,+0.0634,banded
0.900943,upper,3.269368e-03,4.257571e-03,-0.2321,2.042475e-03,1.975042e-03,+0.0341,2.130347e-03,+0.0786,banded
0.910858,upper,3.362201e-03,4.397961e-03,-0.2355,1.977587e-03,1.910768e-03,+0.0350,2.094027e-03,+0.0959,banded
0.920772,upper,3.467038e-03,4.554522e-03,-0.2388,1.914811e-03,1.842062e-03,+0.0395,2.061647e-03,+0.1192,banded
0.930683,upper,3.591109e-03,4.730064e-03,-0.2408,1.845481e-03,1.767956e-03,+0.0439,2.023488e-03,+0.1445,banded
0.940593,upper,3.747660e-03,4.930203e-03,-0.2399,1.770610e-03,1.687420e-03,+0.0493,1.979185e-03,+0.1729,banded
0.950500,upper,3.905244e-03,5.159877e-03,-0.2432,1.675344e-03,1.599965e-03,+0.0471,1.912888e-03,+0.1956,te
0.960405,upper,4.138256e-03,5.426824e-03,-0.2374,1.646997e-03,1.504131e-03,+0.0950,1.928974e-03,+0.2825,te
0.970307,upper,4.346642e-03,5.750258e-03,-0.2441,1.566310e-03,1.398431e-03,+0.1200,1.893790e-03,+0.3542,te
0.980207,upper,4.884518e-03,6.136955e-03,-0.2041,1.352323e-03,1.283116e-03,+0.0539,1.711584e-03,+0.3339,te
0.990105,upper,5.287395e-03,6.602290e-03,-0.1992,1.335083e-03,1.157407e-03,+0.1535,1.719694e-03,+0.4858,te
1.000000,upper,5.701802e-03,7.131000e-03,-0.2004,1.099672e-03,1.034000e-03,+0.0635,1.479011e-03,+0.4304,te
0.000000,lower,1.592255e-07,4.100000e-05,-0.9961,1.120704e+00,5.138000e-03,+217.1206,6.882221e+00,+1338.4747,pinned
0.002928,lower,2.204895e-04,4.875213e-05,+3.5227,5.142645e-04,2.958666e-03,-0.8262,9.175170e-03,+2.1011,pinned
0.009657,lower,1.933379e-04,6.947182e-05,+1.7830,1.329456e-03,4.761826e-03,-0.7208,4.126952e-03,-0.1333,pinned
0.017890,lower,2.011837e-04,9.242508e-05,+1.1767,1.762446e-03,4.460098e-03,-0.6048,2.949254e-03,-0.3387,pinned
0.026778,lower,1.456256e-04,1.143209e-04,+0.2738,3.160296e-03,3.947232e-03,-0.1994,4.141314e-03,+0.0492,le
0.036008,lower,1.648996e-04,1.349227e-04,+0.2222,3.060968e-03,3.501545e-03,-0.1258,3.494098e-03,-0.0021,le
0.045443,lower,1.664098e-04,1.549553e-04,+0.0739,2.951269e-03,3.154852e-03,-0.0645,3.093416e-03,-0.0195,le
0.055012,lower,1.725826e-04,1.624292e-04,+0.0625,5.395712e-03,3.726322e-03,+0.4480,5.362936e-03,+0.4392,banded
0.064676,lower,1.940965e-04,1.588530e-04,+0.2219,5.637573e-03,5.692206e-03,-0.0096,5.383619e-03,-0.0542,banded
0.074407,lower,2.323595e-04,1.820782e-04,+0.2762,5.429220e-03,5.452289e-03,-0.0042,5.029201e-03,-0.0776,banded
0.084190,lower,2.553746e-04,2.077662e-04,+0.2291,5.713731e-03,5.417488e-03,+0.0547,5.168806e-03,-0.0459,banded
0.094014,lower,3.018515e-04,2.369766e-04,+0.2738,5.502945e-03,5.396157e-03,+0.0198,4.886458e-03,-0.0945,banded
0.103869,lower,3.204391e-04,2.666125e-04,+0.2019,5.576241e-03,5.289459e-03,+0.0542,4.874426e-03,-0.0785,banded
0.113749,lower,3.691773e-04,2.963994e-04,+0.2455,5.223137e-03,5.183533e-03,+0.0076,4.506769e-03,-0.1306,banded
0.123651,lower,4.120159e-04,3.253362e-04,+0.2664,5.055750e-03,5.091991e-03,-0.0071,4.319415e-03,-0.1517,banded
0.133570,lower,4.112502e-04,3.536168e-04,+0.1630,5.275043e-03,5.011631e-03,+0.0526,4.475652e-03,-0.1069,banded
0.143503,lower,4.425568e-04,3.823456e-04,+0.1575,5.212440e-03,4.940187e-03,+0.0551,4.402458e-03,-0.1088,banded
0.153447,lower,4.420427e-04,4.099224e-04,+0.0784,5.273413e-03,4.873425e-03,+0.0821,4.431655e-03,-0.0906,banded
0.163402,lower,5.138165e-04,4.380649e-04,+0.1729,5.041153e-03,4.811026e-03,+0.0478,4.213771e-03,-0.1241,banded
0.173365,lower,5.445609e-04,4.659087e-04,+0.1688,5.024848e-03,4.751319e-03,+0.0576,4.181527e-03,-0.1199,banded
0.183335,lower,5.714075e-04,4.935165e-04,+0.1578,4.974178e-03,4.693424e-03,+0.0598,4.127878e-03,-0.1205,banded
0.193310,lower,5.881839e-04,5.218289e-04,+0.1272,4.955424e-03,4.637255e-03,+0.0686,4.103745e-03,-0.1150,banded
0.203291,lower,6.419374e-04,5.501133e-04,+0.1669,4.858680e-03,4.583866e-03,+0.0600,4.016216e-03,-0.1238,banded
0.213275,lower,6.690140e-04,5.773399e-04,+0.1588,4.782421e-03,4.532015e-03,+0.0553,3.946973e-03,-0.1291,banded
0.223263,lower,7.081124e-04,6.053623e-04,+0.1697,4.705738e-03,4.480748e-03,+0.0502,3.880633e-03,-0.1339,banded
0.233253,lower,7.396469e-04,6.336760e-04,+0.1672,4.643065e-03,4.431344e-03,+0.0478,3.828083e-03,-0.1361,banded
0.243246,lower,7.695668e-04,6.620428e-04,+0.1624,4.583282e-03,4.383566e-03,+0.0456,3.779030e-03,-0.1379,banded
0.253240,lower,7.990938e-04,6.897085e-04,+0.1586,4.523447e-03,4.336610e-03,+0.0431,3.731678e-03,-0.1395,banded
0.263236,lower,8.283801e-04,7.180223e-04,+0.1537,4.464111e-03,4.291003e-03,+0.0403,3.685697e-03,-0.1411,banded
0.273232,lower,8.577536e-04,7.466071e-04,+0.1489,4.402685e-03,4.245927e-03,+0.0369,3.638642e-03,-0.1430,banded
0.283230,lower,8.872551e-04,7.750913e-04,+0.1447,4.341500e-03,4.202863e-03,+0.0330,3.592515e-03,-0.1452,banded
0.293227,lower,9.167161e-04,8.035029e-04,+0.1409,4.280698e-03,4.160246e-03,+0.0290,3.547266e-03,-0.1473,banded
0.303225,lower,9.461046e-04,8.319531e-04,+0.1372,4.221053e-03,4.117953e-03,+0.0250,3.503241e-03,-0.1493,banded
0.313223,lower,9.753284e-04,8.611177e-04,+0.1326,4.162517e-03,4.077717e-03,+0.0208,3.460487e-03,-0.1514,banded
0.323220,lower,1.004187e-03,8.896065e-04,+0.1288,4.106734e-03,4.037576e-03,+0.0171,3.420287e-03,-0.1529,banded
