leg,nx,C,x,flux_over_mdot
regular,80,1.0,3.525,0.718436
regular,80,1.0,3.575,0.718436
regular,80,1.0,3.625,0.718436
regular,80,1.0,3.675,0.718436
regular,80,1.0,3.725,0.718436
regular,80,1.0,3.775,0.718436
regular,80,1.0,3.825,0.718436
regular,80,1.0,3.875,0.718436
regular,80,1.0,3.925,0.718436
regular,80,1.0,3.975,0.718436
regular,80,1.5,0.025,1.0663
regular,80,1.5,0.075,1.0663
regular,80,1.5,0.125,1.0663
regular,80,1.5,0.175,1.0663
regular,80,1.5,0.225,1.0663
regular,80,1.5,0.275,1.0663
regular,80,1.5,0.325,1.0663
regular,80,1.5,0.375,1.0663
regular,80,1.5,0.425,1.0663
regular,80,1.5,0.475,1.0663
regular,80,1.5,0.525,1.0663
regular,80,1.5,0.575,1.0663
regular,80,1.5,0.625,1.0663
regular,80,1.5,0.675,1.0663
regular,80,1.5,0.725,1.0663
regular,80,1.5,0.775,1.0663
regular,80,1.5,0.825,1.0663
regular,80,1.5,0.875,1.0663
regular,80,1.5,0.925,1.0663
regular,80,1.5,0.975,1.0663
regular,80,1.5,1.025,1.0663
regular,80,1.5,1.075,1.0663
regular,80,1.5,1.125,1.0663
regular,80,1.5,1.175,1.0663
regular,80,1.5,1.225,1.0663
regular,80,1.5,1.275,1.0663
regular,80,1.5,1.325,1.0663
regular,80,1.5,1.375,1.0663
regular,80,1.5,1.425,1.0663
regular,80,1.5,1.475,1.0663
regular,80,1.5,1.525,1.0663
regular,80,1.5,1.575,1.0663
regular,80,1.5,1.625,1.0663
regular,80,1.5,1.675,1.0663
regular,80,1.5,1.725,1.0663
regular,80,1.5,1.775,1.0663
regular,80,1.5,1.825,1.0663
regular,80,1.5,1.875,1.0663
regular,80,1.5,1.925,1.0663
regular,80,1.5,1.975,1.0663
regular,80,1.5,2.025,1.0663
regular,80,1.5,2.075,1.0663
regular,80,1.5,2.125,1.0663
regular,80,1.5,2.175,1.0663
regular,80,1.5,2.225,1.0663
regular,80,1.5,2.275,1.0663
regular,80,1.5,2.325,1.0663
regular,80,1.5,2.375,1.0663
regular,80,1.5,2.425,1.0663
regular,80,1.5,2.475,1.0663
regular,80,1.5,2.525,1.0663
regular,80,1.5,2.575,1.0663
regular,80,1.5,2.625,1.0663
regular,80,1.5,2.675,1.0663
regular,80,1.5,2.725,1.0663
regular,80,1.5,2.775,1.0663
regular,80,1.5,2.825,1.0663
regular,80,1.5,2.875,1.0663
regular,80,1.5,2.925,1.0663
regular,80,1.5,2.975,1.0663
regular,80,1.5,3.025,1.0663
regular,80,1.5,3.075,1.0663
regular,80,1.5,3.125,1.0663
regular,80,1.5,3.175,1.0663
regular,80,1.5,3.225,1.0663
regular,80,1.5,3.275,1.0663
regular,80,1.5,3.325,1.0663
regular,80,1.5,3.375,1.0663
regular,80,1.5,3.425,1.0663
regular,80,1.5,3.475,1.0663
regular,80,1.5,3.525,1.0663
regular,80,1.5,3.575,1.0663
regular,80,1.5,3.625,1.0663
regular,80,1.5,3.675,1.0663
regular,80,1.5,3.725,1.0663
regular,80,1.5,3.775,1.0663
regular,80,1.5,3.825,1.0663
regular,80,1.5,3.875,1.0663
regular,80,1.5,3.925,1.0663
regular,80,1.5,3.975,1.0663
regular,80,2.0,0.025,1.0663
regular,80,2.0,0.075,1.0663
regular,80,2.0,0.125,1.0663
regular,80,2.0,0.175,1.0663
regular,80,2.0,0.225,1.0663
regular,80,2.0,0.275,1.0663
regular,80,2.0,0.325,1.0663
regular,80,2.0,0.375,1.0663
regular,80,2.0,0.425,1.0663
regular,80,2.0,0.475,1.0663
regular,80,2.0,0.525,1.0663
regular,80,2.0,0.575,1.0663
regular,80,2.0,0.625,1.0663
regular,80,2.0,0.675,1.0663
regular,80,2.0,0.725,1.0663
regular,80,2.0,0.775,1.0663
regular,80,2.0,0.825,1.0663
regular,80,2.0,0.875,1.0663
regular,80,2.0,0.925,1.0663
regular,80,2.0,0.975,1.0663
