state,arm,eta,x_percell,x_subcell
W M0.86,P3,0.99,0.9753346931603681,0.9753367633289763
W M0.86,S1,0.2,0.7379938584886239,0.7380847750075635
W M0.86,S1,0.44,0.6766451347077229,0.6768171652950704
W M0.86,S1,0.65,0.637603299419519,0.6376136200913
W M0.86,S1,0.8,0.5798270803275549,0.5799995251981759
W M0.86,S1,0.9,0.5368279222329849,0.5368414704788995
W M0.86,S1,0.96,0.9856717028026137,0.9858959583013422
W M0.86,S1,0.99,0.9785004028722927,0.978534601328298
W M0.86,S2,0.2,0.7379938584886239,0.7380114121178023
W M0.86,S2,0.44,0.6766451347077229,0.6767583604100159
W M0.86,S2,0.65,0.637603299419519,0.6376133767244441
W M0.86,S2,0.8,0.5798270803275549,0.5798584426529744
W M0.86,S2,0.9,0.5043964945475033,0.5050024954026755
W M0.86,S2,0.96,0.9856717028026137,0.9858422106351434
W M0.86,S2,0.99,0.9816632691416428,0.9816638998146673
W M0.86,S3,0.2,0.7379938584886239,0.7380108598368232
W M0.86,S3,0.44,0.6766451347077229,0.6767354678650348
W M0.86,S3,0.65,0.637603299419519,0.6376120959046759
W M0.86,S3,0.8,0.5798270803275549,0.5798294763397518
W M0.86,S3,0.9,0.5043964945475033,0.5049233697032249
W M0.86,S3,0.96,0.9856717028026137,0.9857105413073541
W M0.86,S3,0.99,0.9753346931603681,0.9753881274868399
W M0.88,P0,0.2,0.7884646723843592,0.7885633420936983
W M0.88,P0,0.44,0.7368883428576719,0.7369269992335283
W M0.88,P0,0.65,0.680449389431921,0.6810605293509656
W M0.88,P0,0.8,0.9841854235306934,0.9856861792447994
W M0.88,P0,0.9,0.5905440080667369,0.5910689790021028
W M0.88,P0,0.96,0.9921680701166081,0.9923334622184644
W M0.88,P0,0.99,0.9867665143853118,0.9867764034395542
W M0.88,P1,0.2,0.7884646723843592,0.7885979811770242
W M0.88,P1,0.44,0.7368883428576719,0.7369086113860156
W M0.88,P1,0.65,0.680449389431921,0.6808988173315778
W M0.88,P1,0.8,0.6363616595582855,0.6396109896799514
W M0.88,P1,0.9,0.5905440080667369,0.5906558284445853
W M0.88,P1,0.96,0.9920031353257368,0.9920383225534709
W M0.88,P1,0.99,0.98513756469765,0.9851623235710943
W M0.88,P2,0.2,0.7884646723843592,0.7884692910070735
W M0.88,P2,0.44,0.728678492822232,0.7286799438615859
W M0.88,P2,0.65,0.6789812951839803,0.6789856645306225
W M0.88,P2,0.8,0.6161935371316576,0.6175598591994474
W M0.88,P2,0.9,0.5854732349088839,0.5865863100925197
W M0.88,P2,0.96,0.9920031353257368,0.9920171712747282
W M0.88,P2,0.99,0.9816632691416428,0.981668566335604
W M0.88,P3,0.2,0.7884646723843592,0.788548034357134
W M0.88,P3,0.44,0.7368883428576719,0.7368927023476237
W M0.88,P3,0.65,0.680449389431921,0.6811213973778137
W M0.88,P3,0.8,0.6363616595582855,0.6366659369931285
W M0.88,P3,0.9,0.5905440080667369,0.590629994976869
W M0.88,P3,0.96,0.9856717028026137,0.9857287555374531
W M0.88,P3,0.99,0.9816632691416428,0.9816633562306256
W M0.88,S1,0.2,0.7884646723843592,0.7885809966215757
W M0.88,S1,0.44,0.7368883428576719,0.7369066231158736
W M0.88,S1,0.65,0.680449389431921,0.6806320972835916
W M0.88,S1,0.8,0.6363616595582855,0.6379594519275714
W M0.88,S1,0.9,0.5905440080667369,0.5908498966971025
W M0.88,S1,0.96,0.9856717028026137,0.9859269103207596
W M0.88,S1,0.99,0.98513756469765,0.9852060197616901
W M0.88,S2,0.2,0.7884646723843592,0.7885488882951177
W M0.88,S2,0.44,0.7368883428576719,0.7369011962459147
W M0.88,S2,0.65,0.680449389431921,0.6804931354591973
W M0.88,S2,0.8,0.6363616595582855,0.6366874047248501
W M0.88,S2,0.9,0.5854732349088839,0.5862404959237044
W M0.88,S2,0.96,0.9920031353257368,0.9920167887897844
W M0.88,S2,0.99,0.9816632691416428,0.9816684598076885
W M0.88,S3,0.2,0.7884646723843592,0.7885600301674628
W M0.88,S3,0.44,0.7368883428576719,0.7369051992070009
W M0.88,S3,0.65,0.680449389431921,0.6809641304051536
W M0.88,S3,0.8,0.6161935371316576,0.6172306952565887
W M0.88,S3,0.9,0.573168221290378,0.5758427386312313
W M0.88,S3,0.96,0.9856717028026137,0.9857816913893335
W M0.88,S3,0.99,0.9816632691416428,0.9816635245842329
WB M0.78,P0,0.2,0.14544944044069355,0.14574139573806502
WB M0.78,P0,0.44,0.2585821242642347,0.2586491558404837
WB M0.78,P0,0.65,0.3276711854883779,0.32775469160436616
WB M0.78,P0,0.8,0.28636593588201176,0.28640273504235814
WB M0.78,P0,0.9,0.2557881964557122,0.2565273819581942
WB M0.78,P0,0.96,0.9888423289444873,0.98951683540876
WB M0.78,P0,0.99,0.9812463801052841,0.9812485010850611
WB M0.78,P1,0.2,0.14544944044069355,0.14567288659662547
WB M0.78,P1,0.44,0.23584077405627057,0.2358549876311338
WB M0.78,P1,0.65,0.31172117791918863,0.3117467433621155
WB M0.78,P1,0.8,0.2731518303530907,0.2731635602489587
WB M0.78,P1,0.9,0.24297926686262927,0.24302845552835375
WB M0.78,P1,0.96,0.19384885639882687,0.19391033210949812
WB M0.78,P1,0.99,0.977684719780806,0.9777428420866843
WB M0.78,P2,0.2,0.15218681634101158,0.1522108422830408
WB M0.78,P2,0.44,0.22401818665488715,0.22402894460431777
WB M0.78,P2,0.65,0.31172117791918863,0.3118130909818355
WB M0.78,P2,0.8,0.27854450194192404,0.27868469057895695
WB M0.78,P2,0.9,0.24021838654698008,0.2402800617610507
WB M0.78,P2,0.96,0.19384885639882687,0.19394872788655734
WB M0.78,P2,0.99,0.9726673441225836,0.9726705395367585
WB M0.78,P3,0.44,0.22214393737556773,0.22214676972235672
WB M0.78,P3,0.65,0.3042361519191273,0.30454160026571564
WB M0.78,P3,0.8,0.27854450194192404,0.27860861339817916
WB M0.78,P3,0.9,0.25383060137270635,0.2538443287618172
WB M0.78,P3,0.96,0.1771865812470325,0.1810142451940317
WB M0.78,P3,0.99,0.16010898915994573,0.16022749962086769
WB M0.78,S1,0.2,0.13561031437965518,0.13794444284701066
WB M0.78,S1,0.44,0.22214393737556773,0.22215449270335313
WB M0.78,S1,0.65,0.3042361519191273,0.3048384188524066
WB M0.78,S1,0.8,0.27854450194192404,0.2786237952498516
WB M0.78,S1,0.9,0.2557881964557122,0.25589632321250133
