state,geom,eta,phi_sha,x_percell,x_subcell,shift
W M0.82,wing,0.9,617235784436,0.4097424969481016,0.40980052979780807,5.80328497064575e-05
W M0.82,wing,0.96,617235784436,0.9856717028026137,0.9859053356320722,0.00023363282945843
W M0.82,wing,0.99,617235784436,0.9811729250069775,0.9812955899293732,0.0001226649223956544
W M0.8395,wing,0.2,1c2d464b4629,0.6705342486594731,0.6711137976661539,0.0005795490066807796
W M0.8395,wing,0.44,1c2d464b4629,0.6123522059682991,0.6123872222125323,3.5016244233188054e-05
W M0.8395,wing,0.65,1c2d464b4629,0.5759128677684422,0.5764645244499549,0.0005516566815126911
W M0.8395,wing,0.8,1c2d464b4629,0.9841854235306934,0.9849158028098238,0.0007303792791304442
W M0.8395,wing,0.9,1c2d464b4629,0.44511257595808695,0.4452864938162466,0.00017391785815962235
W M0.8395,wing,0.96,1c2d464b4629,0.9856717028026137,0.9859271522370975,0.00025544943448374546
W M0.8395,wing,0.99,1c2d464b4629,0.9811729250069775,0.9813790071413534,0.00020608213437589562
W M0.86,wing,0.2,1ed066b98395,0.7434305362080408,0.743506721642148,7.618543410725653e-05
W M0.86,wing,0.44,1ed066b98395,0.6766451347077229,0.6768331421115898,0.00018800740386692993
W M0.86,wing,0.65,1ed066b98395,0.637603299419519,0.6376160616729565,1.276225343749271e-05
W M0.86,wing,0.8,1ed066b98395,0.9841854235306934,0.9853184936792,0.0011330701485066097
W M0.86,wing,0.9,1ed066b98395,0.5368279222329849,0.536887332630044,5.941039705903428e-05
W M0.86,wing,0.96,1ed066b98395,0.9921546889509332,0.9921624528244715,7.763873538291222e-06
W M0.86,wing,0.99,1ed066b98395,0.98513756469765,0.9852074795289258,6.99148312758302e-05
W M0.88,wing,0.2,3b81dcbb9243,0.7884646723843592,0.7885633420936982,9.866970933891661e-05
W M0.88,wing,0.44,3b81dcbb9243,0.7368883428576719,0.7369269992335283,3.865637585642734e-05
W M0.88,wing,0.65,3b81dcbb9243,0.680449389431921,0.6810605293509656,0.000611139919044601
W M0.88,wing,0.8,3b81dcbb9243,0.9841854235306934,0.9856861792447998,0.001500755714106461
W M0.88,wing,0.9,3b81dcbb9243,0.5905440080667369,0.5910689790021028,0.0005249709353658538
W M0.88,wing,0.96,3b81dcbb9243,0.9921680701166081,0.9923334622184644,0.0001653921018562876
W M0.88,wing,0.99,3b81dcbb9243,0.9867665143853118,0.9867764034395542,9.889054242373518e-06
WB M0.78,wingbody,0.2,7f6365afae37,0.14544944044069355,0.14574139573806505,0.00029195529737149895
WB M0.78,wingbody,0.44,7f6365afae37,0.2585821242642347,0.2586491558404838,6.703157624909917e-05
WB M0.78,wingbody,0.65,7f6365afae37,0.3276711854883779,0.32775469160436616,8.350611598822999e-05
WB M0.78,wingbody,0.8,7f6365afae37,0.28636593588201176,0.28640273504235814,3.679916034637909e-05
WB M0.78,wingbody,0.9,7f6365afae37,0.2557881964557122,0.2565273819581942,0.000739185502481976
WB M0.78,wingbody,0.96,7f6365afae37,0.9888423289444873,0.98951683540876,0.000674506464272695
WB M0.78,wingbody,0.99,7f6365afae37,0.9812463801052841,0.9812485010850611,2.1209797770316285e-06
WB M0.82,wingbody,0.2,0205eb9dd81e,0.5628087318382389,0.562909981306198,0.00010124946795908585
WB M0.82,wingbody,0.44,0205eb9dd81e,0.5585159828013601,0.5585194421122965,3.4593109364822183e-06
WB M0.82,wingbody,0.65,0205eb9dd81e,0.5263861506274333,0.5285502974000432,0.0021641467726098984
WB M0.82,wingbody,0.8,0205eb9dd81e,0.4725165068554383,0.4728130204593426,0.0002965136039043137
WB M0.82,wingbody,0.9,0205eb9dd81e,0.35514640085490173,0.35532956028959006,0.00018315943468832918
WB M0.82,wingbody,0.96,0205eb9dd81e,0.9955844850238539,0.9980550151630008,0.002470530139146887
WB M0.82,wingbody,0.99,0205eb9dd81e,0.9836567223397592,0.9836593054754356,2.5831356763594826e-06
WB M0.86,wingbody,0.2,f4cb1db9a8d9,0.7347950166163132,0.73605367355687,0.0012586569405568238
WB M0.86,wingbody,0.44,f4cb1db9a8d9,0.6748108031169427,0.6763569272540773,0.001546124137134508
WB M0.86,wingbody,0.65,f4cb1db9a8d9,0.6310894004475307,0.6319152621884133,0.0008258617408826163
WB M0.86,wingbody,0.8,f4cb1db9a8d9,0.5731024054777184,0.5739265141883265,0.000824108710608118
WB M0.86,wingbody,0.9,f4cb1db9a8d9,0.49632512906898485,0.4964227108408693,9.758177188445849e-05
WB M0.86,wingbody,0.96,f4cb1db9a8d9,0.9988092571372407,0.9988888326083517,7.957547111103747e-05
WB M0.86,wingbody,0.99,f4cb1db9a8d9,0.9870995773858117,0.9871440292406194,4.445185480772551e-05
WB M0.88,wingbody,0.2,e9e3960bbbf1,0.7877396190340124,0.7877739052734901,3.4286239477765434e-05
WB M0.88,wingbody,0.44,e9e3960bbbf1,0.7384673173155675,0.7384816681040622,1.4350788494765787e-05
WB M0.88,wingbody,0.65,e9e3960bbbf1,0.6713519338004706,0.6713642766103145,1.2342809843857161e-05
WB M0.88,wingbody,0.8,e9e3960bbbf1,0.6306134632684176,0.6306334926132077,2.0029344790062353e-05
WB M0.88,wingbody,0.9,e9e3960bbbf1,0.5745034042127092,0.5752665783929224,0.0007631741802132108
WB M0.88,wingbody,0.96,e9e3960bbbf1,0.9988092571372407,0.9989372859010673,0.00012802876382667083
WB M0.88,wingbody,0.99,e9e3960bbbf1,0.9911085833775706,0.9911398900361449,3.1306658574314916e-05
WB xcoarse,wingbody,0.2,99cdc2b49c65,0.7903757997127105,0.7905729227293091,0.00019712301659857712
WB xcoarse,wingbody,0.44,99cdc2b49c65,0.7106782049772911,0.7119319146761118,0.0012537096988207708
WB xcoarse,wingbody,0.65,99cdc2b49c65,0.6689681468563924,0.6691568678332293,0.00018872097683686473
WB xcoarse,wingbody,0.8,99cdc2b49c65,0.6248028277140217,0.6256433421040067,0.0008405143899850032
WB xcoarse,wingbody,0.9,99cdc2b49c65,0.5959825627011562,0.5970949456987233,0.0011123829975671073
WB xcoarse,wingbody,0.96,99cdc2b49c65,0.996113019716915,0.9962303391804571,0.00011731946354209821
WB xcoarse,wingbody,0.99,99cdc2b49c65,0.9706094845020539,0.9706196134312,1.0128929146091536e-05
WB medium,wingbody,0.2,6e031ae359a0,0.8083960372644239,0.8091538965633055,0.0007578592988816135
WB medium,wingbody,0.44,6e031ae359a0,0.7163415040462645,0.7163556097612307,1.4105714966183847e-05
WB medium,wingbody,0.65,6e031ae359a0,0.6647290863190904,0.6647316213664228,2.5350473323859646e-06
WB medium,wingbody,0.8,6e031ae359a0,0.5963199662333076,0.5965369236481046,0.00021695741479699215
WB medium,wingbody,0.9,6e031ae359a0,0.5424517989086133,0.5425356220136316,8.382310501831025e-05
WB medium,wingbody,0.96,6e031ae359a0,1.0,0.998467470583701,-0.001532529416299
WB medium,wingbody,0.99,6e031ae359a0,0.9970886220451038,0.9970997485575137,1.112651240986473e-05
