section,name_or_node,x_c,side,regime,region,energy_fraction
node,301,0.045443,1,laminar,le_band,1.19152444e-07
node,302,0.036008,1,laminar,le_band,1.75533754e-07
node,303,0.026778,1,laminar,le_band,4.88610107e-08
node,304,0.017890,1,inflow_pin,le_inflow,2.87561791e-33
node,305,0.009657,1,inflow_pin,le_inflow,4.24844427e-33
node,306,0.002928,1,inflow_pin,le_inflow,7.61159729e-33
node,307,0.002928,-1,inflow_pin,le_inflow,9.83420337e-33
node,308,0.009657,-1,inflow_pin,le_inflow,7.27976975e-33
node,309,0.017890,-1,inflow_pin,le_inflow,2.97538674e-33
node,310,0.026778,-1,laminar,le_band,7.47073673e-06
node,311,0.036008,-1,laminar,le_band,2.20583967e-06
node,312,0.045443,-1,laminar,le_band,5.64545015e-06
node,313,0.055012,-1,turbulent,mid,1.47290239e-04
node,314,0.064676,-1,turbulent,mid,4.41318384e-02
node,315,0.074407,-1,turbulent,mid,1.23155453e-04
node,316,0.084190,-1,turbulent,mid,8.49611607e-05
node,317,0.094014,-1,turbulent,mid,1.70598165e-04
node,318,0.103869,-1,turbulent,mid,7.46677912e-04
node,319,0.113749,-1,turbulent,mid,6.18470238e-04
node,320,0.123651,-1,turbulent,mid,2.76143736e-02
node,321,0.133570,-1,turbulent,mid,1.82197355e-02
node,322,0.143503,-1,turbulent,mid,1.04395580e-03
node,323,0.153447,-1,turbulent,mid,7.14463269e-03
node,324,0.163402,-1,turbulent,mid,4.83650853e-04
node,325,0.173365,-1,turbulent,mid,2.94012009e-04
node,326,0.183335,-1,turbulent,mid,2.52440148e-04
node,327,0.193310,-1,turbulent,mid,5.67735546e-04
node,328,0.203291,-1,turbulent,mid,3.51675479e-02
node,329,0.213275,-1,turbulent,mid,2.81271434e-03
node,330,0.223263,-1,turbulent,mid,1.68848527e-02
node,331,0.233253,-1,turbulent,mid,2.55091923e-02
node,332,0.243246,-1,turbulent,mid,7.63575106e-03
node,333,0.253240,-1,turbulent,mid,4.37112884e-03
node,334,0.263236,-1,turbulent,mid,1.08579322e-02
node,335,0.273232,-1,turbulent,mid,4.54845121e-02
node,336,0.283230,-1,turbulent,mid,2.48650976e-02
node,337,0.293227,-1,turbulent,mid,6.77572991e-03
node,338,0.303225,-1,turbulent,mid,6.50825562e-03
node,339,0.313223,-1,turbulent,mid,3.77863244e-03
node,340,0.323220,-1,turbulent,mid,1.36713563e-03
node,341,0.333217,-1,turbulent,mid,5.89919956e-04
node,342,0.343214,-1,turbulent,mid,2.76664408e-04
node,343,0.353210,-1,turbulent,mid,2.21208763e-04
node,344,0.363205,-1,turbulent,mid,2.13644585e-04
node,345,0.373199,-1,turbulent,mid,2.08659131e-04
node,346,0.383192,-1,turbulent,mid,2.07545109e-04
node,347,0.393184,-1,turbulent,mid,2.12297626e-04
node,348,0.403175,-1,turbulent,mid,2.19440839e-04
node,349,0.413165,-1,turbulent,mid,2.28260780e-04
node,350,0.423153,-1,turbulent,mid,2.39567675e-04
node,351,0.433140,-1,turbulent,mid,2.52684847e-04
node,352,0.443126,-1,turbulent,mid,2.67193062e-04
node,353,0.453111,-1,turbulent,mid,2.83389627e-04
node,354,0.463094,-1,turbulent,mid,3.00584004e-04
node,355,0.473076,-1,turbulent,mid,3.19054573e-04
node,356,0.483057,-1,turbulent,mid,3.38624669e-04
node,357,0.493036,-1,turbulent,mid,3.59514335e-04
node,358,0.503014,-1,turbulent,mid,3.81933118e-04
node,359,0.512990,-1,turbulent,mid,4.05524359e-04
node,360,0.522965,-1,turbulent,mid,4.30183552e-04
node,361,0.532939,-1,turbulent,mid,4.55856176e-04
node,362,0.542911,-1,turbulent,mid,4.82310000e-04
node,363,0.552882,-1,turbulent,mid,5.10355362e-04
node,364,0.562851,-1,turbulent,mid,5.39260292e-04
node,365,0.572819,-1,turbulent,mid,5.68670171e-04
node,366,0.582786,-1,turbulent,mid,5.99341768e-04
node,367,0.592751,-1,turbulent,mid,6.30414267e-04
node,368,0.602714,-1,turbulent,mid,6.62375217e-04
node,369,0.612677,-1,turbulent,mid,6.94572270e-04
node,370,0.622637,-1,turbulent,mid,7.27284627e-04
node,371,0.632597,-1,turbulent,mid,7.60076336e-04
node,372,0.642555,-1,turbulent,mid,7.92528706e-04
node,373,0.652511,-1,turbulent,mid,8.25270848e-04
node,374,0.662467,-1,turbulent,mid,8.57946496e-04
node,375,0.672420,-1,turbulent,mid,8.89423104e-04
node,376,0.682373,-1,turbulent,mid,9.20378934e-04
node,377,0.692324,-1,turbulent,mid,9.50499168e-04
node,378,0.702273,-1,turbulent,mid,9.80292188e-04
node,379,0.712221,-1,turbulent,mid,1.00861358e-03
node,380,0.722168,-1,turbulent,mid,1.03545971e-03
node,381,0.732113,-1,turbulent,mid,1.06136190e-03
node,382,0.742057,-1,turbulent,mid,1.08535783e-03
node,383,0.751999,-1,turbulent,mid,1.10813372e-03
node,384,0.761940,-1,turbulent,mid,1.12868065e-03
node,385,0.771879,-1,turbulent,mid,1.14813018e-03
node,386,0.781817,-1,turbulent,mid,1.16531322e-03
node,387,0.791753,-1,turbulent,mid,1.18284894e-03
node,388,0.801688,-1,turbulent,mid,1.19625155e-03
node,389,0.811621,-1,turbulent,mid,1.21025291e-03
node,390,0.821553,-1,turbulent,mid,1.22364828e-03
node,391,0.831483,-1,turbulent,mid,1.23418155e-03
node,392,0.841411,-1,turbulent,mid,1.24628706e-03
node,393,0.851337,-1,turbulent,mid,1.25968068e-03
node,394,0.861262,-1,turbulent,mid,1.26836608e-03
node,395,0.871185,-1,turbulent,mid,1.28379904e-03
node,396,0.881106,-1,turbulent,mid,1.30873982e-03
node,397,0.891026,-1,turbulent,mid,1.31972233e-03
node,398,0.900943,-1,turbulent,te_band,1.35193215e-03
node,399,0.910858,-1,turbulent,te_band,1.40561936e-03
node,400,0.920772,-1,turbulent,te_band,1.41809751e-03
node,401,0.930683,-1,turbulent,te_band,1.49568134e-03
node,402,0.940593,-1,turbulent,te_band,1.62366438e-03
node,403,0.950500,-1,turbulent,te_band,1.63182254e-03
node,404,0.960405,-1,turbulent,te_band,1.79079403e-03
node,405,0.970307,-1,turbulent,te_band,1.92999024e-03
node,406,0.980207,-1,turbulent,te_band,2.68357855e-03
node,407,0.990105,-1,turbulent,te_band,2.02956147e-03
node,408,1.000000,1,turbulent,te_band,3.53289530e-03
node,409,1.000000,1,turbulent,te_band,8.51894887e-03
