x,phi_minus,phi_plus,jump
6.347309,6.04941501,6.34941501,3.000e-01
6.347309,6.04941499,6.34941499,3.000e-01
6.407131,6.10920881,6.40920881,3.000e-01
6.407131,6.10920885,6.40920885,3.000e-01
6.466952,6.16900326,6.46900326,3.000e-01
6.466952,6.16900320,6.46900320,3.000e-01
6.526774,6.22879767,6.52879767,3.000e-01
6.526774,6.22879769,6.52879769,3.000e-01
6.586595,6.28859210,6.58859210,3.000e-01
6.586595,6.28859206,6.58859206,3.000e-01
6.646417,6.34838650,6.64838650,3.000e-01
6.646417,6.34838651,6.64838651,3.000e-01
6.706238,6.40818060,6.70818060,3.000e-01
6.706238,6.40818062,6.70818062,3.000e-01
6.766060,6.46797476,6.76797476,3.000e-01
6.766060,6.46797475,6.76797475,3.000e-01
6.825881,6.52776954,6.82776954,3.000e-01
6.825881,6.52776959,6.82776959,3.000e-01
6.885703,6.58756491,6.88756491,3.000e-01
6.885703,6.58756483,6.88756483,3.000e-01
6.945524,6.64735985,6.94735985,3.000e-01
6.945524,6.64735984,6.94735984,3.000e-01
7.005346,6.70715537,7.00715537,3.000e-01
7.005346,6.70715540,7.00715540,3.000e-01
7.065167,6.76695132,7.06695132,3.000e-01
7.065167,6.76695129,7.06695129,3.000e-01
7.124989,6.82674747,7.12674747,3.000e-01
7.124989,6.82674750,7.12674750,3.000e-01
7.184810,6.88654405,7.18654405,3.000e-01
7.184810,6.88654402,7.18654402,3.000e-01
7.244632,6.94634100,7.24634100,3.000e-01
7.244632,6.94634104,7.24634104,3.000e-01
7.304453,7.00613849,7.30613849,3.000e-01
7.304453,7.00613845,7.30613845,3.000e-01
7.364275,7.06593643,7.36593643,3.000e-01
7.364275,7.06593648,7.36593648,3.000e-01
7.424096,7.12573508,7.42573508,3.000e-01
7.424096,7.12573503,7.42573503,3.000e-01
7.483918,7.18553441,7.48553441,3.000e-01
7.483918,7.18553443,7.48553443,3.000e-01
7.543739,7.24533423,7.54533423,3.000e-01
7.543739,7.24533419,7.54533419,3.000e-01
7.603561,7.30513460,7.60513460,3.000e-01
7.603561,7.30513468,7.60513468,3.000e-01
7.663382,7.36493622,7.66493622,3.000e-01
7.663382,7.36493616,7.66493616,3.000e-01
7.723204,7.42473804,7.72473804,3.000e-01
7.723204,7.42473811,7.72473811,3.000e-01
7.783025,7.48454079,7.78454079,3.000e-01
7.783025,7.48454073,7.78454073,3.000e-01
7.842847,7.54434406,7.84434406,3.000e-01
7.842847,7.54434404,7.84434404,3.000e-01
7.902668,7.60414741,7.90414741,3.000e-01
7.902668,7.60414744,7.90414744,3.000e-01
7.962490,7.66395118,7.96395118,3.000e-01
7.962490,7.66395117,7.96395117,3.000e-01
8.022311,7.72375510,8.02375510,3.000e-01
8.022311,7.72375516,8.02375516,3.000e-01
8.082133,7.78355930,8.08355930,3.000e-01
8.082133,7.78355928,8.08355928,3.000e-01
8.141954,7.84336348,8.14336348,3.000e-01
8.141954,7.84336347,8.14336347,3.000e-01
8.201776,7.90316762,8.20316762,3.000e-01
8.201776,7.90316763,8.20316763,3.000e-01
8.261597,7.96297189,8.26297189,3.000e-01
8.261597,7.96297189,8.26297189,3.000e-01
8.321419,8.02277596,8.32277596,3.000e-01
8.321419,8.02277596,8.32277596,3.000e-01
8.381241,8.08257981,8.38257981,3.000e-01
8.381241,8.08257979,8.38257979,3.000e-01
8.441062,8.14238358,8.44238358,3.000e-01
8.441062,8.14238355,8.44238355,3.000e-01
8.500884,8.20218698,8.50218698,3.000e-01
8.500884,8.20218693,8.50218693,3.000e-01
8.560705,8.26199032,8.56199032,3.000e-01
8.560705,8.26199033,8.56199033,3.000e-01
8.620527,8.32179406,8.62179406,3.000e-01
8.620527,8.32179406,8.62179406,3.000e-01
8.680348,8.38159838,8.68159838,3.000e-01
8.680348,8.38159837,8.68159837,3.000e-01
8.740170,8.44140277,8.74140277,3.000e-01
8.740170,8.44140276,8.74140276,3.000e-01
8.799991,8.50120743,8.80120743,3.000e-01
8.799991,8.50120743,8.80120743,3.000e-01
8.859813,8.56101250,8.86101250,3.000e-01
8.859813,8.56101248,8.86101248,3.000e-01
8.919634,8.62081781,8.92081781,3.000e-01
8.919634,8.62081783,8.92081783,3.000e-01
8.979456,8.68062344,8.98062344,3.000e-01
8.979456,8.68062342,8.98062342,3.000e-01
9.039277,8.74042929,9.04042929,3.000e-01
9.039277,8.74042932,9.04042932,3.000e-01
9.099099,8.80023549,9.10023549,3.000e-01
9.099099,8.80023550,9.10023550,3.000e-01
9.158920,8.86004175,9.16004175,3.000e-01
9.158920,8.86004171,9.16004171,3.000e-01
9.218742,8.91984811,9.21984811,3.000e-01
9.218742,8.91984813,9.21984813,3.000e-01
9.278563,8.97965470,9.27965470,3.000e-01
9.278563,8.97965469,9.27965469,3.000e-01
9.338385,9.03946149,9.33946149,3.000e-01
9.338385,9.03946151,9.33946151,3.000e-01
9.398206,9.09926864,9.39926864,3.000e-01
9.398206,9.09926862,9.39926862,3.000e-01
9.458028,9.15907592,9.45907592,3.000e-01
9.458028,9.15907586,9.45907586,3.000e-01
9.517849,9.21888333,9.51888333,3.000e-01
9.517849,9.21888337,9.51888337,3.000e-01
9.577671,9.27869107,9.57869107,3.000e-01
9.577671,9.27869104,9.57869104,3.000e-01
9.637492,9.33849889,9.63849889,3.000e-01
9.637492,9.33849890,9.63849890,3.000e-01
9.697314,9.39830692,9.69830692,3.000e-01
9.697314,9.39830692,9.69830692,3.000e-01
9.757135,9.45811508,9.75811508,3.000e-01
9.757135,9.45811508,9.75811508,3.000e-01
9.816957,9.51792336,9.81792336,3.000e-01
9.816957,9.51792335,9.81792335,3.000e-01
9.876778,9.57773179,9.87773179,3.000e-01
9.876778,9.57773179,9.87773179,3.000e-01
9.936600,9.63754044,9.93754044,3.000e-01
9.936600,9.63754043,9.93754043,3.000e-01
9.996421,9.69734912,9.99734912,3.000e-01
9.996421,9.69734913,9.99734913,3.000e-01
10.056243,9.75715785,10.05715785,3.000e-01
10.056243,9.75715786,10.05715786,3.000e-01
10.116064,9.81696693,10.11696693,3.000e-01
10.116064,9.81696699,10.11696699,3.000e-01
10.175886,9.87677610,10.17677610,3.000e-01
10.175886,9.87677614,10.17677614,3.000e-01
10.235707,9.93658534,10.23658534,3.000e-01
10.235707,9.93658535,10.23658535,3.000e-01
10.295529,9.99639476,10.29639476,3.000e-01
10.295529,9.99639473,10.29639473,3.000e-01
10.355350,10.05620441,10.35620441,3.000e-01
10.355350,10.05620434,10.35620434,3.000e-01
10.415172,10.11601381,10.41601381,3.000e-01
10.415172,10.11601382,10.41601382,3.000e-01
10.474993,10.17582308,10.47582308,3.000e-01
10.474993,10.17582308,10.47582308,3.000e-01
10.534815,10.23563218,10.53563218,3.000e-01
10.534815,10.23563218,10.53563218,3.000e-01
10.594636,10.29544104,10.59544104,3.000e-01
10.594636,10.29544102,10.59544102,3.000e-01
10.654458,10.35524996,10.65524996,3.000e-01
10.654458,10.35524997,10.65524997,3.000e-01
10.714279,10.41505869,10.71505869,3.000e-01
10.714279,10.41505868,10.71505868,3.000e-01
10.774101,10.47486733,10.77486733,3.000e-01
10.774101,10.47486735,10.77486735,3.000e-01
10.833922,10.53467586,10.83467586,3.000e-01
10.833922,10.53467585,10.83467585,3.000e-01
10.893744,10.59448442,10.89448442,3.000e-01
10.893744,10.59448442,10.89448442,3.000e-01
10.953565,10.65429310,10.95429310,3.000e-01
10.953565,10.65429311,10.95429311,3.000e-01
11.013387,10.71410187,11.01410187,3.000e-01
11.013387,10.71410188,11.01410188,3.000e-01
11.073208,10.77391067,11.07391067,3.000e-01
11.073208,10.77391067,11.07391067,3.000e-01
11.133030,10.83371961,11.13371961,3.000e-01
11.133030,10.83371960,11.13371960,3.000e-01
11.192851,10.89352874,11.19352874,3.000e-01
11.192851,10.89352876,11.19352876,3.000e-01
11.252673,10.95333816,11.25333816,3.000e-01
11.252673,10.95333814,11.25333814,3.000e-01
11.312494,11.01314774,11.31314774,3.000e-01
11.312494,11.01314776,11.31314776,3.000e-01
11.372316,11.07295749,11.37295749,3.000e-01
11.372316,11.07295748,11.37295748,3.000e-01
11.432137,11.13276726,11.43276726,3.000e-01
11.432137,11.13276727,11.43276727,3.000e-01
11.491959,11.19257711,11.49257711,3.000e-01
11.491959,11.19257710,11.49257710,3.000e-01
11.551780,11.25238704,11.55238704,3.000e-01
11.551780,11.25238705,11.55238705,3.000e-01
11.611602,11.31219710,11.61219710,3.000e-01
11.611602,11.31219710,11.61219710,3.000e-01
11.671423,11.37200722,11.67200722,3.000e-01
11.671423,11.37200723,11.67200723,3.000e-01
11.731245,11.43181752,11.73181752,3.000e-01
11.731245,11.43181749,11.73181749,3.000e-01
11.791066,11.49162786,11.79162786,3.000e-01
11.791066,11.49162789,11.79162789,3.000e-01
11.850888,11.55143839,11.85143839,3.000e-01
11.850888,11.55143838,11.85143838,3.000e-01
11.910710,11.61124913,11.91124913,3.000e-01
11.910710,11.61124914,11.91124914,3.000e-01
11.970531,11.67106007,11.97106007,3.000e-01
11.970531,11.67106006,11.97106006,3.000e-01
12.030353,11.73087119,12.03087119,3.000e-01
12.030353,11.73087121,12.03087121,3.000e-01
12.090174,11.79068254,12.09068254,3.000e-01
12.090174,11.79068252,12.09068252,3.000e-01
12.149996,11.85049400,12.15049400,3.000e-01
12.149996,11.85049401,12.15049401,3.000e-01
12.209817,11.91030565,12.21030565,3.000e-01
12.209817,11.91030565,12.21030565,3.000e-01
12.269639,11.97011740,12.27011740,3.000e-01
12.269639,11.97011741,12.27011741,3.000e-01
12.329460,12.02992939,12.32992939,3.000e-01
12.329460,12.02992937,12.32992937,3.000e-01
12.389282,12.08974141,12.38974141,3.000e-01
12.389282,12.08974142,12.38974142,3.000e-01
12.449103,12.14955363,12.44955363,3.000e-01
12.449103,12.14955362,12.44955362,3.000e-01
12.508925,12.20936584,12.50936584,3.000e-01
12.508925,12.20936584,12.50936584,3.000e-01
12.568746,12.26917798,12.56917798,3.000e-01
12.568746,12.26917798,12.56917798,3.000e-01
12.628568,12.32899010,12.62899010,3.000e-01
12.628568,12.32899010,12.62899010,3.000e-01
12.688389,12.38880215,12.68880215,3.000e-01
12.688389,12.38880216,12.68880216,3.000e-01
12.748211,12.44861414,12.74861414,3.000e-01
12.748211,12.44861414,12.74861414,3.000e-01
12.808032,12.50842604,12.80842604,3.000e-01
12.808032,12.50842606,12.80842606,3.000e-01
12.867854,12.56823797,12.86823797,3.000e-01
12.867854,12.56823797,12.86823797,3.000e-01
12.927675,12.62804980,12.92804980,3.000e-01
12.927675,12.62804979,12.92804979,3.000e-01
12.987497,12.68786169,12.98786169,3.000e-01
12.987497,12.68786168,12.98786168,3.000e-01
13.047318,12.74767360,13.04767360,3.000e-01
13.047318,12.74767359,13.04767359,3.000e-01
13.107140,12.80748548,13.10748548,3.000e-01
13.107140,12.80748549,13.10748549,3.000e-01
13.166961,12.86729752,13.16729752,3.000e-01
13.166961,12.86729751,13.16729751,3.000e-01
13.226783,12.92710977,13.22710977,3.000e-01
13.226783,12.92710979,13.22710979,3.000e-01
13.286604,12.98692225,13.28692225,3.000e-01
13.286604,12.98692224,13.28692224,3.000e-01
13.346426,13.04673498,13.34673498,3.000e-01
13.346426,13.04673498,13.34673498,3.000e-01
13.406247,13.10654765,13.40654765,3.000e-01
13.406247,13.10654764,13.40654764,3.000e-01
13.466069,13.16636036,13.46636036,3.000e-01
13.466069,13.16636036,13.46636036,3.000e-01
13.525890,13.22617302,13.52617302,3.000e-01
13.525890,13.22617302,13.52617302,3.000e-01
13.585712,13.28598559,13.58598559,3.000e-01
13.585712,13.28598559,13.58598559,3.000e-01
13.645533,13.34579806,13.64579806,3.000e-01
13.645533,13.34579806,13.64579806,3.000e-01
13.705355,13.40561048,13.70561048,3.000e-01
13.705355,13.40561047,13.70561047,3.000e-01
13.765176,13.46542283,13.76542283,3.000e-01
13.765176,13.46542282,13.76542282,3.000e-01
13.824998,13.52523504,13.82523504,3.000e-01
13.824998,13.52523505,13.82523505,3.000e-01
