x_c,side,ds_ours,ds_xfoil,err_ds,cf_ours,cf_xfoil,err_cf,cf_ours_localframe,err_cf_localframe,window
0.183336,lower,6.521510e-04,4.935209e-04,+0.3214,4.785682e-03,4.693415e-03,+0.0197,3.968191e-03,-0.1545,banded
0.203292,lower,7.002397e-04,5.501175e-04,+0.2729,4.728585e-03,4.583858e-03,+0.0316,3.909730e-03,-0.1471,banded
0.223264,lower,7.494086e-04,6.053665e-04,+0.2379,4.657941e-03,4.480740e-03,+0.0395,3.847885e-03,-0.1412,banded
0.243247,lower,8.021664e-04,6.620469e-04,+0.2116,4.572393e-03,4.383559e-03,+0.0431,3.777459e-03,-0.1383,banded
0.263237,lower,8.569127e-04,7.180264e-04,+0.1934,4.480108e-03,4.290997e-03,+0.0441,3.705574e-03,-0.1364,banded
0.283231,lower,9.121434e-04,7.750953e-04,+0.1768,4.388634e-03,4.202857e-03,+0.0442,3.637706e-03,-0.1345,banded
0.303227,lower,9.675012e-04,8.319571e-04,+0.1629,4.299550e-03,4.117948e-03,+0.0441,3.574502e-03,-0.1320,banded
0.323222,lower,1.022659e-03,8.896104e-04,+0.1496,4.215010e-03,4.037571e-03,+0.0439,3.516841e-03,-0.1290,banded
0.343215,lower,1.077690e-03,9.479857e-04,+0.1368,4.133038e-03,3.960463e-03,+0.0436,3.462638e-03,-0.1257,banded
0.363206,lower,1.132672e-03,1.006130e-03,+0.1258,4.053637e-03,3.885688e-03,+0.0432,3.412042e-03,-0.1219,banded
0.383193,lower,1.187444e-03,1.064829e-03,+0.1152,3.977832e-03,3.814452e-03,+0.0428,3.365159e-03,-0.1178,banded
0.403176,lower,1.242044e-03,1.123866e-03,+0.1052,3.905549e-03,3.746598e-03,+0.0424,3.321709e-03,-0.1134,banded
0.423154,lower,1.296491e-03,1.184490e-03,+0.0946,3.835718e-03,3.680475e-03,+0.0422,3.280587e-03,-0.1087,banded
0.443127,lower,1.350767e-03,1.244192e-03,+0.0857,3.768952e-03,3.616808e-03,+0.0421,3.242259e-03,-0.1036,banded
0.463095,lower,1.405126e-03,1.304775e-03,+0.0769,3.704183e-03,3.555225e-03,+0.0419,3.205932e-03,-0.0982,banded
