xc_station,side,z_over_b,n_nodes,ds_over_c_mean,ds_over_c_std,tip_masked
0.60,lower,0.675,10,1.279735e-03,7.546213e-05,0
0.60,lower,0.725,10,1.173824e-03,1.150726e-04,0
0.60,lower,0.775,10,1.268650e-03,6.153762e-05,0
0.60,lower,0.825,10,1.188534e-03,1.391073e-04,0
0.60,lower,0.875,8,1.273273e-03,1.525118e-04,0
0.60,lower,0.925,10,1.325866e-03,1.136041e-04,0
0.60,lower,0.975,13,1.415358e-03,3.672020e-05,1
0.80,upper,0.025,15,1.937121e-03,4.622385e-05,0
0.80,upper,0.075,15,1.951009e-03,4.936193e-05,0
0.80,upper,0.125,15,1.968939e-03,5.947897e-05,0
0.80,upper,0.175,14,1.987300e-03,6.019764e-05,0
0.80,upper,0.225,13,1.985978e-03,5.278776e-05,0
0.80,upper,0.275,13,2.015677e-03,5.715978e-05,0
0.80,upper,0.325,13,2.023635e-03,5.839888e-05,0
0.80,upper,0.375,11,2.039986e-03,5.478429e-05,0
0.80,upper,0.425,13,2.062831e-03,6.326259e-05,0
0.80,upper,0.475,13,2.058582e-03,5.715383e-05,0
0.80,upper,0.525,11,2.089835e-03,6.006679e-05,0
0.80,upper,0.575,11,2.127705e-03,8.742833e-05,0
0.80,upper,0.625,11,2.084498e-03,6.568946e-05,0
0.80,upper,0.675,11,2.109919e-03,6.721071e-05,0
0.80,upper,0.725,10,2.132512e-03,6.501297e-05,0
0.80,upper,0.775,10,2.122961e-03,6.068178e-05,0
0.80,upper,0.825,9,2.180930e-03,5.936422e-05,0
0.80,upper,0.875,10,2.171285e-03,7.818543e-05,0
0.80,upper,0.925,8,2.190893e-03,7.934300e-05,0
0.80,upper,0.975,12,1.808398e-03,3.717308e-05,1
0.80,lower,0.025,15,1.757766e-03,4.328758e-05,0
0.80,lower,0.075,15,1.770772e-03,4.792908e-05,0
0.80,lower,0.125,14,1.790337e-03,4.382685e-05,0
0.80,lower,0.175,14,1.783586e-03,5.245006e-05,0
0.80,lower,0.225,13,1.811211e-03,5.885081e-05,0
0.80,lower,0.275,13,1.804080e-03,8.346518e-05,0
0.80,lower,0.325,13,1.815997e-03,5.152957e-05,0
0.80,lower,0.375,13,1.843168e-03,5.505529e-05,0
0.80,lower,0.425,12,1.843265e-03,5.626689e-05,0
0.80,lower,0.475,12,1.855551e-03,5.461429e-05,0
0.80,lower,0.525,11,1.841412e-03,6.115367e-05,0
0.80,lower,0.575,11,1.856980e-03,6.059213e-05,0
0.80,lower,0.625,11,1.837441e-03,7.325174e-05,0
0.80,lower,0.675,12,1.874964e-03,5.844052e-05,0
0.80,lower,0.725,9,1.888324e-03,9.625224e-05,0
0.80,lower,0.775,10,1.905132e-03,7.299141e-05,0
0.80,lower,0.825,10,1.888523e-03,6.680472e-05,0
0.80,lower,0.875,9,1.909717e-03,2.650366e-04,0
0.80,lower,0.925,9,1.776814e-03,9.921352e-05,0
0.80,lower,0.975,9,1.819531e-03,3.708142e-05,1
