x,y,z,xc_local,z_over_b,side,ds,ds_over_c,H,B,Psi,Ctau1,Ctau2,cf1,pinned,tip_masked
0.966776,0.000000,0.569323,1.0000,0.4759,-1,2.593434e-03,4.064454e-03,1.6329,1.549592e+01,-3.615783e-01,2.183071e-03,1.900220e-14,1.310337e-03,0,0
0.968810,0.000000,0.576530,1.0000,0.4819,-1,2.560005e-03,4.025482e-03,1.6311,1.565503e+01,-4.186844e-01,2.227141e-03,-2.647272e-14,1.320838e-03,0,0
0.970844,0.000000,0.583737,1.0000,0.4880,-1,2.573002e-03,4.059496e-03,1.6272,1.932703e+01,-9.180104e-01,2.220264e-03,-3.552747e-14,1.363772e-03,0,0
0.972877,0.000000,0.590943,1.0000,0.4940,-1,2.635105e-03,4.171476e-03,1.6507,8.284283e+00,1.922215e-01,2.165523e-03,7.935295e-14,1.250098e-03,0,0
0.974911,0.000000,0.598150,1.0000,0.5000,-1,2.571301e-03,4.084224e-03,1.6433,1.075317e+01,-2.312245e-02,2.250986e-03,1.256237e-13,1.276060e-03,0,0
0.976945,0.000000,0.605357,1.0000,0.5060,-1,2.565850e-03,4.089382e-03,1.6286,2.228864e+01,-1.198666e+00,2.182324e-03,-3.720947e-13,1.392208e-03,0,0
0.978979,0.000000,0.612563,1.0000,0.5120,-1,2.632765e-03,4.210301e-03,1.6527,1.533568e+01,-2.900614e-01,2.209103e-03,-1.270527e-13,1.262610e-03,0,0
0.981013,0.000000,0.619770,1.0000,0.5181,-1,2.471415e-03,3.965760e-03,1.6088,1.601994e+01,-5.229945e-01,2.134286e-03,1.181734e-12,1.384768e-03,0,0
0.983046,0.000000,0.626977,1.0000,0.5241,-1,2.603129e-03,4.191421e-03,1.6614,1.177462e+01,4.878386e-02,2.245845e-03,-6.922535e-13,1.235366e-03,0,0
0.985080,0.000000,0.634183,1.0000,0.5301,-1,2.538239e-03,4.100984e-03,1.6180,2.383569e+01,-1.469731e+00,2.235092e-03,-2.760137e-12,1.445310e-03,0,0
