xc_station,side,z_over_b,n_nodes,ds_over_c_mean,ds_over_c_std,tip_masked
0.40,lower,0.575,4,6.696381e-04,7.452261e-05,0
0.40,lower,0.625,4,5.501354e-04,5.620216e-05,0
0.40,lower,0.675,3,5.908395e-04,7.659074e-05,0
0.40,lower,0.725,2,6.532268e-04,8.730572e-05,0
0.40,lower,0.775,2,5.965077e-04,1.534222e-04,0
0.40,lower,0.825,2,5.879790e-04,1.499798e-04,0
0.40,lower,0.875,2,5.977603e-04,8.340093e-05,0
0.40,lower,0.925,3,7.350213e-04,4.765752e-05,0
0.40,lower,0.975,4,1.037489e-03,2.917302e-05,1
0.60,upper,0.025,5,1.411338e-03,8.502463e-05,0
0.60,upper,0.075,3,1.403226e-03,7.449562e-05,0
0.60,upper,0.125,5,1.376919e-03,8.821659e-05,0
0.60,upper,0.175,3,1.441758e-03,6.409623e-05,0
0.60,upper,0.225,2,1.442627e-03,1.537173e-05,0
0.60,upper,0.275,5,1.385464e-03,6.065967e-05,0
0.60,upper,0.325,2,1.454176e-03,4.940204e-05,0
0.60,upper,0.375,3,1.425652e-03,7.448731e-05,0
0.60,upper,0.425,4,1.409189e-03,5.181390e-05,0
0.60,upper,0.475,2,1.424773e-03,4.564197e-05,0
0.60,upper,0.525,3,1.350689e-03,1.167935e-04,0
0.60,upper,0.575,3,1.513844e-03,7.092406e-05,0
0.60,upper,0.625,3,1.211125e-03,1.804382e-04,0
0.60,upper,0.675,2,1.728895e-03,2.962015e-04,0
0.60,upper,0.725,3,1.309418e-03,1.359554e-04,0
0.60,upper,0.775,2,1.431391e-03,1.066154e-04,0
0.60,upper,0.825,2,1.395434e-03,1.143955e-04,0
0.60,upper,0.875,3,1.501160e-03,1.769798e-04,0
0.60,upper,0.925,2,1.389552e-03,4.978077e-05,0
0.60,upper,0.975,4,1.437379e-03,3.133790e-05,1
0.60,lower,0.025,5,1.014340e-03,1.004932e-04,0
0.60,lower,0.075,4,1.172667e-03,5.481686e-05,0
0.60,lower,0.125,4,1.212723e-03,4.934128e-05,0
0.60,lower,0.175,4,1.196868e-03,5.851694e-05,0
0.60,lower,0.225,5,1.214952e-03,5.022638e-05,0
0.60,lower,0.275,2,1.117622e-03,3.777830e-06,0
0.60,lower,0.325,2,1.213007e-03,1.559485e-04,0
0.60,lower,0.375,2,1.140338e-03,8.329067e-05,0
0.60,lower,0.425,2,1.170619e-03,6.808912e-06,0
0.60,lower,0.475,2,1.201936e-03,1.463968e-05,0
0.60,lower,0.525,3,1.219725e-03,1.136743e-04,0
0.60,lower,0.575,2,1.168361e-03,3.042641e-05,0
0.60,lower,0.625,2,1.031290e-03,1.099701e-04,0
0.60,lower,0.675,2,1.159759e-03,1.580996e-04,0
0.60,lower,0.725,2,1.186512e-03,3.464822e-05,0
0.60,lower,0.775,3,1.004009e-03,3.730129e-04,0
0.60,lower,0.825,5,1.029207e-03,3.206130e-04,0
0.60,lower,0.875,2,7.942417e-04,3.064264e-04,0
0.60,lower,0.925,2,1.074727e-03,7.301167e-05,0
0.60,lower,0.975,3,1.436187e-03,3.979010e-05,1
0.80,upper,0.025,4,2.516536e-03,1.925127e-04,0
0.80,upper,0.075,4,2.134417e-03,9.814396e-05,0
0.80,upper,0.125,4,2.065465e-03,1.545568e-04,0
0.80,upper,0.175,3,2.132743e-03,8.017604e-05,0
0.80,upper,0.225,5,2.190901e-03,8.954475e-05,0
0.80,upper,0.275,2,2.106993e-03,6.840421e-05,0
0.80,upper,0.325,3,2.227360e-03,1.304137e-04,0
0.80,upper,0.375,3,2.162156e-03,7.810705e-05,0
0.80,upper,0.425,4,2.180606e-03,1.001673e-04,0
0.80,upper,0.475,2,2.122917e-03,6.645187e-06,0
0.80,upper,0.525,3,2.382783e-03,3.562619e-04,0
0.80,upper,0.575,3,2.209552e-03,3.113121e-04,0
0.80,upper,0.625,2,2.409444e-03,7.128738e-05,0
0.80,upper,0.675,2,2.300863e-03,1.193402e-05,0
0.80,upper,0.725,4,2.238903e-03,1.107550e-04,0
0.80,upper,0.775,2,2.323130e-03,1.925594e-05,0
0.80,upper,0.825,2,2.320505e-03,7.944949e-05,0
0.80,upper,0.875,3,2.618650e-03,4.102486e-04,0
0.80,upper,0.925,2,2.270528e-03,2.305521e-05,0
0.80,upper,0.975,3,1.844668e-03,3.438656e-05,1
0.80,lower,0.025,5,1.629817e-03,6.493107e-05,0
0.80,lower,0.075,2,1.719937e-03,1.333503e-05,0
0.80,lower,0.125,5,1.734525e-03,5.208604e-05,0
0.80,lower,0.175,4,1.765096e-03,6.240255e-05,0
0.80,lower,0.225,4,1.802854e-03,8.513505e-05,0
0.80,lower,0.275,3,1.707704e-03,1.021415e-04,0
0.80,lower,0.325,2,1.940483e-03,2.213598e-04,0
0.80,lower,0.375,2,1.787292e-03,9.632324e-05,0
0.80,lower,0.425,5,1.743819e-03,8.985016e-05,0
0.80,lower,0.475,4,1.740457e-03,1.002847e-04,0
0.80,lower,0.525,2,1.676621e-03,4.843119e-05,0
0.80,lower,0.575,2,1.821306e-03,8.267405e-05,0
0.80,lower,0.625,2,1.650821e-03,5.323727e-05,0
0.80,lower,0.675,3,1.781123e-03,7.420626e-05,0
0.80,lower,0.725,4,1.877065e-03,1.089481e-04,0
0.80,lower,0.775,2,1.659816e-03,1.206938e-04,0
0.80,lower,0.825,2,1.780313e-03,5.684205e-05,0
0.80,lower,0.875,2,1.779074e-03,4.528066e-05,0
0.80,lower,0.925,2,1.387161e-03,6.098633e-04,0
0.80,lower,0.975,4,1.832001e-03,3.378604e-05,1
