node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
163,0.5927506955448977,-3.3446068357470035e-08,4.439797213123338e-09,-5.574367615375968e-08,8.925362413454229e-09,7.813586233764251e-10,-1.2622853142801399e-18,5.574367615375968e-08
164,0.6027143425513377,-3.463672025043065e-08,3.4953569573905023e-09,-5.84133623973053e-08,8.16708431845728e-09,7.540233164232569e-10,-1.0113981908897918e-18,5.84133623973053e-08
165,0.6126765778571047,-3.6328417899560296e-08,4.289939290260373e-09,-6.193109009644079e-08,9.000440770435952e-09,7.29038515149702e-10,-8.11835394213365e-19,6.193109009644079e-08
166,0.6226374023231162,-3.774977489785833e-08,5.031414730321426e-09,-6.492769208479928e-08,9.918595508801509e-09,7.052224768309109e-10,-6.527041282828132e-19,6.492769208479928e-08
167,0.6325968159668962,-3.941285331067357e-08,3.7185200826077415e-09,-6.82388115573654e-08,8.760137785833498e-09,6.786194288803494e-10,-5.255555292440021e-19,6.82388115573654e-08
168,0.6425548205427798,-4.1250780418579574e-08,4.468819303958772e-09,-7.183939408305506e-08,9.519992112032528e-09,6.544813622884773e-10,-4.238074558226869e-19,7.183939408305506e-08
169,0.6525114173211151,-4.275497090607924e-08,4.6536024894256925e-09,-7.484053346370192e-08,9.901566130551066e-09,6.303309626385514e-10,-3.4223884215649972e-19,7.484053346370192e-08
170,0.6624666027279849,-4.443301614570767e-08,3.5246934004015325e-09,-7.806422554766835e-08,8.949964255188107e-09,6.050537074354174e-10,-2.7673998012756435e-19,7.806422554766835e-08
171,0.6724203771374981,-4.6564522958532705e-08,6.77073395647673e-09,-8.196296775939155e-08,1.2051522041873657e-08,5.858913262385426e-10,-2.2407872024456725e-19,8.196296775939155e-08
172,0.6823727386641666,-4.8000818465109705e-08,7.317359109757926e-09,-8.46031856150326e-08,1.295108137222574e-08,5.625888291860733e-10,-1.8165724770385411e-19,8.46031856150326e-08
173,0.6923236814042223,-4.979452510821585e-08,5.432406717169606e-09,-8.786218777080127e-08,1.1333005180472674e-08,5.34416155876718e-10,-1.4743941495005313e-19,8.786218777080127e-08
174,0.7022732016550537,-5.1820295016448223e-08,5.6059690521849214e-09,-9.147419471158292e-08,1.1676881417137964e-08,5.092387273679637e-10,-1.1980660262015702e-19,9.147419471158292e-08
175,0.7122212943054135,-5.426798406538605e-08,4.981114739099259e-09,-9.569714834341743e-08,1.1211609563107708e-08,4.80846615873591e-10,-9.746341536003263e-20,9.569714834341743e-08
176,0.7221679500110973,-5.669666170088075e-08,4.288910501750338e-09,-9.984755428883628e-08,1.0623656845229777e-08,4.5136242196473646e-10,-7.936825372932815e-20,9.984755428883628e-08
177,0.7321131610151015,-5.9327716207308696e-08,5.972739418825998e-09,-1.0425608992157469e-07,1.2351976904094185e-08,4.25380233813625e-10,-6.47077193407054e-20,1.0425608992157469e-07
178,0.7420569154957535,-6.16950520134921e-08,6.21492411199837e-09,-1.0817273825630213e-07,1.281201675403454e-08,3.9649889095385003e-10,-5.2806117015513234e-20,1.0817273825630213e-07
179,0.7519992014038325,-6.458913178548537e-08,7.83069370627867e-09,-1.1283517621044444e-07,1.4580130386053921e-08,3.6894708833634805e-10,-4.3142009412436596e-20,1.1283517621044444e-07
180,0.7619400059844613,-6.742773477217556e-08,7.05380491115736e-09,-1.173678261528562e-07,1.4118225668617335e-08,3.3399807517305336e-10,-3.5276353167013434e-20,1.173678261528562e-07
181,0.7718793116038026,-7.074766148370038e-08,6.947091352668597e-09,-1.2256532281108732e-07,1.4328827251080166e-08,2.986919779513524e-10,-2.8874681490776255e-20,1.2256532281108732e-07
182,0.7818171022406405,-7.445623654014592e-08,6.490947195055781e-09,-1.2837388838685334e-07,1.4078846948612103e-08,2.598688600451282e-10,-2.365423359071156e-20,1.2837388838685334e-07
183,0.791753356992931,-7.881351504104983e-08,8.508614928569043e-09,-1.350509009424452e-07,1.6333290541588325e-08,2.2250963620411218e-10,-1.940086340193287e-20,1.350509009424452e-07
184,0.8016880537942684,-8.330351853382752e-08,7.276198834549345e-09,-1.4183662840935917e-07,1.539480705099213e-08,1.7520145598535434e-10,-1.5922312526597275e-20,1.4183662840935917e-07
