path,alpha,level,eta,side,x_over_c,cp
conforming,0.0,xcoarse,0.20,upper,0.05677,-0.189493
conforming,0.0,xcoarse,0.20,upper,0.05714,-0.190333
conforming,0.0,xcoarse,0.20,upper,0.05752,-0.191173
conforming,0.0,xcoarse,0.20,upper,0.05789,-0.192012
conforming,0.0,xcoarse,0.20,upper,0.05827,-0.192852
conforming,0.0,xcoarse,0.20,upper,0.05865,-0.193692
conforming,0.0,xcoarse,0.20,upper,0.05902,-0.194532
conforming,0.0,xcoarse,0.20,upper,0.05940,-0.195372
conforming,0.0,xcoarse,0.20,upper,0.05977,-0.196212
conforming,0.0,xcoarse,0.20,upper,0.06015,-0.197051
conforming,0.0,xcoarse,0.20,upper,0.06053,-0.197891
conforming,0.0,xcoarse,0.20,upper,0.06090,-0.198731
conforming,0.0,xcoarse,0.20,upper,0.06128,-0.199571
conforming,0.0,xcoarse,0.20,upper,0.06165,-0.200411
conforming,0.0,xcoarse,0.20,upper,0.06203,-0.201250
conforming,0.0,xcoarse,0.20,upper,0.06241,-0.202090
conforming,0.0,xcoarse,0.20,upper,0.06278,-0.202930
conforming,0.0,xcoarse,0.20,upper,0.06316,-0.203770
conforming,0.0,xcoarse,0.20,upper,0.06353,-0.204610
conforming,0.0,xcoarse,0.20,upper,0.06391,-0.205450
conforming,0.0,xcoarse,0.20,upper,0.06429,-0.206289
conforming,0.0,xcoarse,0.20,upper,0.06466,-0.207129
conforming,0.0,xcoarse,0.20,upper,0.06504,-0.207969
conforming,0.0,xcoarse,0.20,upper,0.06541,-0.208809
conforming,0.0,xcoarse,0.20,upper,0.06579,-0.209649
conforming,0.0,xcoarse,0.20,upper,0.06617,-0.210489
conforming,0.0,xcoarse,0.20,upper,0.06654,-0.211328
conforming,0.0,xcoarse,0.20,upper,0.06692,-0.212168
conforming,0.0,xcoarse,0.20,upper,0.06729,-0.213008
conforming,0.0,xcoarse,0.20,upper,0.06767,-0.213848
conforming,0.0,xcoarse,0.20,upper,0.06805,-0.214688
conforming,0.0,xcoarse,0.20,upper,0.06842,-0.215528
conforming,0.0,xcoarse,0.20,upper,0.06880,-0.216164
conforming,0.0,xcoarse,0.20,upper,0.06917,-0.216176
conforming,0.0,xcoarse,0.20,upper,0.06955,-0.216189
conforming,0.0,xcoarse,0.20,upper,0.06992,-0.216201
conforming,0.0,xcoarse,0.20,upper,0.07030,-0.216213
conforming,0.0,xcoarse,0.20,upper,0.07068,-0.216225
conforming,0.0,xcoarse,0.20,upper,0.07105,-0.216238
conforming,0.0,xcoarse,0.20,upper,0.07143,-0.216250
conforming,0.0,xcoarse,0.20,upper,0.07180,-0.216262
conforming,0.0,xcoarse,0.20,upper,0.07218,-0.216275
conforming,0.0,xcoarse,0.20,upper,0.07256,-0.216287
conforming,0.0,xcoarse,0.20,upper,0.07293,-0.216299
conforming,0.0,xcoarse,0.20,upper,0.07331,-0.216311
conforming,0.0,xcoarse,0.20,upper,0.07368,-0.216324
conforming,0.0,xcoarse,0.20,upper,0.07406,-0.216336
conforming,0.0,xcoarse,0.20,upper,0.07444,-0.216348
conforming,0.0,xcoarse,0.20,upper,0.07481,-0.216361
conforming,0.0,xcoarse,0.20,upper,0.07519,-0.216373
conforming,0.0,xcoarse,0.20,upper,0.07556,-0.216385
conforming,0.0,xcoarse,0.20,upper,0.07594,-0.216397
conforming,0.0,xcoarse,0.20,upper,0.07632,-0.216410
conforming,0.0,xcoarse,0.20,upper,0.07669,-0.216422
conforming,0.0,xcoarse,0.20,upper,0.07707,-0.216434
conforming,0.0,xcoarse,0.20,upper,0.07744,-0.216447
conforming,0.0,xcoarse,0.20,upper,0.07782,-0.216459
conforming,0.0,xcoarse,0.20,upper,0.07820,-0.216471
conforming,0.0,xcoarse,0.20,upper,0.07857,-0.216483
conforming,0.0,xcoarse,0.20,upper,0.07895,-0.216496
conforming,0.0,xcoarse,0.20,upper,0.07932,-0.216508
conforming,0.0,xcoarse,0.20,upper,0.07970,-0.216520
conforming,0.0,xcoarse,0.20,upper,0.08008,-0.216533
conforming,0.0,xcoarse,0.20,upper,0.08045,-0.216545
conforming,0.0,xcoarse,0.20,upper,0.08083,-0.216557
conforming,0.0,xcoarse,0.20,upper,0.08120,-0.216570
conforming,0.0,xcoarse,0.20,upper,0.08158,-0.216582
conforming,0.0,xcoarse,0.20,upper,0.08195,-0.216594
conforming,0.0,xcoarse,0.20,upper,0.08233,-0.216606
conforming,0.0,xcoarse,0.20,upper,0.08271,-0.216619
conforming,0.0,xcoarse,0.20,upper,0.08308,-0.216631
conforming,0.0,xcoarse,0.20,upper,0.08346,-0.216643
conforming,0.0,xcoarse,0.20,upper,0.08383,-0.216656
conforming,0.0,xcoarse,0.20,upper,0.08421,-0.216668
conforming,0.0,xcoarse,0.20,upper,0.08459,-0.216680
conforming,0.0,xcoarse,0.20,upper,0.08496,-0.216692
conforming,0.0,xcoarse,0.20,upper,0.08534,-0.216705
conforming,0.0,xcoarse,0.20,upper,0.08571,-0.216717
conforming,0.0,xcoarse,0.20,upper,0.08609,-0.216729
conforming,0.0,xcoarse,0.20,upper,0.08647,-0.216742
conforming,0.0,xcoarse,0.20,upper,0.08684,-0.216754
conforming,0.0,xcoarse,0.20,upper,0.08722,-0.216766
conforming,0.0,xcoarse,0.20,upper,0.08759,-0.216778
conforming,0.0,xcoarse,0.20,upper,0.08797,-0.216791
conforming,0.0,xcoarse,0.20,upper,0.08835,-0.216803
conforming,0.0,xcoarse,0.20,upper,0.08872,-0.216815
conforming,0.0,xcoarse,0.20,upper,0.08910,-0.216828
conforming,0.0,xcoarse,0.20,upper,0.08947,-0.216840
conforming,0.0,xcoarse,0.20,upper,0.08985,-0.216852
conforming,0.0,xcoarse,0.20,upper,0.09023,-0.216864
conforming,0.0,xcoarse,0.20,upper,0.09060,-0.216877
conforming,0.0,xcoarse,0.20,upper,0.09098,-0.216889
conforming,0.0,xcoarse,0.20,upper,0.09135,-0.216901
conforming,0.0,xcoarse,0.20,upper,0.09173,-0.216914
conforming,0.0,xcoarse,0.20,upper,0.09211,-0.216926
conforming,0.0,xcoarse,0.20,upper,0.09248,-0.216938
conforming,0.0,xcoarse,0.20,upper,0.09286,-0.216951
conforming,0.0,xcoarse,0.20,upper,0.09323,-0.216963
conforming,0.0,xcoarse,0.20,upper,0.09361,-0.216975
conforming,0.0,xcoarse,0.20,upper,0.09398,-0.216987
conforming,0.0,xcoarse,0.20,upper,0.09436,-0.216957
conforming,0.0,xcoarse,0.20,upper,0.09474,-0.216176
conforming,0.0,xcoarse,0.20,upper,0.09511,-0.215395
conforming,0.0,xcoarse,0.20,upper,0.09549,-0.214613
conforming,0.0,xcoarse,0.20,upper,0.09586,-0.213832
conforming,0.0,xcoarse,0.20,upper,0.09624,-0.213051
conforming,0.0,xcoarse,0.20,upper,0.09662,-0.212270
conforming,0.0,xcoarse,0.20,upper,0.09699,-0.211489
conforming,0.0,xcoarse,0.20,upper,0.09737,-0.210708
conforming,0.0,xcoarse,0.20,upper,0.09774,-0.209927
conforming,0.0,xcoarse,0.20,upper,0.09812,-0.209146
conforming,0.0,xcoarse,0.20,upper,0.09850,-0.208365
conforming,0.0,xcoarse,0.20,upper,0.09887,-0.207584
conforming,0.0,xcoarse,0.20,upper,0.09925,-0.206803
conforming,0.0,xcoarse,0.20,upper,0.09962,-0.206022
conforming,0.0,xcoarse,0.20,upper,0.10000,-0.205241
conforming,0.0,xcoarse,0.20,upper,0.10038,-0.204460
conforming,0.0,xcoarse,0.20,upper,0.10075,-0.203679
conforming,0.0,xcoarse,0.20,upper,0.10113,-0.202898
conforming,0.0,xcoarse,0.20,upper,0.10150,-0.202117
conforming,0.0,xcoarse,0.20,upper,0.10188,-0.201336
conforming,0.0,xcoarse,0.20,upper,0.10226,-0.200555
conforming,0.0,xcoarse,0.20,upper,0.10263,-0.199774
conforming,0.0,xcoarse,0.20,upper,0.10301,-0.198993
conforming,0.0,xcoarse,0.20,upper,0.10338,-0.198212
conforming,0.0,xcoarse,0.20,upper,0.10376,-0.197431
conforming,0.0,xcoarse,0.20,upper,0.10414,-0.196650
conforming,0.0,xcoarse,0.20,upper,0.10451,-0.195869
conforming,0.0,xcoarse,0.20,upper,0.10489,-0.195088
conforming,0.0,xcoarse,0.20,upper,0.10526,-0.194307
conforming,0.0,xcoarse,0.20,upper,0.10564,-0.193526
conforming,0.0,xcoarse,0.20,upper,0.10602,-0.192745
conforming,0.0,xcoarse,0.20,upper,0.10639,-0.191964
conforming,0.0,xcoarse,0.20,upper,0.10677,-0.191183
conforming,0.0,xcoarse,0.20,upper,0.10714,-0.190402
conforming,0.0,xcoarse,0.20,upper,0.10752,-0.189621
conforming,0.0,xcoarse,0.20,upper,0.10789,-0.188840
conforming,0.0,xcoarse,0.20,upper,0.10827,-0.188059
conforming,0.0,xcoarse,0.20,upper,0.10865,-0.187278
conforming,0.0,xcoarse,0.20,upper,0.10902,-0.186497
conforming,0.0,xcoarse,0.20,upper,0.10940,-0.185716
conforming,0.0,xcoarse,0.20,upper,0.10977,-0.184935
conforming,0.0,xcoarse,0.20,upper,0.11015,-0.184154
conforming,0.0,xcoarse,0.20,upper,0.11053,-0.183373
conforming,0.0,xcoarse,0.20,upper,0.11090,-0.182592
conforming,0.0,xcoarse,0.20,upper,0.11128,-0.181811
conforming,0.0,xcoarse,0.20,upper,0.11165,-0.181029
conforming,0.0,xcoarse,0.20,upper,0.11203,-0.180248
conforming,0.0,xcoarse,0.20,upper,0.11241,-0.179467
conforming,0.0,xcoarse,0.20,upper,0.11278,-0.178686
conforming,0.0,xcoarse,0.20,upper,0.11316,-0.177905
conforming,0.0,xcoarse,0.20,upper,0.11353,-0.177124
conforming,0.0,xcoarse,0.20,upper,0.11391,-0.176343
conforming,0.0,xcoarse,0.20,upper,0.11429,-0.175562
conforming,0.0,xcoarse,0.20,upper,0.11466,-0.174781
conforming,0.0,xcoarse,0.20,upper,0.11504,-0.174000
conforming,0.0,xcoarse,0.20,upper,0.11541,-0.173219
conforming,0.0,xcoarse,0.20,upper,0.11579,-0.172438
conforming,0.0,xcoarse,0.20,upper,0.11617,-0.171657
conforming,0.0,xcoarse,0.20,upper,0.11654,-0.170876
conforming,0.0,xcoarse,0.20,upper,0.11692,-0.170095
conforming,0.0,xcoarse,0.20,upper,0.11729,-0.169314
conforming,0.0,xcoarse,0.20,upper,0.11767,-0.168533
conforming,0.0,xcoarse,0.20,upper,0.11805,-0.167752
conforming,0.0,xcoarse,0.20,upper,0.11842,-0.167046
conforming,0.0,xcoarse,0.20,upper,0.11880,-0.167158
conforming,0.0,xcoarse,0.20,upper,0.11917,-0.167271
conforming,0.0,xcoarse,0.20,upper,0.11955,-0.167383
conforming,0.0,xcoarse,0.20,upper,0.11992,-0.167495
