case,level,quantity,sst,sa,spread,rel_spread,coverage
n0012_m0500_a2.00_xtr030,L1,cd,0.007103,0.007908,0.000805,10.1796%,both
n0012_m0500_a2.00_xtr030,L1,cd_friction,0.005531,0.006322,0.000791,12.5119%,both
n0012_m0500_a2.00_xtr030,L1,cd_pressure,0.001571,0.001586,0.000015,0.9458%,both
n0012_m0500_a2.00_xtr030,L1,cl,0.262085,0.266483,0.004398,1.6504%,both
n0012_m0500_a2.00_xtr030,L1,cm_quarter_chord,-0.001175,-0.000222,0.000953,81.1064%,both
n0012_m0500_a2.00_xtr030,L2,cd,0.006949,0.007807,0.000858,10.9901%,both
n0012_m0500_a2.00_xtr030,L2,cd_friction,0.005470,0.006306,0.000836,13.2572%,both
n0012_m0500_a2.00_xtr030,L2,cd_pressure,0.001479,0.001500,0.000021,1.4000%,both
n0012_m0500_a2.00_xtr030,L2,cl,0.261606,0.266193,0.004587,1.7232%,both
n0012_m0500_a2.00_xtr030,L2,cm_quarter_chord,-0.001303,-0.000301,0.001002,76.8995%,both
n0012_m0500_a2.00_xtr030,L3,cd,0.006910,0.007814,0.000904,11.5690%,both
n0012_m0500_a2.00_xtr030,L3,cd_friction,0.005471,0.006348,0.000877,13.8154%,both
n0012_m0500_a2.00_xtr030,L3,cd_pressure,0.001439,0.001466,0.000027,1.8417%,both
n0012_m0500_a2.00_xtr030,L3,cl,0.261178,0.265777,0.004599,1.7304%,both
n0012_m0500_a2.00_xtr030,L3,cm_quarter_chord,-0.001387,-0.000377,0.001010,72.8190%,both
n0012_m0778_a2.03,L1,cd,0.025884,0.030476,0.004592,15.0676%,both
n0012_m0778_a2.03,L1,cd_friction,0.005371,0.006301,0.000930,14.7596%,both
n0012_m0778_a2.03,L1,cd_pressure,0.020513,0.024175,0.003662,15.1479%,both
n0012_m0778_a2.03,L1,cl,0.332325,0.413929,0.081604,19.7145%,both
n0012_m0778_a2.03,L1,cm_quarter_chord,-0.002472,0.013929,0.016401,117.7471%,both
n0012_m0778_a2.03,L1,x_shock_upper,0.527317,0.565670,0.038353,6.7801%,both
n0012_m0778_a2.03,L2,cd,0.026100,0.030850,0.004750,15.3971%,both
n0012_m0778_a2.03,L2,cd_friction,0.005385,0.006343,0.000958,15.1033%,both
n0012_m0778_a2.03,L2,cd_pressure,0.020715,0.024508,0.003793,15.4766%,both
n0012_m0778_a2.03,L2,cl,0.339299,0.422484,0.083185,19.6895%,both
n0012_m0778_a2.03,L2,cm_quarter_chord,-0.001041,0.015899,0.016940,106.5476%,both
n0012_m0778_a2.03,L2,x_shock_upper,0.532373,0.566352,0.033979,5.9996%,both
n0012_m0778_a2.03,L3,cd,0.026218,0.031167,0.004949,15.8790%,both
n0012_m0778_a2.03,L3,cd_friction,0.005388,0.006363,0.000975,15.3230%,both
n0012_m0778_a2.03,L3,cd_pressure,0.020830,0.024804,0.003974,16.0216%,both
n0012_m0778_a2.03,L3,cl,0.342969,0.428877,0.085908,20.0309%,both
n0012_m0778_a2.03,L3,cm_quarter_chord,-0.000302,0.017445,0.017747,101.7312%,both
n0012_m0778_a2.03,L3,x_shock_upper,0.537206,0.568405,0.031199,5.4889%,both
n0012_m0803_am0.10,L1,cd,0.017673,0.018322,0.000649,3.5422%,both
n0012_m0803_am0.10,L1,cd_friction,0.005430,0.006307,0.000877,13.9052%,both
n0012_m0803_am0.10,L1,cd_pressure,0.012243,0.012015,0.000228,1.8623%,both
n0012_m0803_am0.10,L1,cl,-0.018829,-0.023444,0.004615,19.6852%,both
n0012_m0803_am0.10,L1,cm_quarter_chord,-0.000819,-0.001752,0.000933,53.2534%,both
n0012_m0803_am0.10,L1,x_shock_lower,0.520662,0.524999,0.004337,0.8261%,both
n0012_m0803_am0.10,L1,x_shock_upper,0.506066,0.506219,0.000153,0.0302%,both
n0012_m0803_am0.10,L2,cd,0.017585,0.018242,0.000657,3.6016%,both
n0012_m0803_am0.10,L2,cd_friction,0.005462,0.006361,0.000899,14.1330%,both
n0012_m0803_am0.10,L2,cd_pressure,0.012123,0.011881,0.000242,1.9962%,both
n0012_m0803_am0.10,L2,cl,-0.019314,-0.025100,0.005786,23.0518%,both
n0012_m0803_am0.10,L2,cm_quarter_chord,-0.000928,-0.002119,0.001191,56.2058%,both
n0012_m0803_am0.10,L2,x_shock_lower,0.517899,0.522473,0.004574,0.8755%,both
n0012_m0803_am0.10,L2,x_shock_upper,0.503164,0.502560,0.000604,0.1200%,both
n0012_m0803_am0.10,L3,cd,0.017565,0.018215,0.000650,3.5685%,both
n0012_m0803_am0.10,L3,cd_friction,0.005481,0.006383,0.000902,14.1313%,both
n0012_m0803_am0.10,L3,cd_pressure,0.012084,0.011833,0.000251,2.0771%,both
n0012_m0803_am0.10,L3,cl,-0.019796,-0.025181,0.005385,21.3852%,both
n0012_m0803_am0.10,L3,cm_quarter_chord,-0.001035,-0.002135,0.001100,51.5222%,both
n0012_m0803_am0.10,L3,x_shock_lower,0.515375,0.520781,0.005406,1.0381%,both
n0012_m0803_am0.10,L3,x_shock_upper,0.500904,0.500423,0.000481,0.0960%,both
