case,model,turb_model,level,mach,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical
n0012_m0803_am0.10,rans,sa,L1,0.8030,upper,1,0.506219,2,1,-0.895191,-0.885729,-0.188275,-0.426069
n0012_m0803_am0.10,rans,sa,L1,0.8030,lower,1,0.524999,2,1,-0.928099,-0.915304,-0.171899,-0.426069
n0012_m0803_am0.10,rans,sa,L2,0.8030,upper,1,0.502560,2,1,-0.896957,-0.894352,-0.192839,-0.426069
n0012_m0803_am0.10,rans,sa,L2,0.8030,lower,1,0.522473,3,1,-0.931215,-0.928256,-0.175658,-0.426069
n0012_m0803_am0.10,rans,sa,L3,0.8030,upper,1,0.500423,3,1,-0.898687,-0.898451,-0.195903,-0.426069
n0012_m0803_am0.10,rans,sa,L3,0.8030,lower,1,0.520781,3,1,-0.933721,-0.933283,-0.178739,-0.426069
n0012_m0803_am0.10,rans,sa,L4,0.8030,upper,1,0.498798,3,1,-0.899700,-0.899088,-0.197718,-0.426069
n0012_m0803_am0.10,rans,sa,L4,0.8030,lower,1,0.519726,4,1,-0.935350,-0.934823,-0.180283,-0.426069
n0012_m0803_am0.10,rans,sst,L1,0.8030,upper,1,0.506066,2,1,-0.893972,-0.871723,-0.213578,-0.426069
n0012_m0803_am0.10,rans,sst,L1,0.8030,lower,1,0.520662,2,1,-0.924190,-0.878230,-0.207570,-0.426069
n0012_m0803_am0.10,rans,sst,L2,0.8030,upper,1,0.503164,2,1,-0.897904,-0.891378,-0.220291,-0.426069
n0012_m0803_am0.10,rans,sst,L2,0.8030,lower,1,0.517899,3,1,-0.927089,-0.918336,-0.216190,-0.426069
n0012_m0803_am0.10,rans,sst,L3,0.8030,upper,1,0.500904,4,1,-0.899660,-0.898312,-0.225682,-0.426069
n0012_m0803_am0.10,rans,sst,L3,0.8030,lower,1,0.515375,4,1,-0.929792,-0.927410,-0.224217,-0.426069
n0012_m0803_am0.10,rans,sst,L4,0.8030,upper,1,0.499387,6,1,-0.901123,-0.901028,-0.228658,-0.426069
n0012_m0803_am0.10,rans,sst,L4,0.8030,lower,1,0.515356,7,1,-0.931483,-0.930985,-0.225805,-0.426069
