state,arm,eta,half,d
W M0.78,P1,0.8,0.02,-0.00998812836687274
W M0.78,P1,0.9,0.02,0.03751872360570216
W M0.78,P1,0.96,0.02,0.0315833245389632
W M0.78,P1,0.99,0.02,0.8646568921460075
W M0.78,P1,0.2,0.04,0.001908016092213194
W M0.78,P1,0.44,0.04,-0.010841819071728542
W M0.78,P1,0.65,0.04,0.005516891362438769
W M0.78,P1,0.8,0.04,0.03694225612903146
W M0.78,P1,0.9,0.04,0.05099794253314868
W M0.78,P1,0.96,0.04,0.8063896608085761
W M0.78,P1,0.99,0.04,0.8655821553254268
W M0.78,P2,0.2,0.01,-0.008548530896932638
W M0.78,P2,0.44,0.01,-0.01853285375127478
W M0.78,P2,0.65,0.01,-0.032988591530980216
W M0.78,P2,0.8,0.01,0.008920136052114946
W M0.78,P2,0.9,0.01,0.017964455678468855
W M0.78,P2,0.96,0.01,0.023526555362408358
W M0.78,P2,0.99,0.01,0.0314349141141127
W M0.78,P2,0.2,0.02,-0.0026813329307039946
W M0.78,P2,0.44,0.02,-0.01853285375127478
W M0.78,P2,0.65,0.02,-0.028882792837176707
W M0.78,P2,0.8,0.02,0.010256219871885519
W M0.78,P2,0.9,0.02,0.03751872360570216
W M0.78,P2,0.96,0.02,0.0315833245389632
W M0.78,P2,0.99,0.02,0.04704044533346291
W M0.78,P2,0.2,0.04,-0.0037921986537788333
W M0.78,P2,0.44,0.04,-0.010841819071728542
W M0.78,P2,0.65,0.04,-0.011181225819747509
W M0.78,P2,0.8,0.04,0.03060981330541912
W M0.78,P2,0.9,0.04,0.05099794253314868
W M0.78,P2,0.96,0.04,0.04914995112949169
W M0.78,P2,0.99,0.04,0.08233372450865795
W M0.78,P3,0.44,0.01,-0.03563606646660561
W M0.78,P3,0.65,0.01,-0.032988591530980216
W M0.78,P3,0.8,0.01,-0.011498264463412844
W M0.78,P3,0.9,0.01,-0.02493438418447813
W M0.78,P3,0.96,0.01,0.023526555362408358
W M0.78,P3,0.99,0.01,0.03298532205649071
W M0.78,P3,0.44,0.02,-0.035254008781407054
W M0.78,P3,0.65,0.02,-0.028882792837176707
W M0.78,P3,0.8,0.02,-0.00998812836687274
W M0.78,P3,0.9,0.02,0.02534914058431223
W M0.78,P3,0.96,0.02,0.0315833245389632
W M0.78,P3,0.99,0.02,0.04704044533346291
W M0.78,P3,0.44,0.04,-0.02709801688470559
W M0.78,P3,0.65,0.04,0.005516891362438769
W M0.78,P3,0.8,0.04,0.016287569288101156
W M0.78,P3,0.9,0.04,0.03187366926055166
W M0.78,P3,0.96,0.04,0.04914995112949169
W M0.78,P3,0.99,0.04,0.08233372450865795
W M0.78,S1,0.2,0.01,-0.02336000137179517
W M0.78,S1,0.44,0.01,-0.03563606646660561
W M0.78,S1,0.65,0.01,-0.032988591530980216
W M0.78,S1,0.8,0.01,-0.011498264463412844
W M0.78,S1,0.9,0.01,0.017964455678468855
W M0.78,S1,0.96,0.01,0.023526555362408358
W M0.78,S1,0.99,0.01,0.870625114484926
W M0.78,S1,0.2,0.02,-0.002342936566857856
W M0.78,S1,0.44,0.02,-0.035254008781407054
W M0.78,S1,0.65,0.02,-0.009781934734828523
W M0.78,S1,0.8,0.02,-0.00998812836687274
W M0.78,S1,0.9,0.02,0.03751872360570216
W M0.78,S1,0.96,0.02,0.8149739952135369
W M0.78,S1,0.99,0.02,0.8693565184396209
W M0.78,S1,0.2,0.04,0.001908016092213194
W M0.78,S1,0.44,0.04,-0.007977856186416998
W M0.78,S1,0.65,0.04,0.0058952990774831515
W M0.78,S1,0.8,0.04,0.03694225612903146
W M0.78,S1,0.9,0.04,0.05099794253314868
W M0.78,S1,0.96,0.04,0.8107727675920147
W M0.78,S1,0.99,0.04,0.8701158075710089
W M0.78,S2,0.2,0.01,-0.25569748483636867
W M0.78,S2,0.44,0.01,-0.06824872857726827
W M0.78,S2,0.65,0.01,-0.05080064226316744
W M0.78,S2,0.8,0.01,-0.011498264463412844
W M0.78,S2,0.9,0.01,-0.02493438418447813
W M0.78,S2,0.96,0.01,0.023526555362408358
W M0.78,S2,0.99,0.01,0.03298532205649071
W M0.78,S2,0.2,0.02,-0.24517838312713858
W M0.78,S2,0.44,0.02,-0.035254008781407054
W M0.78,S2,0.65,0.02,-0.033578263727421565
W M0.78,S2,0.8,0.02,-0.00998812836687274
W M0.78,S2,0.9,0.02,0.01710568217580752
W M0.78,S2,0.96,0.02,0.0315833245389632
W M0.78,S2,0.99,0.02,0.04704044533346291
W M0.78,S2,0.2,0.04,-0.20303467482979176
W M0.78,S2,0.44,0.04,-0.02709801688470559
W M0.78,S2,0.65,0.04,-0.011181225819747509
W M0.78,S2,0.8,0.04,0.016287569288101156
W M0.78,S2,0.9,0.04,0.05099794253314868
W M0.78,S2,0.96,0.04,0.04914995112949169
W M0.78,S2,0.99,0.04,0.08233372450865795
W M0.78,S3,0.44,0.01,-0.09540068329734935
W M0.78,S3,0.65,0.01,-0.032988591530980216
W M0.78,S3,0.8,0.01,-0.011498264463412844
W M0.78,S3,0.9,0.01,-0.02493438418447813
W M0.78,S3,0.96,0.01,0.023526555362408358
W M0.78,S3,0.99,0.01,0.03298532205649071
W M0.78,S3,0.44,0.02,-0.06774490546018841
W M0.78,S3,0.65,0.02,-0.028882792837176707
W M0.78,S3,0.8,0.02,-0.00998812836687274
W M0.78,S3,0.9,0.02,0.01710568217580752
W M0.78,S3,0.96,0.02,0.0315833245389632
W M0.78,S3,0.99,0.02,0.04704044533346291
W M0.78,S3,0.44,0.04,-0.043617375439302164
W M0.78,S3,0.65,0.04,-0.011181225819747509
W M0.78,S3,0.8,0.04,0.016287569288101156
W M0.78,S3,0.9,0.04,0.05099794253314868
W M0.78,S3,0.96,0.04,0.04914995112949169
W M0.78,S3,0.99,0.04,0.08233372450865795
W M0.80,P0,0.2,0.01,0.004301885147916407
W M0.80,P0,0.44,0.01,-0.00020293901570206385
W M0.80,P0,0.65,0.01,0.011839627250444129
W M0.80,P0,0.8,0.01,0.6101766002022218
W M0.80,P0,0.9,0.01,-0.007867133969026496
W M0.80,P0,0.96,0.01,0.7701765267642352
W M0.80,P0,0.99,0.01,0.8368219044902712
W M0.80,P0,0.2,0.02,0.008864092184913908
W M0.80,P0,0.44,0.02,0.003481092358263993
W M0.80,P0,0.65,0.02,0.015198724259320062
W M0.80,P0,0.8,0.02,0.6057320891104208
W M0.80,P0,0.9,0.02,0.009549043027878068
W M0.80,P0,0.96,0.02,0.7840131075872756
W M0.80,P0,0.99,0.02,0.838225830579651
W M0.80,P0,0.2,0.04,0.004729661629751081
W M0.80,P0,0.44,0.04,0.02429601973544876
W M0.80,P0,0.65,0.04,0.03596722853258438
W M0.80,P0,0.8,0.04,0.5949046040800827
W M0.80,P0,0.9,0.04,0.013171650995102757
W M0.80,P0,0.96,0.04,0.7798118799657534
W M0.80,P0,0.99,0.04,0.8388907357559257
W M0.80,P1,0.2,0.01,-0.01054083798468175
W M0.80,P1,0.44,0.01,-0.01885887688227611
W M0.80,P1,0.65,0.01,-0.0069466394740964055
W M0.80,P1,0.8,0.01,0.004331942013187817
W M0.80,P1,0.9,0.01,-0.008381612247409409
W M0.80,P1,0.96,0.01,0.016395615615471343
W M0.80,P1,0.99,0.01,0.8320363183003037
W M0.80,P1,0.2,0.02,-0.007433735565182564
W M0.80,P1,0.44,0.02,0.003481092358263993
W M0.80,P1,0.65,0.02,0.01499485050459104
W M0.80,P1,0.8,0.02,0.005051823795661159
W M0.80,P1,0.9,0.02,0.0090512551012083
W M0.80,P1,0.96,0.02,0.7840131075872756
W M0.80,P1,0.99,0.02,0.8308536821513528
W M0.80,P1,0.2,0.04,-0.003995992053618558
W M0.80,P1,0.44,0.04,0.00789211845006349
W M0.80,P1,0.65,0.04,0.03596722853258438
W M0.80,P1,0.8,0.04,0.034084531929213124
W M0.80,P1,0.9,0.04,0.012692885728404768
W M0.80,P1,0.96,0.04,0.775428773182315
W M0.80,P1,0.99,0.04,0.831778945330772
W M0.80,P2,0.2,0.01,-0.011260733575719883
W M0.80,P2,0.44,0.01,-0.034365650109188184
W M0.80,P2,0.65,0.01,-0.018854094810007438
W M0.80,P2,0.8,0.01,0.004331942013187817
W M0.80,P2,0.9,0.01,-0.04592990057644475
W M0.80,P2,0.96,0.01,0.016648573627629087
W M0.80,P2,0.99,0.01,0.8262526412194613
W M0.80,P2,0.2,0.02,-0.008140081088776951
W M0.80,P2,0.44,0.02,-0.023290924613849573
W M0.80,P2,0.65,0.02,-0.015307776514219607
W M0.80,P2,0.8,0.02,0.005051823795661159
W M0.80,P2,0.9,0.02,-0.012385265022434921
W M0.80,P2,0.96,0.02,0.024464543280262957
W M0.80,P2,0.99,0.02,0.8251738929251391
W M0.80,P2,0.2,0.04,-0.003995992053618558
W M0.80,P2,0.44,0.04,0.0027312063552183963
W M0.80,P2,0.65,0.04,0.007373427198685445
W M0.80,P2,0.8,0.04,0.022081564863048464
W M0.80,P2,0.9,0.04,-0.006028614260111087
W M0.80,P2,0.96,0.04,0.7701315173729009
W M0.80,P2,0.99,0.04,0.8262997460134027
W M0.80,P3,0.2,0.01,-0.011260733575719883
W M0.80,P3,0.44,0.01,-0.01885887688227611
W M0.80,P3,0.65,0.01,-0.018854094810007438
W M0.80,P3,0.8,0.01,-0.012551828698095069
W M0.80,P3,0.9,0.01,-0.04592990057644475
W M0.80,P3,0.96,0.01,0.016648573627629087
W M0.80,P3,0.99,0.01,0.03258624438663932
W M0.80,P3,0.2,0.02,-0.008140081088776951
W M0.80,P3,0.44,0.02,-0.01885887688227611
W M0.80,P3,0.65,0.02,-0.002542921296235512
W M0.80,P3,0.8,0.02,-0.008019344090444691
W M0.80,P3,0.9,0.02,-0.012385265022434921
W M0.80,P3,0.96,0.02,0.024464543280262957
W M0.80,P3,0.99,0.02,0.04576353046373352
W M0.80,P3,0.2,0.04,-0.01195353537711108
W M0.80,P3,0.44,0.04,-0.008979404870443297
W M0.80,P3,0.65,0.04,0.023492241637655564
W M0.80,P3,0.8,0.04,0.017975504203203485
W M0.80,P3,0.9,0.04,-0.006028614260111087
W M0.80,P3,0.96,0.04,0.054044132378181564
W M0.80,P3,0.99,0.04,0.0744153792063757
W M0.80,S1,0.2,0.01,-0.01054083798468175
W M0.80,S1,0.44,0.01,-0.01885887688227611
W M0.80,S1,0.65,0.01,-0.0069466394740964055
W M0.80,S1,0.8,0.01,-0.012551828698095069
W M0.80,S1,0.9,0.01,-0.007867133969026496
W M0.80,S1,0.96,0.01,0.016395615615471343
W M0.80,S1,0.99,0.01,0.8368219044902712
W M0.80,S1,0.2,0.02,-0.007433735565182564
W M0.80,S1,0.44,0.02,0.003481092358263993
W M0.80,S1,0.65,0.02,0.01499485050459104
W M0.80,S1,0.8,0.02,-0.008019344090444691
W M0.80,S1,0.9,0.02,0.009549043027878068
W M0.80,S1,0.96,0.02,0.7840131075872756
W M0.80,S1,0.99,0.02,0.8355533084449662
W M0.80,S1,0.2,0.04,-0.003995992053618558
W M0.80,S1,0.44,0.04,0.00789211845006349
W M0.80,S1,0.65,0.04,0.03596722853258438
W M0.80,S1,0.8,0.04,0.034084531929213124
W M0.80,S1,0.9,0.04,0.013171650995102757
W M0.80,S1,0.96,0.04,0.7798118799657534
W M0.80,S1,0.99,0.04,0.8363125975763541
W M0.80,S2,0.2,0.01,-0.011260733575719883
W M0.80,S2,0.44,0.01,-0.01885887688227611
W M0.80,S2,0.65,0.01,-0.0069466394740964055
W M0.80,S2,0.8,0.01,-0.012551828698095069
W M0.80,S2,0.9,0.01,-0.007867133969026496
W M0.80,S2,0.96,0.01,0.016648573627629087
W M0.80,S2,0.99,0.01,0.833598291434182
W M0.80,S2,0.2,0.02,-0.008140081088776951
W M0.80,S2,0.44,0.02,-0.01885887688227611
W M0.80,S2,0.65,0.02,-0.002542921296235512
W M0.80,S2,0.8,0.02,-0.008019344090444691
W M0.80,S2,0.9,0.02,0.009549043027878068
W M0.80,S2,0.96,0.02,0.7840131075872756
