node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
43,0.16340348166569432,-3.097405242393389e-07,-3.6886479942041755e-08,-7.487258672951711e-07,-4.736223189156155e-08,-3.0552339578795294e-10,-6.50309105684811e-17,7.487258672951711e-07
44,0.143504227740985,-4.841273290535845e-08,1.5851516400203513e-07,-1.5066235867411777e-07,1.8554590319838838e-07,-1.4767225268810654e-08,-1.5111926063210652e-16,1.8554590319838838e-07
45,0.12365268683703401,8.42189727363353e-08,-4.2807880949651336e-08,2.501805474389548e-07,-4.9388898052492095e-08,4.961973431680277e-09,-2.0124240037544543e-16,2.501805474389548e-07
46,0.10387043514563422,4.999168017988544e-08,2.4664935704962188e-08,1.6535912837516763e-07,3.477512716900785e-08,5.445076494566015e-09,-5.343675969149e-16,1.6535912837516763e-07
47,0.08419196317413082,2.821975440408235e-07,1.659528637964167e-08,7.754449138101258e-07,2.320997528415095e-08,6.076999653793965e-09,7.272671496069039e-15,7.754449138101258e-07
48,0.06467731107459346,4.776823923907695e-07,6.8799187460773896e-09,1.40446559543822e-06,8.388455483507226e-09,1.4397005496584124e-08,-6.382357074631076e-14,1.40446559543822e-06
49,0.04544492434868167,1.8397049180667512e-07,1.0548416769607098e-09,3.122431923676367e-07,-1.610727140500438e-08,-6.408750540599543e-18,0.0,3.122431923676367e-07
50,0.02677973695352772,3.541097037448836e-07,1.4631721354944091e-08,4.775239043325337e-07,6.912289281094622e-09,0.0,0.0,4.775239043325337e-07
51,0.009658372839029162,-1.6696713456276768e-17,-1.7763568394002505e-15,1.5947987152880802e-15,-5.797901184749024e-16,0.0,0.0,1.7763568394002505e-15
52,0.00965837291491934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.02677973714879848,0.007392365937539329,-0.0006552278889371671,-0.017516035455141448,0.0033455362733603843,0.0,0.0,0.017516035455141448
54,0.0454449246606789,0.0012330224727124485,-0.00010914309048782246,-0.002919200466528362,0.0005649780235108637,0.0,0.0,0.002919200466528362
55,0.06467731150134615,1.2465978672065952e-07,-6.465346999358177e-07,6.525283441267471e-06,4.120219484770833e-05,-1.2886487703086727e-07,-1.8578573878827394e-11,4.120219484770833e-05
56,0.08419196371362062,5.852184561739943e-05,1.477360567138686e-05,9.556100339463803e-05,1.3405774267247008e-05,-1.6001476417805056e-06,1.561715525235695e-09,9.556100339463803e-05
