state,z,gamma,resid_localfit,abs_F,d_up,d_lo,asym,dz_up,dz_lo,shared_up,shared_lo
conf_picard_coarse,0.54770,0.087773,0.000135,3.24e-04,0.01498,0.01498,0.0000,0.00372,0.00372,1,1
conf_picard_coarse,0.56212,0.086436,0.000201,3.27e-04,0.01374,0.01360,0.0050,0.01022,0.01026,1,1
conf_picard_coarse,0.57653,0.086436,0.000868,3.27e-04,0.01386,0.01360,0.0094,0.00420,0.00415,1,1
conf_picard_coarse,0.59094,0.082065,0.003719,3.32e-04,0.01498,0.01494,0.0011,0.00372,0.01046,0,0
conf_picard_coarse,0.60536,0.086672,0.000740,3.40e-04,0.01337,0.01494,0.0555,0.00966,0.01067,0,1
conf_picard_coarse,0.61977,0.088498,0.003383,3.39e-04,0.01333,0.01496,0.0577,0.00713,0.00374,1,1
conf_picard_coarse,0.63418,0.084313,0.000998,3.39e-04,0.01694,0.01493,0.0629,0.00728,0.00359,1,0
conf_picard_coarse,0.64860,0.080338,0.001227,3.43e-04,0.01498,0.01436,0.0211,0.01070,0.01107,1,0
conf_picard_coarse,0.66301,0.076382,0.004164,3.46e-04,0.01498,0.01345,0.0535,0.00372,0.00973,1,1
conf_picard_coarse,0.67742,0.080335,0.000512,3.44e-04,0.01493,0.01412,0.0280,0.00368,0.00468,0,1
conf_picard_coarse,0.69184,0.087868,0.005877,3.49e-04,0.01439,0.01542,0.0344,0.01108,0.00319,1,0
conf_picard_coarse,0.70625,0.078477,0.004105,3.46e-04,0.01363,0.01511,0.0513,0.00334,0.01083,1,1
conf_picard_coarse,0.72066,0.084673,0.003354,3.43e-04,0.01497,0.01500,0.0010,0.01071,0.00359,0,1
conf_picard_coarse,0.73508,0.077243,0.001240,3.33e-04,0.01490,0.01313,0.0631,0.01068,0.00988,1,1
conf_picard_coarse,0.74949,0.077243,0.001190,3.33e-04,0.01489,0.01346,0.0505,0.00374,0.00453,1,1
conf_picard_coarse,0.76390,0.073125,0.002388,3.14e-04,0.01489,0.01490,0.0004,0.00372,0.01029,0,0
conf_picard_coarse,0.77832,0.072325,0.004128,3.04e-04,0.01495,0.01498,0.0010,0.00374,0.01070,0,1
conf_picard_coarse,0.79273,0.080777,0.003422,2.89e-04,0.01448,0.01498,0.0167,0.01036,0.00372,0,1
conf_picard_coarse,0.80714,0.081290,0.004355,2.78e-04,0.01283,0.01378,0.0359,0.00916,0.00088,1,0
conf_picard_coarse,0.82156,0.075487,0.000808,2.74e-04,0.01403,0.01262,0.0530,0.00525,0.00317,1,0
conf_picard_coarse,0.83597,0.066082,0.005299,2.47e-04,0.01498,0.01391,0.0368,0.00372,0.01124,0,1
conf_picard_coarse,0.85038,0.070942,0.001909,2.33e-04,0.01581,0.01264,0.1116,0.01108,0.00318,1,1
conf_picard_coarse,0.86480,0.064525,0.004301,2.24e-04,0.01567,0.01494,0.0238,0.00334,0.01069,1,1
conf_picard_coarse,0.87921,0.074121,0.004331,2.18e-04,0.01432,0.01494,0.0210,0.01059,0.00372,1,1
conf_picard_coarse,0.89362,0.070716,0.000418,2.16e-04,0.01419,0.01504,0.0289,0.00382,0.00362,1,0
conf_picard_coarse,0.90803,0.069345,0.000573,2.08e-04,0.01366,0.01499,0.0461,0.00994,0.01071,1,1
conf_picard_coarse,0.92245,0.069345,0.000111,2.08e-04,0.01412,0.01498,0.0293,0.00447,0.00371,1,1
conf_picard_coarse,0.93686,0.065462,0.002623,2.10e-04,0.01491,0.01438,0.0181,0.01037,0.01018,0,1
conf_picard_coarse,0.95127,0.068827,0.002218,2.12e-04,0.01498,0.01479,0.0062,0.01070,0.00423,0,1
conf_picard_coarse,0.96569,0.068233,0.002962,2.21e-04,0.01496,0.01607,0.0357,0.01068,0.00425,0,0
conf_picard_coarse,0.98010,0.058173,0.005547,2.28e-04,0.01498,0.01397,0.0350,0.01070,0.01123,0,1
conf_picard_coarse,0.99451,0.061474,0.000801,2.20e-04,0.01462,0.01272,0.0693,0.01040,0.00318,0,1
conf_picard_coarse,1.00893,0.062520,0.005632,2.13e-04,0.01306,0.01493,0.0668,0.00930,0.00373,1,0
conf_picard_coarse,1.02334,0.052189,0.001845,2.04e-04,0.01415,0.01556,0.0472,0.00511,0.01161,1,0
conf_picard_coarse,1.03775,0.044869,0.006578,1.86e-04,0.01498,0.01199,0.1106,0.00372,0.00976,0,1
conf_picard_coarse,1.05217,0.051722,0.003044,1.71e-04,0.01399,0.01194,0.0791,0.01123,0.00465,1,1
conf_picard_coarse,1.06658,0.051193,0.004782,1.64e-04,0.01278,0.01575,0.1042,0.00319,0.00637,1,0
conf_picard_coarse,1.08099,0.040182,0.004110,1.44e-04,0.01498,0.01510,0.0041,0.00372,0.01146,0,1
conf_picard_coarse,1.09541,0.042282,0.001262,1.37e-04,0.01492,0.01416,0.0260,0.00367,0.00295,0,1
conf_picard_coarse,1.10982,0.034410,0.002696,1.17e-04,0.01495,0.01493,0.0007,0.00370,0.01068,0,1
conf_picard_coarse,1.12423,0.038416,0.004941,1.01e-04,0.01312,0.01493,0.0644,0.01001,0.00373,1,1
conf_picard_coarse,1.13865,0.026272,0.003674,8.51e-05,0.01326,0.01369,0.0159,0.00440,0.01024,1,1
conf_picard_coarse,1.15306,0.027632,0.001580,6.96e-05,0.01403,0.01375,0.0099,0.00895,0.00417,0,1
conf_picard_coarse,1.16747,0.020643,0.001800,4.46e-05,0.01092,0.01091,0.0006,0.00513,0.00513,1,1
conf_picard_coarse,1.18189,0.020643,0.000412,4.46e-05,0.01653,0.01652,0.0002,0.00928,0.00929,1,1
conf_picard_medium,-0.00000,0.096860,0.000404,3.39e-04,0.00743,0.00743,0.0000,0.00000,0.00000,0,0
conf_picard_medium,0.00721,0.096824,0.000323,3.59e-04,0.00677,0.00686,0.0066,0.00098,0.00088,0,0
conf_picard_medium,0.01441,0.096783,0.000801,3.72e-04,0.00688,0.00712,0.0172,0.00153,0.00160,0,0
conf_picard_medium,0.02162,0.094542,0.001141,3.43e-04,0.00729,0.00749,0.0136,0.00184,0.00535,0,0
conf_picard_medium,0.02883,0.095999,0.000448,3.08e-04,0.00734,0.00743,0.0060,0.00531,0.00533,1,0
conf_picard_medium,0.03603,0.093808,0.001740,2.98e-04,0.00733,0.00718,0.0103,0.00189,0.00523,1,0
conf_picard_medium,0.04324,0.095786,0.000148,2.72e-04,0.00717,0.00705,0.0085,0.00492,0.00501,1,1
conf_picard_medium,0.05045,0.095786,0.000005,2.72e-04,0.00759,0.00731,0.0188,0.00229,0.00219,1,1
conf_picard_medium,0.05765,0.096417,0.000432,2.44e-04,0.00740,0.00744,0.0028,0.00561,0.00561,1,1
conf_picard_medium,0.06486,0.096417,0.000223,2.44e-04,0.00702,0.00708,0.0047,0.00160,0.00160,1,1
conf_picard_medium,0.07207,0.096238,0.000152,2.41e-04,0.00738,0.00724,0.0099,0.00179,0.00183,0,0
conf_picard_medium,0.07927,0.096294,0.000231,2.37e-04,0.00748,0.00736,0.0081,0.00185,0.00193,0,0
conf_picard_medium,0.08648,0.096332,0.000208,2.31e-04,0.00748,0.00745,0.0019,0.00185,0.00187,0,0
conf_picard_medium,0.09369,0.098502,0.002113,2.22e-04,0.00727,0.00746,0.0127,0.00511,0.00187,1,0
conf_picard_medium,0.10089,0.094275,0.001769,2.16e-04,0.00748,0.00748,0.0002,0.00210,0.00534,1,0
conf_picard_medium,0.10810,0.096250,0.000746,2.11e-04,0.00764,0.00749,0.0101,0.00586,0.00535,1,1
conf_picard_medium,0.11531,0.096250,0.001434,2.11e-04,0.00705,0.00749,0.0300,0.00135,0.00186,1,1
conf_picard_medium,0.12251,0.093340,0.000729,2.23e-04,0.00715,0.00748,0.0230,0.00165,0.00534,0,1
conf_picard_medium,0.12972,0.094810,0.001442,2.31e-04,0.00745,0.00749,0.0023,0.00187,0.00186,0,1
conf_picard_medium,0.13693,0.092257,0.000532,2.62e-04,0.00746,0.00747,0.0008,0.00187,0.00534,0,0
conf_picard_medium,0.14413,0.091662,0.000713,2.89e-04,0.00748,0.00740,0.0055,0.00185,0.00531,0,0
conf_picard_medium,0.15134,0.090928,0.001224,3.14e-04,0.00748,0.00701,0.0326,0.00185,0.00507,0,0
conf_picard_medium,0.15855,0.089829,0.002308,3.44e-04,0.00748,0.00630,0.0863,0.00186,0.00478,0,1
conf_picard_medium,0.16575,0.091764,0.000561,3.55e-04,0.00739,0.00658,0.0585,0.00178,0.00243,0,1
conf_picard_medium,0.17296,0.093899,0.001219,3.98e-04,0.00727,0.00733,0.0043,0.00511,0.00548,1,1
conf_picard_medium,0.18017,0.093899,0.000765,3.98e-04,0.00748,0.00709,0.0271,0.00210,0.00172,1,1
conf_picard_medium,0.18737,0.096426,0.002814,4.31e-04,0.00732,0.00733,0.0000,0.00547,0.00185,1,0
conf_picard_medium,0.19458,0.092530,0.001524,4.60e-04,0.00710,0.00748,0.0265,0.00173,0.00534,1,0
conf_picard_medium,0.20179,0.092286,0.002144,4.97e-04,0.00721,0.00749,0.0188,0.00181,0.00535,0,1
conf_picard_medium,0.20899,0.096782,0.002052,5.40e-04,0.00744,0.00749,0.0035,0.00529,0.00186,0,1
conf_picard_medium,0.21620,0.097093,0.002143,5.77e-04,0.00723,0.00744,0.0139,0.00507,0.00169,0,0
conf_picard_medium,0.22341,0.092581,0.002495,5.47e-04,0.00723,0.00606,0.0882,0.00501,0.00489,0,1
conf_picard_medium,0.23061,0.094929,0.000172,5.34e-04,0.00748,0.00606,0.1046,0.00541,0.00232,1,1
conf_picard_medium,0.23782,0.092253,0.002767,5.07e-04,0.00740,0.00713,0.0183,0.00180,0.00519,1,1
conf_picard_medium,0.24503,0.096623,0.001790,4.92e-04,0.00746,0.00720,0.0180,0.00532,0.00202,0,1
conf_picard_medium,0.25223,0.097110,0.002555,4.76e-04,0.00737,0.00737,0.0001,0.00522,0.00190,1,0
conf_picard_medium,0.25944,0.095119,0.000910,4.64e-04,0.00748,0.00749,0.0003,0.00199,0.00186,1,0
conf_picard_medium,0.26665,0.094226,0.000407,4.26e-04,0.00730,0.00748,0.0125,0.00553,0.00535,1,0
conf_picard_medium,0.27385,0.091881,0.001515,4.20e-04,0.00698,0.00747,0.0342,0.00167,0.00534,1,0
conf_picard_medium,0.28106,0.090998,0.001942,4.13e-04,0.00722,0.00740,0.0123,0.00188,0.00533,0,0
conf_picard_medium,0.28827,0.092871,0.000404,4.05e-04,0.00745,0.00736,0.0056,0.00533,0.00530,1,1
conf_picard_medium,0.29547,0.092871,0.000823,4.05e-04,0.00745,0.00738,0.0050,0.00188,0.00191,1,1
conf_picard_medium,0.30268,0.090434,0.001347,3.87e-04,0.00749,0.00733,0.0109,0.00186,0.00508,0,0
conf_picard_medium,0.30988,0.092629,0.000917,3.74e-04,0.00749,0.00749,0.0000,0.00535,0.00535,1,1
conf_picard_medium,0.31709,0.092629,0.000840,3.74e-04,0.00749,0.00749,0.0001,0.00186,0.00186,1,1
conf_picard_medium,0.32430,0.089880,0.002010,3.64e-04,0.00748,0.00746,0.0014,0.00185,0.00553,0,1
conf_picard_medium,0.33150,0.091617,0.000285,3.61e-04,0.00749,0.00721,0.0189,0.00186,0.00167,0,1
conf_picard_medium,0.33871,0.092216,0.000429,3.57e-04,0.00749,0.00743,0.0042,0.00186,0.00182,0,0
conf_picard_medium,0.34592,0.092316,0.000740,3.55e-04,0.00744,0.00729,0.0099,0.00532,0.00524,0,0
conf_picard_medium,0.35312,0.092318,0.000988,3.58e-04,0.00733,0.00733,0.0001,0.00530,0.00529,0,1
conf_picard_medium,0.36033,0.094178,0.003077,3.62e-04,0.00722,0.00735,0.0087,0.00525,0.00192,1,1
conf_picard_medium,0.36754,0.089747,0.001164,3.63e-04,0.00724,0.00749,0.0169,0.00196,0.00535,1,0
conf_picard_medium,0.37474,0.087743,0.003007,3.78e-04,0.00743,0.00678,0.0462,0.00189,0.00529,0,1
conf_picard_medium,0.38195,0.089570,0.001041,3.80e-04,0.00745,0.00654,0.0648,0.00187,0.00192,0,1
conf_picard_medium,0.38916,0.090247,0.000257,3.79e-04,0.00747,0.00682,0.0454,0.00187,0.00157,0,0
conf_picard_medium,0.39636,0.090855,0.000400,3.76e-04,0.00748,0.00734,0.0098,0.00186,0.00176,0,0
conf_picard_medium,0.40357,0.091160,0.000676,3.53e-04,0.00749,0.00748,0.0005,0.00535,0.00535,1,1
conf_picard_medium,0.41078,0.091160,0.000588,3.53e-04,0.00748,0.00748,0.0001,0.00185,0.00186,1,1
conf_picard_medium,0.41798,0.091122,0.000467,3.33e-04,0.00718,0.00748,0.0209,0.00500,0.00534,0,0
conf_picard_medium,0.42519,0.090984,0.000324,3.32e-04,0.00721,0.00745,0.0164,0.00497,0.00531,0,0
conf_picard_medium,0.43240,0.090882,0.000347,3.32e-04,0.00713,0.00737,0.0164,0.00519,0.00528,1,0
conf_picard_medium,0.43960,0.088824,0.001453,3.31e-04,0.00719,0.00741,0.0147,0.00202,0.00531,1,1
conf_picard_medium,0.44681,0.090730,0.000779,3.28e-04,0.00727,0.00743,0.0105,0.00197,0.00190,0,1
conf_picard_medium,0.45402,0.090744,0.001090,3.26e-04,0.00730,0.00748,0.0122,0.00181,0.00187,0,0
conf_picard_medium,0.46122,0.088194,0.001264,3.05e-04,0.00735,0.00749,0.0091,0.00180,0.00535,0,1
conf_picard_medium,0.46843,0.089900,0.000525,2.97e-04,0.00742,0.00749,0.0047,0.00187,0.00186,0,1
