state,z,te_cp_gap
conf_newton_medium,0.01441,0.35448
conf_newton_medium,0.02162,0.09359
conf_newton_medium,0.02883,0.41768
conf_newton_medium,0.03603,0.05243
conf_newton_medium,0.04324,0.05795
conf_newton_medium,0.05045,0.01642
conf_newton_medium,0.05765,0.01474
conf_newton_medium,0.06486,0.02211
conf_newton_medium,0.07207,0.03105
conf_newton_medium,0.07927,0.00883
conf_newton_medium,0.08648,0.40534
conf_newton_medium,0.09369,0.29363
conf_newton_medium,0.10089,0.00598
conf_newton_medium,0.10810,0.07788
conf_newton_medium,0.11531,0.38556
conf_newton_medium,0.12251,0.07628
conf_newton_medium,0.12972,0.40831
conf_newton_medium,0.13693,0.53454
conf_newton_medium,0.14413,0.57889
conf_newton_medium,0.15134,0.75700
conf_newton_medium,0.15855,0.42349
conf_newton_medium,0.16575,0.01049
conf_newton_medium,0.17296,0.06889
conf_newton_medium,0.18017,0.42555
conf_newton_medium,0.18737,0.25740
conf_newton_medium,0.19458,0.37169
conf_newton_medium,0.20179,0.42387
conf_newton_medium,0.20899,0.45534
conf_newton_medium,0.21620,0.40363
conf_newton_medium,0.22341,0.08424
conf_newton_medium,0.23061,0.37658
conf_newton_medium,0.23782,0.41079
conf_newton_medium,0.24503,0.44166
conf_newton_medium,0.25223,0.12422
conf_newton_medium,0.25944,0.00935
conf_newton_medium,0.26665,0.42085
conf_newton_medium,0.27385,0.48308
conf_newton_medium,0.28106,0.08771
conf_newton_medium,0.28827,0.01761
conf_newton_medium,0.29547,0.36923
conf_newton_medium,0.30268,0.02884
conf_newton_medium,0.30988,0.00032
conf_newton_medium,0.31709,0.49476
conf_newton_medium,0.32430,0.15792
conf_newton_medium,0.33150,0.03582
conf_newton_medium,0.33871,0.02007
conf_newton_medium,0.34592,0.02352
conf_newton_medium,0.35312,0.42250
conf_newton_medium,0.36033,0.30837
conf_newton_medium,0.36754,0.71121
conf_newton_medium,0.37474,0.31926
conf_newton_medium,0.38195,0.15902
conf_newton_medium,0.38916,0.05485
conf_newton_medium,0.39636,0.01448
conf_newton_medium,0.40357,0.00060
conf_newton_medium,0.41078,0.00374
conf_newton_medium,0.41798,0.03170
conf_newton_medium,0.42519,0.03254
conf_newton_medium,0.43240,0.39659
conf_newton_medium,0.43960,0.07686
conf_newton_medium,0.44681,0.03630
conf_newton_medium,0.45402,0.44055
conf_newton_medium,0.46122,0.07635
conf_newton_medium,0.46843,0.45640
conf_newton_medium,0.47564,0.10631
conf_newton_medium,0.48284,0.00070
conf_newton_medium,0.49005,0.42549
conf_newton_medium,0.49726,0.38708
conf_newton_medium,0.50446,0.10998
conf_newton_medium,0.51167,0.04469
conf_newton_medium,0.51888,0.31442
conf_newton_medium,0.52608,0.01443
conf_newton_medium,0.53329,0.38159
conf_newton_medium,0.54050,0.31095
conf_newton_medium,0.54770,0.04341
conf_newton_medium,0.55491,0.42983
conf_newton_medium,0.56212,0.08434
conf_newton_medium,0.56932,0.43104
conf_newton_medium,0.57653,0.40716
conf_newton_medium,0.58374,0.39699
conf_newton_medium,0.59094,0.08929
conf_newton_medium,0.59815,0.16042
conf_newton_medium,0.60536,0.07552
conf_newton_medium,0.61256,0.03949
conf_newton_medium,0.61977,0.36024
conf_newton_medium,0.62698,0.10513
conf_newton_medium,0.63418,0.11350
conf_newton_medium,0.64139,0.30980
conf_newton_medium,0.64860,0.09557
conf_newton_medium,0.65580,0.03836
conf_newton_medium,0.66301,0.37058
conf_newton_medium,0.67022,0.50437
conf_newton_medium,0.67742,0.09423
conf_newton_medium,0.68463,0.10401
conf_newton_medium,0.69184,0.42529
conf_newton_medium,0.69904,0.09982
conf_newton_medium,0.70625,0.20969
conf_newton_medium,0.71346,0.09672
conf_newton_medium,0.72066,0.23968
conf_newton_medium,0.72787,0.55212
conf_newton_medium,0.73508,0.29011
conf_newton_medium,0.74228,0.09777
conf_newton_medium,0.74949,0.00406
conf_newton_medium,0.75670,0.04086
conf_newton_medium,0.76390,0.02484
conf_newton_medium,0.77111,0.00387
conf_newton_medium,0.77832,0.06706
conf_newton_medium,0.78552,0.03716
conf_newton_medium,0.79273,0.06613
conf_newton_medium,0.79994,0.04536
conf_newton_medium,0.80714,0.45717
conf_newton_medium,0.81435,0.53072
conf_newton_medium,0.82156,0.15533
conf_newton_medium,0.82876,0.05254
conf_newton_medium,0.83597,0.36698
conf_newton_medium,0.84318,0.42248
conf_newton_medium,0.85038,0.12868
conf_newton_medium,0.85759,0.44561
conf_newton_medium,0.86480,0.05104
conf_newton_medium,0.87200,0.46479
conf_newton_medium,0.87921,0.56278
conf_newton_medium,0.88642,0.55121
conf_newton_medium,0.89362,0.51138
conf_newton_medium,0.90083,0.11659
conf_newton_medium,0.90803,0.34636
conf_newton_medium,0.91524,0.05178
conf_newton_medium,0.92245,0.12542
conf_newton_medium,0.92965,0.01548
conf_newton_medium,0.93686,0.35938
conf_newton_medium,0.94407,0.40223
conf_newton_medium,0.95127,0.26117
conf_newton_medium,0.95848,0.46078
conf_newton_medium,0.96569,0.13564
conf_newton_medium,0.97289,0.22963
conf_newton_medium,0.98010,0.37898
conf_newton_medium,0.98731,0.25005
conf_newton_medium,0.99451,0.19381
conf_newton_medium,1.00172,0.12719
conf_newton_medium,1.00893,0.14036
conf_newton_medium,1.01613,0.33411
conf_newton_medium,1.02334,0.12372
conf_newton_medium,1.03055,0.07770
conf_newton_medium,1.03775,0.06771
conf_newton_medium,1.04496,0.06972
conf_newton_medium,1.05217,0.08589
conf_newton_medium,1.05937,0.29592
conf_newton_medium,1.06658,0.29001
conf_newton_medium,1.07379,0.49815
conf_newton_medium,1.08099,0.10673
conf_newton_medium,1.08820,0.27755
conf_newton_medium,1.09541,0.15455
conf_newton_medium,1.10261,0.22047
conf_newton_medium,1.10982,0.31643
conf_newton_medium,1.11703,0.41917
conf_newton_medium,1.12423,0.37083
conf_newton_medium,1.13144,0.75504
conf_newton_medium,1.13865,0.39959
conf_newton_medium,1.14585,0.58272
conf_newton_medium,1.15306,0.03526
conf_newton_medium,1.16027,0.13672
conf_newton_medium,1.16747,0.10518
conf_newton_medium,1.17468,0.16577
conf_newton_medium,1.18189,0.38908
conf_newton_medium,1.18909,0.21684
ls_m1_coarse,-0.00000,0.00000
ls_m1_coarse,0.01441,0.00000
ls_m1_coarse,0.02883,0.00000
ls_m1_coarse,0.04324,0.00000
ls_m1_coarse,0.05765,0.00000
ls_m1_coarse,0.07207,0.00000
ls_m1_coarse,0.08648,0.00000
