face,x,v_plus,v_minus,jump,rel_err_vs_m0
306,9.9167,4.974870e-03,-4.989502e-03,9.964372e-03,-0.0036
307,9.8967,4.975078e-03,-4.989791e-03,9.964868e-03,-0.0035
308,9.9765,4.977763e-03,-4.986005e-03,9.963768e-03,-0.0036
309,9.9565,4.977823e-03,-4.986070e-03,9.963893e-03,-0.0036
310,10.0363,4.979730e-03,-4.984467e-03,9.964197e-03,-0.0036
311,10.0164,4.979961e-03,-4.984573e-03,9.964534e-03,-0.0035
312,10.0961,4.983412e-03,-4.987975e-03,9.971387e-03,-0.0029
313,10.0762,4.983423e-03,-4.987742e-03,9.971165e-03,-0.0029
314,10.1559,4.981269e-03,-4.987157e-03,9.968425e-03,-0.0032
315,10.1360,4.981855e-03,-4.987582e-03,9.969437e-03,-0.0031
316,10.2158,4.978701e-03,-4.984182e-03,9.962883e-03,-0.0037
317,10.1958,4.978479e-03,-4.983682e-03,9.962161e-03,-0.0038
318,10.2756,4.980537e-03,-4.982013e-03,9.962550e-03,-0.0037
319,10.2556,4.980519e-03,-4.981948e-03,9.962466e-03,-0.0038
320,10.3354,4.984312e-03,-4.986402e-03,9.970714e-03,-0.0029
321,10.3155,4.985713e-03,-4.986739e-03,9.972452e-03,-0.0028
322,10.3952,4.972638e-03,-4.995381e-03,9.968018e-03,-0.0032
323,10.3753,4.972218e-03,-4.995053e-03,9.967271e-03,-0.0033
324,10.4551,4.970667e-03,-4.997264e-03,9.967931e-03,-0.0032
325,10.4351,4.970453e-03,-4.997079e-03,9.967533e-03,-0.0032
326,10.5149,4.965784e-03,-4.997216e-03,9.963000e-03,-0.0037
327,10.4949,4.966505e-03,-4.997773e-03,9.964279e-03,-0.0036
328,10.5747,4.962898e-03,-5.001438e-03,9.964336e-03,-0.0036
329,10.5548,4.962830e-03,-5.001341e-03,9.964171e-03,-0.0036
330,10.6345,4.957602e-03,-5.004687e-03,9.962289e-03,-0.0038
331,10.6146,4.957598e-03,-5.004681e-03,9.962278e-03,-0.0038
