s,ds_wake,m_wake
8.563515,4.476179e-03,-7.434828e-07
8.593498,4.476167e-03,-7.411003e-07
8.623480,4.476155e-03,-7.055728e-07
8.653462,4.476143e-03,-7.005855e-07
8.683444,4.476132e-03,-7.322216e-07
8.713427,4.476122e-03,-7.506772e-07
8.743409,4.476111e-03,-7.356445e-07
8.773391,4.476101e-03,-7.022787e-07
8.803373,4.476091e-03,-6.743387e-07
8.833355,4.476082e-03,-6.475259e-07
8.863338,4.476073e-03,-6.078820e-07
8.893320,4.476064e-03,-5.833999e-07
8.923302,4.476055e-03,-5.788589e-07
8.953284,4.476047e-03,-5.751675e-07
8.983267,4.476038e-03,-5.699494e-07
9.013249,4.476030e-03,-5.661768e-07
9.043231,4.476023e-03,-5.593551e-07
9.073213,4.476015e-03,-5.599898e-07
9.103196,4.476008e-03,-5.762033e-07
9.133178,4.476001e-03,-5.975454e-07
9.163160,4.475994e-03,-6.430188e-07
9.193142,4.475988e-03,-6.962345e-07
9.223125,4.475981e-03,-7.093809e-07
9.253107,4.475975e-03,-6.881160e-07
9.283089,4.475969e-03,-6.988678e-07
9.313071,4.475963e-03,-6.579300e-07
9.343054,4.475957e-03,-6.230073e-07
9.373036,4.475952e-03,-5.984971e-07
9.403018,4.475946e-03,-5.804057e-07
9.433000,4.475941e-03,-5.745456e-07
9.462983,4.475936e-03,-5.668237e-07
9.492965,4.475931e-03,-5.518602e-07
9.522947,4.475926e-03,-5.242589e-07
9.552929,4.475922e-03,-5.099107e-07
9.582912,4.475917e-03,-5.131020e-07
9.612894,4.475913e-03,-5.152451e-07
9.642876,4.475909e-03,-5.054860e-07
9.672858,4.475905e-03,-4.780345e-07
9.702841,4.475901e-03,-4.444030e-07
9.732823,4.475897e-03,-4.163934e-07
9.762805,4.475893e-03,-3.977164e-07
9.792787,4.475889e-03,-3.867284e-07
9.822770,4.475886e-03,-3.692226e-07
9.852752,4.475882e-03,-3.455774e-07
9.882734,4.475879e-03,-3.160776e-07
9.912716,4.475876e-03,-2.968987e-07
9.942699,4.475873e-03,-3.013674e-07
9.972681,4.475870e-03,-3.102910e-07
10.002663,4.475867e-03,-3.102922e-07
10.032645,4.475864e-03,-3.004036e-07
10.062628,4.475861e-03,-2.855076e-07
10.092610,4.475858e-03,-2.825038e-07
10.122592,4.475856e-03,-3.072366e-07
10.152574,4.475853e-03,-3.290513e-07
10.182557,4.475851e-03,-3.133794e-07
10.212539,4.475848e-03,-3.481440e-07
10.242521,4.475846e-03,-3.518285e-07
10.272503,4.475844e-03,-3.519642e-07
10.302486,4.475841e-03,-3.744111e-07
10.332468,4.475839e-03,-3.789880e-07
10.362450,4.475837e-03,-3.753975e-07
10.392432,4.475835e-03,-3.728939e-07
10.422415,4.475833e-03,-3.806844e-07
10.452397,4.475831e-03,-3.921696e-07
10.482379,4.475830e-03,-3.905685e-07
10.512361,4.475828e-03,-3.845124e-07
10.542344,4.475826e-03,-3.671551e-07
10.572326,4.475824e-03,-3.532762e-07
10.602308,4.475823e-03,-3.567321e-07
10.632290,4.475821e-03,-3.573428e-07
10.662273,4.475820e-03,-3.583175e-07
10.692255,4.475818e-03,-3.567638e-07
10.722237,4.475817e-03,-3.490320e-07
10.752219,4.475815e-03,-3.521181e-07
10.782201,4.475814e-03,-3.774000e-07
10.812184,4.475813e-03,-3.950321e-07
10.842166,4.475812e-03,-3.999490e-07
10.872148,4.475810e-03,-3.710022e-07
10.902130,4.475809e-03,-3.620811e-07
10.932113,4.475808e-03,-3.731611e-07
10.962095,4.475807e-03,-3.081797e-07
10.992077,4.475806e-03,-3.325405e-07
11.022059,4.475805e-03,-3.263229e-07
11.052042,4.475804e-03,-3.022673e-07
11.082024,4.475803e-03,-3.237264e-07
11.112006,4.475802e-03,-3.518275e-07
11.141988,4.475801e-03,-3.235670e-07
11.171971,4.475800e-03,-3.225107e-07
11.201953,4.475799e-03,-3.114062e-07
11.231935,4.475798e-03,-3.138716e-07
11.261917,4.475797e-03,-2.806861e-07
11.291900,4.475796e-03,-2.415882e-07
11.321882,4.475796e-03,-1.909049e-07
11.351864,4.475795e-03,-1.444856e-07
11.381846,4.475794e-03,-1.203371e-07
11.411829,4.475793e-03,-1.182904e-07
11.441811,4.475793e-03,-1.173181e-07
11.471793,4.475792e-03,-1.371213e-07
11.501775,4.475791e-03,-1.501997e-07
11.531758,4.475791e-03,-1.553619e-07
11.561740,4.475790e-03,-1.309933e-07
11.591722,4.475789e-03,-1.457607e-07
11.621704,4.475789e-03,-1.266306e-07
11.651687,4.475788e-03,-1.095539e-07
11.681669,4.475788e-03,-9.309021e-08
11.711651,4.475787e-03,-1.049171e-07
11.741633,4.475787e-03,-7.638208e-08
11.771616,4.475786e-03,-9.691215e-08
11.801598,4.475786e-03,-8.603345e-08
11.831580,4.475785e-03,-6.664407e-08
11.861562,4.475785e-03,-1.216151e-07
11.891545,4.475784e-03,-1.410843e-07
11.921527,4.475784e-03,-1.495914e-07
11.951509,4.475783e-03,-1.634165e-07
11.981491,4.475783e-03,-1.583870e-07
12.011474,4.475783e-03,-1.449240e-07
12.041456,4.475782e-03,-1.296233e-07
12.071438,4.475782e-03,-1.384669e-07
12.101420,4.475782e-03,-1.458233e-07
12.131403,4.475781e-03,-1.455877e-07
12.161385,4.475781e-03,-1.357802e-07
12.191367,4.475780e-03,-1.478334e-07
12.221349,4.475780e-03,-1.569025e-07
12.251332,4.475780e-03,-1.595832e-07
12.281314,4.475780e-03,-1.668180e-07
12.311296,4.475779e-03,-1.731357e-07
12.341278,4.475779e-03,-1.632624e-07
12.371261,4.475779e-03,-1.426163e-07
12.401243,4.475778e-03,-1.350186e-07
12.431225,4.475778e-03,-1.385516e-07
12.461207,4.475778e-03,-1.389854e-07
12.491190,4.475778e-03,-1.431504e-07
12.521172,4.475777e-03,-1.414396e-07
12.551154,4.475777e-03,-1.425079e-07
12.581136,4.475777e-03,-1.551755e-07
12.611118,4.475777e-03,-1.622335e-07
12.641101,4.475777e-03,-1.709889e-07
12.671083,4.475776e-03,-1.802019e-07
12.701065,4.475776e-03,-1.868443e-07
12.731047,4.475776e-03,-1.877898e-07
12.761030,4.475776e-03,-1.851358e-07
12.791012,4.475776e-03,-1.891426e-07
12.820994,4.475775e-03,-1.942256e-07
12.850976,4.475775e-03,-1.898438e-07
12.880959,4.475775e-03,-1.848463e-07
12.910941,4.475775e-03,-1.778126e-07
12.940923,4.475775e-03,-1.638229e-07
12.970905,4.475775e-03,-1.458651e-07
13.000888,4.475774e-03,-1.283738e-07
13.030870,4.475774e-03,-1.160123e-07
13.060852,4.475774e-03,-1.131098e-07
13.090834,4.475774e-03,-1.193499e-07
13.120817,4.475774e-03,-1.276762e-07
13.150799,4.475774e-03,-1.358407e-07
13.180781,4.475774e-03,-1.453214e-07
13.210763,4.475774e-03,-1.525817e-07
13.240746,4.475773e-03,-1.538619e-07
13.270728,4.475773e-03,-1.575302e-07
13.300710,4.475773e-03,-1.524446e-07
13.330692,4.475773e-03,-1.316168e-07
13.360675,4.475773e-03,-1.510238e-07
13.390657,4.475773e-03,-1.396393e-07
13.420639,4.475773e-03,-1.373110e-07
13.450621,4.475773e-03,-1.531622e-07
13.480604,4.475773e-03,-1.531440e-07
13.510586,4.475773e-03,-1.400444e-07
13.540568,4.475772e-03,-1.435890e-07
13.570550,4.475772e-03,-1.584280e-07
13.600533,4.475772e-03,-1.601574e-07
13.630515,4.475772e-03,-1.514667e-07
13.660497,4.475772e-03,-1.405534e-07
13.690479,4.475772e-03,-1.348311e-07
13.720462,4.475772e-03,-1.154835e-07
13.750444,4.475772e-03,-1.013073e-07
13.780426,4.475772e-03,-1.003228e-07
13.810408,4.475772e-03,-1.060969e-07
13.840391,4.475772e-03,-1.094017e-07
13.870373,4.475772e-03,-1.078612e-07
13.900355,4.475772e-03,-1.119383e-07
13.930337,4.475772e-03,-1.106342e-07
13.960320,4.475771e-03,-1.078171e-07
13.990302,4.475771e-03,-1.052148e-07
14.020284,4.475771e-03,-1.051990e-07
14.050266,4.475771e-03,-1.029816e-07
14.080249,4.475771e-03,-9.774278e-08
14.110231,4.475771e-03,-9.038910e-08
14.140213,4.475771e-03,-8.444420e-08
14.170195,4.475771e-03,-8.176962e-08
14.200178,4.475771e-03,-8.381188e-08
14.230160,4.475771e-03,-8.312301e-08
14.260142,4.475771e-03,-9.005834e-08
14.290124,4.475771e-03,-9.734864e-08
14.320107,4.475771e-03,-7.137409e-08
14.350089,4.475771e-03,-8.404851e-08
14.380071,4.475771e-03,-1.155315e-07
14.410053,4.475771e-03,-7.612487e-08
14.440036,4.475771e-03,-1.078082e-07
14.470018,4.475771e-03,-5.933373e-08
0.000000,6.617954e-03,1.799689e-02
14.500000,4.475771e-03,3.737179e-08
0.009994,6.596651e-03,5.671410e-03
0.019988,6.575561e-03,6.698870e-04
0.029982,6.554680e-03,4.798764e-03
0.039976,6.534006e-03,1.846480e-03
0.049970,6.513539e-03,8.250372e-04
0.059964,6.493275e-03,1.878072e-04
0.069959,6.473212e-03,-1.956915e-04
0.079953,6.453349e-03,-3.757078e-04
0.089947,6.433683e-03,-4.125489e-04
0.099941,6.414213e-03,-4.860692e-04
0.111299,6.392320e-03,-1.036641e-03
0.125918,6.364506e-03,-1.782783e-03
0.144734,6.329299e-03,-2.554082e-03
0.168953,6.284949e-03,-3.216899e-03
0.198469,6.232330e-03,-3.432605e-03
0.228451,6.180446e-03,-3.294831e-03
0.258433,6.130094e-03,-3.038111e-03
0.288415,6.081230e-03,-2.771001e-03
0.318398,6.033809e-03,-2.545085e-03
0.348380,5.987789e-03,-2.375797e-03
0.378362,5.943128e-03,-2.217029e-03
0.408344,5.899787e-03,-2.075166e-03
0.438327,5.857725e-03,-1.962155e-03
0.468309,5.816906e-03,-1.855469e-03
0.498291,5.777292e-03,-1.759239e-03
0.528273,5.738849e-03,-1.673747e-03
0.558256,5.701541e-03,-1.594972e-03
0.588238,5.665335e-03,-1.524008e-03
0.618220,5.630199e-03,-1.457393e-03
0.648202,5.596100e-03,-1.395339e-03
0.678185,5.563009e-03,-1.338175e-03
0.708167,5.530895e-03,-1.284174e-03
0.738149,5.499729e-03,-1.233853e-03
0.768131,5.469484e-03,-1.186978e-03
0.798114,5.440133e-03,-1.143418e-03
0.828096,5.411648e-03,-1.102459e-03
0.858078,5.384005e-03,-1.061560e-03
0.888060,5.357178e-03,-1.025345e-03
0.918043,5.331144e-03,-9.914515e-04
0.948025,5.305878e-03,-9.560007e-04
0.978007,5.281359e-03,-9.223842e-04
1.007989,5.257564e-03,-8.900715e-04
1.037972,5.234472e-03,-8.597739e-04
1.067954,5.212062e-03,-8.320643e-04
1.097936,5.190314e-03,-8.003868e-04
1.127918,5.169208e-03,-7.768929e-04
1.157901,5.148726e-03,-7.534966e-04
1.187883,5.128849e-03,-7.286027e-04
1.217865,5.109559e-03,-7.053411e-04
1.247847,5.090838e-03,-6.828382e-04
1.277829,5.072671e-03,-6.611045e-04
1.307812,5.055040e-03,-6.400475e-04
1.337794,5.037930e-03,-6.199660e-04
1.367776,5.021325e-03,-6.006407e-04
1.397758,5.005211e-03,-5.819121e-04
1.427741,4.989573e-03,-5.637190e-04
1.457723,4.974397e-03,-5.471854e-04
1.487705,4.959669e-03,-5.309212e-04
1.517687,4.945376e-03,-5.116133e-04
1.547670,4.931505e-03,-4.964709e-04
1.577652,4.918044e-03,-4.815762e-04
1.607634,4.904980e-03,-4.664543e-04
1.637616,4.892302e-03,-4.520466e-04
1.667599,4.879999e-03,-4.379738e-04
1.697581,4.868059e-03,-4.246455e-04
1.727563,4.856472e-03,-4.119606e-04
1.757545,4.845227e-03,-3.997374e-04
1.787528,4.834314e-03,-3.875159e-04
1.817510,4.823724e-03,-3.757195e-04
1.847492,4.813446e-03,-3.645141e-04
1.877474,4.803472e-03,-3.539393e-04
1.907457,4.793793e-03,-3.418060e-04
1.937439,4.784399e-03,-3.324057e-04
1.967421,4.775283e-03,-3.229598e-04
1.997403,4.766437e-03,-3.129223e-04
2.027386,4.757851e-03,-3.035938e-04
2.057368,4.749519e-03,-2.946513e-04
2.087350,4.741433e-03,-2.859801e-04
2.117332,4.733586e-03,-2.774759e-04
2.147315,4.725971e-03,-2.691280e-04
2.177297,4.718581e-03,-2.609947e-04
2.207279,4.711409e-03,-2.531587e-04
2.237261,4.704449e-03,-2.456155e-04
2.267244,4.697694e-03,-2.383542e-04
2.297226,4.691139e-03,-2.311929e-04
2.327208,4.684778e-03,-2.242134e-04
2.357190,4.678604e-03,-2.175119e-04
2.387173,4.672613e-03,-2.112342e-04
2.417155,4.666799e-03,-2.051502e-04
2.447137,4.661156e-03,-1.992547e-04
2.477119,4.655681e-03,-1.937235e-04
2.507102,4.650366e-03,-1.875531e-04
2.537084,4.645209e-03,-1.820594e-04
2.567066,4.640205e-03,-1.771694e-04
2.597048,4.635348e-03,-1.714664e-04
2.627031,4.630634e-03,-1.663689e-04
2.657013,4.626060e-03,-1.613669e-04
2.686995,4.621621e-03,-1.566119e-04
2.716977,4.617313e-03,-1.513614e-04
2.746960,4.613132e-03,-1.473902e-04
2.776942,4.609075e-03,-1.433437e-04
2.806924,4.605137e-03,-1.391015e-04
2.836906,4.601316e-03,-1.350212e-04
2.866889,4.597608e-03,-1.315048e-04
2.896871,4.594009e-03,-1.273999e-04
2.926853,4.590516e-03,-1.233226e-04
2.956835,4.587127e-03,-1.204056e-04
2.986818,4.583838e-03,-1.166613e-04
3.016800,4.580646e-03,-1.129248e-04
3.046782,4.577548e-03,-1.099399e-04
3.076764,4.574542e-03,-1.063985e-04
3.106747,4.571624e-03,-1.032782e-04
3.136729,4.568793e-03,-1.005822e-04
3.166711,4.566045e-03,-9.768607e-05
3.196693,4.563379e-03,-9.478711e-05
3.226675,4.560791e-03,-9.199974e-05
3.256658,4.558280e-03,-8.916153e-05
3.286640,4.555843e-03,-8.647002e-05
3.316622,4.553478e-03,-8.389160e-05
3.346604,4.551182e-03,-8.137025e-05
3.376587,4.548955e-03,-7.894815e-05
3.406569,4.546793e-03,-7.661199e-05
3.436551,4.544695e-03,-7.434299e-05
3.466533,4.542660e-03,-7.213086e-05
3.496516,4.540684e-03,-7.005413e-05
3.526498,4.538766e-03,-6.807840e-05
3.556480,4.536906e-03,-6.628011e-05
3.586462,4.535100e-03,-6.410635e-05
3.616445,4.533347e-03,-6.246881e-05
3.646427,4.531647e-03,-6.090809e-05
3.676409,4.529996e-03,-5.907331e-05
3.706391,4.528395e-03,-5.729195e-05
3.736374,4.526840e-03,-5.567428e-05
3.766356,4.525332e-03,-5.414375e-05
3.796338,4.523868e-03,-5.262117e-05
3.826320,4.522447e-03,-5.095882e-05
3.856303,4.521068e-03,-4.976313e-05
3.886285,4.519730e-03,-4.819513e-05
3.916267,4.518432e-03,-4.674101e-05
3.946249,4.517172e-03,-4.566453e-05
