side,x,re_theta_xfoil,theta_x,theta_o,ctau_x,ctau_o,ctau_eq_o,delta_o,s
side_a,0.30278,2362.7198699999994,0.000651,0.0006527321020477683,0.001406850064,0.0014065443108451218,0.0013987883151414158,0.0056422504850123355,0.3254999999999999
side_a,0.31199,2435.0149499999998,0.000673,0.0006743803082118559,0.0014033265210000002,0.0014030198915424691,0.0013969361412978175,0.005832914939271445,0.33470999999999995
side_a,0.32122,2503.9172999999996,0.000694,0.0006955478667923597,0.0013992836490000003,0.0013989646824653377,0.0013931226445969553,0.006022101391543725,0.3439399999999999
side_a,0.33047,2575.6238399999993,0.000716,0.0007172232010766942,0.0013958443209999998,0.0013955442613270202,0.0013907972796201006,0.0062140450371748,0.35319
side_a,0.33974,2646.7705800000003,0.000738,0.0007391594608216873,0.0013927077609999998,0.001392466400865816,0.0013889452498721147,0.006407809254789934,0.36246
side_a,0.34903,2714.4800099999998,0.000759,0.0007607049417115186,0.001389201984,0.0013889729496742661,0.0013856037205004486,0.006600470184141985,0.3717499999999999
side_a,0.35833,2784.77265,0.000781,0.0007829416580041762,0.001386519696,0.0013862607815952569,0.0013841654625798537,0.0067966383380509265,0.38105
side_a,0.36764,2855.0504399999995,0.000803,0.0008049383766330865,0.001383542416,0.0013833107810407458,0.0013816902863721303,0.006992427800369197,0.39037
side_a,0.37697,2925.0045,0.000825,0.0008269906476039735,0.0013806426490000003,0.0013804353124008562,0.0013792185943066985,0.007188922432310641,0.39969999999999994
side_a,0.38631,2997.6969599999993,0.000848,0.0008495704266192537,0.001378265625,0.0013780728929516514,0.00137791846139727,0.007388348077316897,0.4090499999999999
side_a,0.39567,3069.93531,0.000871,0.0008723101625742321,0.0013760390250000002,0.0013758875633317893,0.00137674080617898,0.007589086439521109,0.41840999999999995
side_a,0.40503,3139.0646699999993,0.000893,0.0008943937624231277,0.0013732953640000001,0.0013730936942284934,0.0013736742744398167,0.00778744802093711,0.42777999999999994
side_a,0.41441,3210.26856,0.000916,0.000917641939313395,0.0013715171559999999,0.001371327686133874,0.0013733075891644857,0.007991506026050307,0.43716999999999995
side_a,0.4238,3281.7768299999993,0.000939,0.0009403155441590609,0.001369222009,0.0013690860801435943,0.0013713081246141145,0.008193538969218834,0.44655999999999996
side_a,0.4332,3352.2621599999998,0.000962,0.000963748526086396,0.001367594361,0.0013674656618217315,0.001370839876048719,0.008399549996747205,0.45597
side_a,0.44261,3422.8946999999994,0.000985,0.0009867830340102163,0.001365598116,0.001365506831395382,0.0013691728011480302,0.008604412900625028,0.46538999999999997
side_a,0.45203,3493.08288,0.001008,0.0010100116438611407,0.0013638249,0.0013636861793737143,0.0013677646522367835,0.008810627235115857,0.4748199999999999
side_a,0.46145,3565.87992,0.001032,0.0010338295208325162,0.001362421921,0.0013623207069903907,0.0013674207749971722,0.009019996146309387,0.4842599999999999
side_a,0.47089,3638.7964799999995,0.001056,0.0010572832257867467,0.0013607245439999998,0.0013606349782704695,0.0013659796587575524,0.009228471746242813,0.49371999999999994
side_a,0.48033,3707.62743,0.001079,0.0010810995242183969,0.001359323161,0.001359239268812425,0.0013652137183251547,0.009438839227480934,0.5031699999999999
side_a,0.48979,3779.3081700000002,0.001103,0.0011052684404990675,0.0013581436089999998,0.0013580641155001023,0.0013648691809297563,0.009651461522478439,0.51264
side_a,0.49924,3850.959,0.001127,0.0011292183231484012,0.001356817225,0.0013567051818509106,0.0013638399309035096,0.009863713141227907,0.5221199999999999
side_a,0.50871,3925.56672,0.001152,0.0011533631325521805,0.0013555651239999997,0.0013554713232066733,0.0013630464385082726,0.010077242852414646,0.5316
side_a,0.51818,3996.0244799999996,0.001176,0.001178000544047463,0.0013546080249999999,0.0013545498975612122,0.001362968992183579,0.010293515242054142,0.54109
side_a,0.52766,4069.6965899999996,0.001201,0.0012025734137782501,0.0013536512639999998,0.0013535560298788777,0.0013625151452692694,0.01051011976396807,0.5505899999999999
side_a,0.53714,4139.593499999999,0.001225,0.0012272929581746183,0.0013526948409999999,0.0013526246496113974,0.001362106807610472,0.01072794716584191,0.5600999999999999
side_a,0.54663,4212.2625,0.00125,0.001252370717525952,0.0013519593610000003,0.0013519096356628818,0.0013621560966396375,0.010947830404190406,0.56961
side_a,0.55612,4284.80325,0.001275,0.0012773312199672634,0.0013511505639999999,0.0013510846683358199,0.0013617566107630142,0.01116780999718914,0.5791299999999999
side_a,0.56562,4360.1974199999995,0.001301,0.0013025562845951372,0.0013504155040000001,0.0013503843537106366,0.0013616006443745898,0.011389526753619164,0.58866
side_a,0.57512,4431.372659999999,0.001326,0.0013283993922051432,0.0013500480489999998,0.0013500418809715888,0.0013622910814433285,0.011614466025428932,0.59819
side_a,0.58463,4505.972639999999,0.001352,0.0013539094243310537,0.0013494602249999998,0.0013494623787212547,0.0013621630712010926,0.011838598076758371,0.6077299999999999
side_a,0.59414,4579.81056,0.001378,0.0013799338969698492,0.001349166361,0.001349158194220112,0.0013626880490590736,0.012065480475382362,0.61727
side_a,0.60366,4653.37548,0.001404,0.001405973871897178,0.0013488725290000001,0.001348837978269942,0.001363025796365044,0.012292964352662505,0.62681
side_a,0.61317,4726.464599999999,0.00143,0.0014322572461908949,0.001348652176,0.0013486107130404764,0.0013635043950916063,0.012522151250261617,0.6363599999999999
side_a,0.6227,4802.11173,0.001457,0.0014590573450552855,0.001348652176,0.001348626092122619,0.0013645234122232547,0.01275426779633167,0.6459199999999999
side_a,0.63222,4877.34408,0.001484,0.0014860102828386556,0.0013487256250000002,0.0013486968935990432,0.0013655362778370306,0.012987637035889503,0.65548
side_a,0.64175,4952.4838199999995,0.001511,0.0015127885425234946,0.001348652176,0.0013486420233574828,0.0013660683146868716,0.013220800121473,0.66504
side_a,0.65127,5027.091420000001,0.001538,0.001539869684566784,0.0013487256250000002,0.0013486936600225377,0.0013668085953031555,0.013455932395303818,0.6746099999999999
side_a,0.6608,5106.2262,0.001567,0.0015687597210581631,0.001349680644,0.001349648049579887,0.0013698955639044061,0.013699618704001756,0.68418
side_a,0.67034,5180.24496,0.001594,0.0015958952991399979,0.001349680644,0.0013496833562718698,0.0013702029886416497,0.013936302122383202,0.69375
