protocol,level,scope,state,direction,err_eps_1e-5,err_eps_1e-6,err_eps_1e-7,sweet_spot,veps_omission_abs,veps_omission_scaled,masked_rows
amended,coarse,aug_gamma,last-iterate,0,2.127e-08,1.532e-10,2.908e-10,1.532e-10,,,
amended,coarse,aug_gamma,last-iterate,1,2.127e-08,1.532e-10,2.908e-10,1.532e-10,,,
amended,coarse,phi_cols,last-iterate,0,4.583e-09,2.791e-09,2.144e-08,2.791e-09,,,0
amended,coarse,phi_cols,last-iterate,1,1.157e-08,1.734e-09,9.745e-09,1.734e-09,,,0
amended,coarse,gamma_cols,last-iterate,0,3.266e-09,6.458e-11,6.610e-10,6.458e-11,,,0
amended,coarse,gamma_cols,last-iterate,1,3.266e-09,6.458e-11,6.610e-10,6.458e-11,,,0
amended,coarse,U_cols,last-iterate,0,1.413e-06,1.506e-07,2.244e-08,2.244e-08,3.455e-07,4.116e-07,0
amended,coarse,U_cols,last-iterate,1,5.848e-05,5.531e-08,8.420e-09,8.420e-09,3.750e-07,7.148e-07,0
amended,coarse,full,last-iterate,0,6.379e-09,2.083e-09,1.898e-08,2.083e-09,4.312e-07,2.917e-09,0
amended,coarse,full,last-iterate,1,1.312e-08,2.560e-09,1.893e-08,2.560e-09,3.485e-06,2.788e-08,0
amended,coarse,full,last-iterate,2,1.618e-07,1.142e-09,1.663e-08,1.142e-09,3.920e-07,2.429e-09,0
amended,coarse,full,last-iterate,3,6.845e-09,1.761e-09,1.338e-08,1.761e-09,4.835e-07,2.865e-09,0
amended,medium,aug_phi,seed,0,2.682e-08,3.903e-10,2.834e-09,3.903e-10,,,
amended,medium,aug_phi,seed,1,1.723e-08,8.043e-10,8.750e-09,8.043e-10,,,
amended,medium,aug_gamma,seed,0,9.137e-08,8.801e-10,3.919e-10,3.919e-10,,,
amended,medium,aug_gamma,seed,1,9.137e-08,8.801e-10,3.919e-10,3.919e-10,,,
amended,medium,phi_cols,seed,0,5.205e-08,1.611e-09,1.269e-08,1.611e-09,,,0
amended,medium,phi_cols,seed,1,4.467e-08,1.755e-09,1.592e-08,1.755e-09,,,0
amended,medium,gamma_cols,seed,0,8.400e-09,8.377e-11,3.144e-10,8.377e-11,,,0
amended,medium,gamma_cols,seed,1,8.400e-09,8.377e-11,3.144e-10,8.377e-11,,,0
amended,medium,U_cols,seed,0,1.787e-05,1.645e-08,5.074e-09,5.074e-09,2.117e-16,2.530e-16,0
amended,medium,U_cols,seed,1,5.468e-07,1.235e-08,4.460e-09,4.460e-09,1.058e-16,1.089e-16,0
amended,medium,full,seed,0,6.354e-08,1.936e-09,1.855e-08,1.936e-09,1.027e-06,1.219e-08,0
amended,medium,full,seed,1,3.389e-08,2.171e-09,2.066e-08,2.171e-09,1.802e-06,2.005e-08,0
amended,medium,full,seed,2,2.825e-08,1.381e-09,1.416e-08,1.381e-09,5.829e-07,5.457e-09,0
amended,medium,full,seed,3,4.364e-08,1.829e-09,1.660e-08,1.829e-09,1.212e-06,1.173e-08,0
amended,medium,aug_phi,last-iterate,0,2.684e-08,5.663e-10,3.876e-09,5.663e-10,,,
amended,medium,aug_phi,last-iterate,1,1.722e-08,6.706e-10,5.485e-09,6.706e-10,,,
amended,medium,aug_gamma,last-iterate,0,9.144e-08,8.807e-10,3.388e-10,3.388e-10,,,
amended,medium,aug_gamma,last-iterate,1,9.144e-08,8.807e-10,3.388e-10,3.388e-10,,,
amended,medium,phi_cols,last-iterate,0,5.206e-08,1.772e-09,1.366e-08,1.772e-09,,,0
amended,medium,phi_cols,last-iterate,1,4.467e-08,1.755e-09,2.288e-08,1.755e-09,,,0
amended,medium,gamma_cols,last-iterate,0,8.400e-09,8.392e-11,3.505e-10,8.392e-11,,,0
amended,medium,gamma_cols,last-iterate,1,8.400e-09,8.392e-11,3.505e-10,8.392e-11,,,0
amended,medium,U_cols,last-iterate,0,1.788e-05,1.645e-08,5.074e-09,5.074e-09,1.362e-07,1.627e-07,0
amended,medium,U_cols,last-iterate,1,5.471e-07,1.235e-08,4.460e-09,4.460e-09,1.448e-07,1.491e-07,0
amended,medium,full,last-iterate,0,6.358e-08,2.355e-09,1.906e-08,2.355e-09,1.005e-06,1.194e-08,0
amended,medium,full,last-iterate,1,3.389e-08,1.812e-09,2.517e-08,1.812e-09,1.843e-06,2.050e-08,0
amended,medium,full,last-iterate,2,2.819e-08,1.436e-09,1.567e-08,1.436e-09,5.860e-07,5.486e-09,0
amended,medium,full,last-iterate,3,4.366e-08,1.525e-09,1.616e-08,1.525e-09,1.225e-06,1.185e-08,0
