arm,x,re_theta,H,cf,cf_coles_fernholz,cf_power_law,band,corr_spread,worst_dev,inside
old,8.557366924921638,1200.1294374173897,1.4194348674154156,0.003910402921882976,0.003918846151203552,0.0040775962350959385,0.07941035586744259,0.039705177933721296,0.04100291043383042,1
old,9.214041225526937,1327.1108254781268,1.4140620917390638,0.0038265811328768913,0.0038295344148851864,0.00397634853111847,0.07523254819415251,0.037616274097076255,0.03766455507345878,1
old,9.921107327822968,1460.9885616801969,1.4090503723213228,0.003749042422164485,0.0037470109153694728,0.0038819464285635846,0.070749124479727,0.0353745622398635,0.034236434954687756,1
old,10.68243219245566,1602.2940762688854,1.4043371840483725,0.0036768628340376813,0.00367022471745284,0.0037933741899174216,0.0660000484983041,0.03300002424915205,0.03071443787154482,1
old,11.50217952248015,1751.582558835644,1.3998762647066216,0.0036092928769197175,0.0035983489782923177,0.003709826410668626,0.061015192681169596,0.030507596340584798,0.027099255496105368,1
old,12.384832534747751,1909.436457325455,1.395631936760582,0.0035457228915896687,0.0035307225444015,0.0036306546381368677,0.05581724921794801,0.027908624608974007,0.023392956646183016,1
old,13.335218478721252,2076.4689101887193,1.3915759286155027,0.003485653056154083,0.0034668091720624987,0.00355532972165882,0.050423696219093386,0.025211848109546693,0.01959780694326918,1
old,14.358535036812315,2253.3271012117707,1.3876853931719824,0.003428669841774072,0.003406168432488477,0.0034834147117346168,0.04484815851937896,0.02242407925968948,0.01571586345321596,1
old,15.460378750625228,2440.695580971118,1.3839415818493668,0.0033744279922383724,0.003348434538553088,0.0034145449794073883,0.03910136984962359,0.019550684924811795,0.011748853042193197,1
old,16.646775628570584,2639.2996055780013,1.3803289142976691,0.0033226367638028173,0.0032933006579579246,0.003348413378686419,0.03319186609024183,0.016595933045120914,0.008907812827233075,1
old,17.92421410224279,2849.9085385030903,1.3768343036187631,0.0032730493569930724,0.0032405071021595526,0.0032847589987805266,0.03,0.013563246597590478,0.010042334056861835,1
old,19.2996805118005,3073.3393548683675,1.3734466546374087,0.0032254547280441705,0.0031898323030634377,0.003223358516559895,0.03,0.010455392468246083,0.011167491452927392,1
old,20.780697314420358,3310.460282157961,1.3701564833831372,0.0031796711827709405,0.003141085828071756,0.0031640194626251067,0.03,0.007274623815462359,0.012284081623733067,1
old,22.375364224786882,3562.1946073000277,1.3669556237280516,0.0031355413162929744,0.0030941029079354465,0.0031065749162241204,0.03,0.00402278868290157,0.013392705281796147,1
old,24.092402512616903,3829.5246773143294,1.3638369980105802,0.0030929279785785247,0.003048740102748852,0.0030508792812749615,0.03,0.0007014137740176422,0.01449381526153437,1
old,25.941202699482677,4113.496118964816,1.3607944354385737,0.0030517110295712386,0.003004871834942055,0.002996804890361916,0.03,0.002688230289421354,0.018321559533591047,1
old,27.931875915788538,4415.222301883048,1.3578225267249706,0.003011784707746045,0.002962387590311525,0.0029442392499452043,0.03,0.006145077675342623,0.022941565568116662,1
old,30.075309198773812,4735.889069231336,1.3549165065679358,0.0029730554795710587,0.002921189639233461,0.002893082787278421,0.03,0.009668226699140857,0.027642725138837143,1
old,32.3832250339679,5076.759760059818,1.3520721577555719,0.0029354402693860557,0.002881191166883715,0.0028432469936240812,0.03,0.013256907383996612,0.03242534889466708,0
old,34.868245465731114,5439.18054795275,1.3492857322802096,0.00289886499247332,0.002842314727958649,0.002794652883274371,0.03382091079558458,0.01691045539779229,0.037289822225380576,0
old,37.54396112750317,5824.586121313124,1.3465538859523332,0.0028632633316930073,0.0028044909610130827,0.0027472297063024626,0.04125658198023708,0.02062829099011854,0.04223659387649681,0
old,40.42500556928762,6234.5057316343355,1.3438736238054776,0.0028285757112954,0.002767657512129741,0.0027009138667347193,0.04881980376299384,0.02440990188149692,0.04726616651238058,1
old,43.52713528887078,6670.569637350659,1.3412422542377747,0.002794748431242924,0.002731758128605148,0.002655648008222107,0.05650965860009491,0.028254829300047454,0.052379088866502777,1
old,46.867315904467475,7134.51597228205,1.338657350248006,0.0027617329332049177,0.002696741891664107,0.002611380237206955,0.06432531308416363,0.032162656542081815,0.057575949245436187,1
old,50.46381494007422,7628.19806932658,1.3361167164942263,0.0027294851751183827,0.00266256256358895,0.0025680634596649144,0.07226599913962094,0.03613299956981047,0.06285737015024195,1
old,54.336301730974775,8153.592271858421,1.333618361149863,0.0026979650958402907,0.002629178029573072,0.002525654812218823,0.08033099852623962,0.04016549926311981,0.06822400384559701,1
old,58.505954995783625,8712.806267286778,1.3311604717609626,0.0026671361548506497,0.002596549818439093,0.0024841151721041697,0.0885196300438624,0.0442598150219312,0.0736765286898724,1
old,62.99557866334104,9308.087979396669,1.3287413944175275,0.002636964934999826,0.0025646426893667054,0.002443408733364673,0.09683123895394166,0.04841561947697083,0.07921564615536858,1
old,67.82972658792058,9941.835058467359,1.3263596157434199,0.002607420798189389,0.002533424274146455,0.0024035026389511486,0.1052651882292411,0.05263259411462055,0.08484207836244662,1
