x,y,z,xc_local,z_over_b,side,ds,ds_over_c,H,B,Psi,Ctau1,Ctau2,cf1,pinned,tip_masked
1.062364,0.000000,0.908035,1.0000,0.7590,-1,1.859546e-03,3.455699e-03,1.5292,9.491402e+00,-1.675857e-01,1.826994e-03,4.717438e-06,1.655052e-03,0,0
1.066432,0.000000,0.922448,1.0000,0.7711,-1,1.835693e-03,3.438553e-03,1.5636,4.845375e+00,6.909309e-01,1.217725e-03,1.205508e-05,1.570428e-03,0,0
1.070499,0.000000,0.936861,1.0000,0.7831,-1,1.893754e-03,3.575805e-03,1.5658,1.755066e+01,-7.428339e-01,1.837480e-04,8.310805e-06,1.596386e-03,0,0
1.074567,0.000000,0.951275,1.0000,0.7952,-1,2.233961e-03,4.252343e-03,1.7255,1.875179e+01,-3.808979e-01,-1.198431e-03,-3.933034e-06,1.188915e-03,0,0
1.078635,0.000000,0.965688,1.0000,0.8072,-1,2.173874e-03,4.171748e-03,1.6471,2.389713e+01,-3.799943e-01,2.730391e-04,-1.435588e-05,1.359616e-03,0,0
1.082702,0.000000,0.980101,1.0000,0.8193,-1,2.166071e-03,4.190985e-03,1.6082,2.183230e+01,-9.330084e-01,2.519182e-03,-1.128415e-05,1.473693e-03,0,0
1.086770,0.000000,0.994514,1.0000,0.8313,-1,2.010931e-03,3.923105e-03,1.5482,8.006342e+00,1.127361e-01,2.527355e-03,-2.476464e-06,1.571603e-03,0,0
1.090837,0.000000,1.008928,1.0000,0.8434,-1,1.705825e-03,3.355726e-03,1.4856,-3.468144e+00,1.995756e+00,2.383716e-03,7.553367e-07,1.871469e-03,0,0
1.094905,0.000000,1.023341,1.0000,0.8554,-1,1.629034e-03,3.231705e-03,1.4619,2.018354e+01,-2.303432e+00,1.109540e-03,-6.726023e-06,2.040861e-03,0,0
1.098972,0.000000,1.037754,1.0000,0.8675,-1,1.286871e-03,2.574645e-03,1.4551,3.798849e+01,6.824158e+00,-4.030186e-04,-9.414574e-06,2.253983e-03,0,0
1.103040,0.000000,1.052167,1.0000,0.8795,-1,2.104977e-03,4.247580e-03,1.8609,5.348188e+01,-7.422058e+00,-4.313024e-03,-9.950397e-06,1.868166e-03,0,0
1.107108,0.000000,1.066581,1.0000,0.8916,-1,5.648902e-03,1.149747e-02,7.7231,-1.671342e+01,1.154029e+00,-5.465824e-03,-1.960741e-05,-1.512692e-04,0,0
1.111175,0.000000,1.080994,1.0000,0.9036,-1,3.057360e-03,6.277134e-03,2.4797,1.099250e-01,1.479300e+00,7.937454e-04,1.197039e-04,3.656220e-04,0,0
1.115243,0.000000,1.095407,1.0000,0.9157,-1,2.152260e-03,4.457787e-03,1.8918,1.746039e+00,9.136970e-01,2.208557e-03,-1.417123e-04,9.104451e-04,0,0
1.119310,0.000000,1.109820,1.0000,0.9277,-1,4.139455e-04,8.649900e-04,1.2977,5.961393e+01,6.591569e-01,9.363574e-04,-3.867059e-04,3.274562e-03,0,0
1.123378,0.000000,1.124234,1.0000,0.9398,-1,-5.514590e-05,-1.162676e-04,0.6827,-2.711902e+00,-1.723299e+02,7.216508e-03,-1.759848e-04,8.945809e-03,0,0
1.127446,0.000000,1.138647,1.0000,0.9518,-1,1.066904e-03,2.269779e-03,1.4103,0.000000e+00,1.118424e-14,1.538747e-03,2.283461e-14,2.264633e-03,1,1
1.131513,0.000000,1.153060,1.0000,0.9639,-1,1.029524e-03,2.210259e-03,1.4223,0.000000e+00,0.000000e+00,1.542847e-03,0.000000e+00,2.255998e-03,1,1
1.135581,0.000000,1.167473,1.0000,0.9759,-1,9.962830e-04,2.158608e-03,1.4337,0.000000e+00,0.000000e+00,1.546285e-03,0.000000e+00,2.255465e-03,1,1
1.139648,0.000000,1.181887,1.0000,0.9880,-1,9.762152e-04,2.134804e-03,1.4301,0.000000e+00,0.000000e+00,1.546213e-03,0.000000e+00,2.277673e-03,1,1
0.791334,0.001933,0.000000,0.9817,0.0000,1,5.274856e-03,6.543623e-03,2.6327,7.404897e-01,6.336459e-01,7.136131e-03,-1.073591e-14,2.097187e-04,0,0
0.775116,0.004055,0.000000,0.9616,0.0000,1,7.284939e-03,9.037193e-03,3.4449,-6.186117e+00,6.182936e-02,4.825002e-03,-3.165172e-15,3.748931e-05,0,0
0.752605,0.006995,0.000000,0.9336,0.0000,1,5.827591e-03,7.229308e-03,2.8870,-4.129116e+01,7.060129e-01,3.369551e-03,-2.300224e-15,2.353194e-04,0,0
0.723523,0.010678,0.000000,0.8976,0.0000,1,3.500503e-03,4.342482e-03,2.0687,-2.833508e+01,1.816683e-01,2.342726e-03,-8.375246e-15,6.460159e-04,0,0
0.693917,0.014046,0.000000,0.8608,0.0000,1,2.768459e-03,3.434359e-03,1.9129,-1.617612e+01,4.611634e-01,5.582680e-04,-5.488757e-15,8.498964e-04,0,0
0.664286,0.017182,0.000000,0.8241,0.0000,1,2.257786e-03,2.800854e-03,1.8154,-3.919593e+00,-9.495971e-01,4.233915e-04,-2.930240e-15,1.027878e-03,0,0
0.634634,0.020123,0.000000,0.7873,0.0000,1,2.056661e-03,2.551352e-03,1.8263,-5.303903e-01,-9.976953e-01,-2.430389e-04,3.178851e-15,1.043201e-03,0,0
0.604967,0.022906,0.000000,0.7505,0.0000,1,1.973628e-03,2.448347e-03,1.7894,-4.512337e-01,-1.235133e+00,-8.835905e-05,2.147083e-14,1.131036e-03,0,0
0.575288,0.025555,0.000000,0.7137,0.0000,1,1.810056e-03,2.245431e-03,1.8056,2.818864e+00,-1.972161e+00,-1.373353e-04,6.075638e-14,1.195443e-03,0,0
0.545597,0.028073,0.000000,0.6768,0.0000,1,1.328030e-03,1.647462e-03,1.6527,-6.511536e-01,1.031271e+02,1.139035e-04,1.430357e-13,1.916881e-03,0,0
0.515894,0.030442,0.000000,0.6400,0.0000,1,1.075071e-03,1.333659e-03,1.5051,-1.349715e+00,1.476901e+02,1.685044e-03,-3.302791e-15,2.156690e-03,0,0
0.486177,0.032625,0.000000,0.6031,0.0000,1,1.043938e-03,1.295037e-03,1.7286,-5.714899e-01,4.586343e+01,3.105656e-03,2.473000e-14,1.882722e-03,0,0
0.456444,0.034576,0.000000,0.5662,0.0000,1,1.313969e-03,1.630019e-03,1.8216,1.983070e+00,-2.419574e+00,2.149184e-03,7.036570e-14,1.312011e-03,0,0
0.426694,0.036247,0.000000,0.5293,0.0000,1,9.780064e-04,1.213247e-03,1.6236,-5.999745e+00,-9.607009e+02,-1.113547e-04,1.824719e-14,2.347656e-03,0,0
0.396927,0.037594,0.000000,0.4924,0.0000,1,6.814371e-04,8.453438e-04,1.4143,3.066930e+00,1.783783e+02,5.666693e-04,7.873387e-14,2.657602e-03,0,0
0.367147,0.038585,0.000000,0.4555,0.0000,1,7.277803e-04,9.028340e-04,1.3632,-1.144159e+00,9.320559e+01,2.922539e-03,-7.122660e-14,2.694386e-03,0,0
0.337356,0.039197,0.000000,0.4185,0.0000,1,9.404022e-04,1.166598e-03,1.4087,-8.143372e+00,1.793426e-01,3.917253e-03,-8.322246e-14,2.381059e-03,0,0
0.307560,0.039439,0.000000,0.3815,0.0000,1,6.153115e-04,7.633130e-04,1.4878,-3.597855e+00,8.706436e+01,1.247590e-02,2.803082e-14,2.510533e-03,0,0
0.277763,0.039309,0.000000,0.3446,0.0000,1,5.409723e-04,6.710930e-04,1.5937,-1.025730e+00,-1.038177e+02,-7.635964e-04,-1.805864e-13,2.434173e-03,0,0
0.247970,0.038830,0.000000,0.3076,0.0000,1,5.204247e-04,6.456031e-04,1.4242,-2.309915e-01,-7.013334e+01,1.036516e-03,-5.047331e-13,2.773661e-03,0,0
0.218184,0.038017,0.000000,0.2707,0.0000,1,4.863272e-04,6.033040e-04,1.3799,-1.963347e-01,3.426594e+02,6.717156e-04,-7.186589e-13,2.907984e-03,0,0
0.188409,0.036877,0.000000,0.2337,0.0000,1,4.407941e-04,5.468188e-04,1.3976,-8.531131e-01,-8.348842e+01,3.752344e-04,-2.295149e-12,2.937175e-03,0,0
0.158649,0.035389,0.000000,0.1968,0.0000,1,3.707447e-04,4.599203e-04,1.3813,-5.915101e+00,-5.045416e+00,5.140034e-04,-1.482080e-12,3.058049e-03,0,0
0.128913,0.033495,0.000000,0.1599,0.0000,1,2.669451e-04,3.311536e-04,1.4147,-4.681832e-01,-6.926083e+01,6.916678e-04,-4.213019e-12,3.279596e-03,0,0
0.099214,0.031082,0.000000,0.1231,0.0000,1,2.318853e-04,2.876609e-04,1.5047,-2.388876e+00,1.513851e+00,1.128249e-03,-3.640794e-11,3.092263e-03,0,0
0.069581,0.027968,0.000000,0.0863,0.0000,1,1.404779e-04,1.742672e-04,1.4294,-1.737134e+00,-4.196503e-01,1.005766e-03,-3.447789e-10,3.902467e-03,0,0
0.041340,0.024094,0.000000,0.0513,0.0000,1,7.788326e-05,9.661661e-05,1.6843,-2.985594e-01,-3.893006e-01,2.233397e-03,8.834108e-10,3.608414e-03,0,0
0.020614,0.019886,0.000000,0.0256,0.0000,1,2.748283e-05,3.409331e-05,3.1597,2.586037e-01,-7.383705e-01,1.000000e-08,9.984457e-09,2.582705e-03,0,0
