x_c,cp,surface
0.754484,-0.037890,lower
0.759455,-0.038037,lower
0.764425,-0.032113,lower
0.769394,-0.031981,lower
0.774364,-0.026010,lower
0.779333,-0.025998,lower
0.784301,-0.020094,lower
0.789269,-0.019865,lower
0.794237,-0.013349,lower
0.799204,-0.013387,lower
0.804171,-0.007010,lower
0.809138,-0.006656,lower
0.814104,0.000273,lower
0.819070,-0.000041,lower
0.824035,0.007133,lower
0.829000,0.007074,lower
0.833965,0.014353,lower
0.838929,0.014519,lower
0.843892,0.022553,lower
0.848856,0.022331,lower
0.853818,0.030551,lower
0.858781,0.030595,lower
0.863743,0.039277,lower
0.868704,0.039220,lower
0.873665,0.048345,lower
0.878626,0.048674,lower
0.883586,0.057952,lower
0.888546,0.058132,lower
0.893505,0.068514,lower
0.898464,0.068792,lower
0.903422,0.079727,lower
0.908380,0.080465,lower
0.913337,0.092765,lower
0.918294,0.092262,lower
0.923250,0.106488,lower
0.928205,0.106432,lower
0.933161,0.121093,lower
0.938115,0.121974,lower
0.943069,0.138264,lower
0.948023,0.138120,lower
0.952976,0.159673,lower
0.957928,0.159986,lower
0.962880,0.183176,lower
0.967831,0.185623,lower
0.972782,0.213020,lower
0.977732,0.218201,lower
0.982682,0.253545,lower
0.987630,0.268708,lower
0.992579,0.350172,lower
0.997526,0.373631,lower
