x_c,surface,dstar_over_c,cf
0.110570,lower,2.870000e-04,5.215000e-03
0.118350,lower,3.100000e-04,5.138000e-03
0.126300,lower,3.330000e-04,5.069000e-03
0.134410,lower,3.560000e-04,5.005000e-03
0.142650,lower,3.800000e-04,4.946000e-03
0.151010,lower,4.030000e-04,4.889000e-03
0.159460,lower,4.270000e-04,4.835000e-03
0.168010,lower,4.510000e-04,4.783000e-03
0.176630,lower,4.750000e-04,4.732000e-03
0.185320,lower,4.990000e-04,4.682000e-03
0.194070,lower,5.240000e-04,4.633000e-03
0.202880,lower,5.490000e-04,4.586000e-03
0.211730,lower,5.730000e-04,4.540000e-03
0.220630,lower,5.980000e-04,4.494000e-03
0.229570,lower,6.230000e-04,4.449000e-03
0.238540,lower,6.490000e-04,4.406000e-03
0.247560,lower,6.740000e-04,4.363000e-03
0.256600,lower,6.990000e-04,4.321000e-03
0.265670,lower,7.250000e-04,4.280000e-03
0.274770,lower,7.510000e-04,4.239000e-03
0.283900,lower,7.770000e-04,4.200000e-03
0.293050,lower,8.030000e-04,4.161000e-03
0.302220,lower,8.290000e-04,4.122000e-03
0.311410,lower,8.560000e-04,4.085000e-03
0.320620,lower,8.820000e-04,4.048000e-03
0.329850,lower,9.090000e-04,4.011000e-03
0.339100,lower,9.360000e-04,3.976000e-03
0.348370,lower,9.630000e-04,3.941000e-03
0.357650,lower,9.900000e-04,3.906000e-03
0.366950,lower,1.017000e-03,3.872000e-03
0.376260,lower,1.044000e-03,3.839000e-03
0.385580,lower,1.072000e-03,3.806000e-03
0.394920,lower,1.100000e-03,3.774000e-03
0.404260,lower,1.127000e-03,3.743000e-03
0.413620,lower,1.155000e-03,3.711000e-03
0.422990,lower,1.184000e-03,3.681000e-03
0.432370,lower,1.212000e-03,3.651000e-03
0.441770,lower,1.240000e-03,3.621000e-03
0.451160,lower,1.269000e-03,3.592000e-03
0.460570,lower,1.297000e-03,3.563000e-03
0.469990,lower,1.326000e-03,3.534000e-03
0.479410,lower,1.355000e-03,3.506000e-03
0.488850,lower,1.384000e-03,3.479000e-03
0.498290,lower,1.414000e-03,3.452000e-03
0.507730,lower,1.443000e-03,3.425000e-03
0.517180,lower,1.473000e-03,3.398000e-03
0.526640,lower,1.502000e-03,3.372000e-03
0.536110,lower,1.532000e-03,3.347000e-03
0.545580,lower,1.562000e-03,3.321000e-03
0.555050,lower,1.593000e-03,3.296000e-03
0.564530,lower,1.623000e-03,3.271000e-03
0.574010,lower,1.654000e-03,3.246000e-03
0.583500,lower,1.685000e-03,3.222000e-03
0.592990,lower,1.716000e-03,3.198000e-03
0.602490,lower,1.747000e-03,3.173000e-03
0.611990,lower,1.778000e-03,3.150000e-03
0.621490,lower,1.810000e-03,3.126000e-03
0.631000,lower,1.842000e-03,3.102000e-03
0.640500,lower,1.874000e-03,3.079000e-03
0.650010,lower,1.906000e-03,3.055000e-03
0.659520,lower,1.939000e-03,3.032000e-03
0.669040,lower,1.972000e-03,3.008000e-03
0.678550,lower,2.006000e-03,2.985000e-03
0.688070,lower,2.040000e-03,2.962000e-03
0.697590,lower,2.074000e-03,2.938000e-03
0.707100,lower,2.109000e-03,2.914000e-03
0.716620,lower,2.144000e-03,2.891000e-03
0.726140,lower,2.180000e-03,2.866000e-03
0.735660,lower,2.216000e-03,2.842000e-03
0.745180,lower,2.253000e-03,2.817000e-03
0.754700,lower,2.291000e-03,2.792000e-03
0.764220,lower,2.330000e-03,2.767000e-03
0.773740,lower,2.369000e-03,2.741000e-03
0.783250,lower,2.410000e-03,2.714000e-03
0.792770,lower,2.451000e-03,2.687000e-03
0.802280,lower,2.494000e-03,2.659000e-03
0.811790,lower,2.538000e-03,2.631000e-03
0.821300,lower,2.584000e-03,2.601000e-03
0.830810,lower,2.631000e-03,2.570000e-03
0.840310,lower,2.680000e-03,2.538000e-03
0.849800,lower,2.732000e-03,2.504000e-03
0.859300,lower,2.786000e-03,2.469000e-03
0.868780,lower,2.843000e-03,2.432000e-03
0.878250,lower,2.904000e-03,2.393000e-03
0.887700,lower,2.968000e-03,2.352000e-03
0.897130,lower,3.038000e-03,2.307000e-03
0.906520,lower,3.112000e-03,2.260000e-03
0.915870,lower,3.193000e-03,2.209000e-03
0.925130,lower,3.282000e-03,2.155000e-03
0.934290,lower,3.380000e-03,2.095000e-03
0.943280,lower,3.488000e-03,2.031000e-03
0.952050,lower,3.608000e-03,1.962000e-03
0.960520,lower,3.742000e-03,1.887000e-03
0.968580,lower,3.891000e-03,1.808000e-03
0.976170,lower,4.055000e-03,1.724000e-03
0.983190,lower,4.236000e-03,1.637000e-03
0.989620,lower,4.431000e-03,1.549000e-03
0.995430,lower,4.645000e-03,1.458000e-03
1.000000,lower,4.775000e-03,1.409000e-03
