i,residual,drho,dgamma,gamma_mean,gamma_root,n_lin_solves,n_lin_iters,n_refactor,n_limited,n_floored,wall_cum_s,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta
163,6.645e-05,0.02902127,0.00109096,0.19583878,0.19583878,1,0,0,0,0,14.86247034,0.0,0.02862877,0.0,0.03430873,0.0018339,5.624e-05
164,6.619e-05,0.03561597,0.00107816,0.19637786,0.19637786,1,0,0,0,0,14.92733809,0.0,0.02868878,0.0,0.0342953,0.00180436,5.083e-05
165,6.587e-05,0.02799627,0.00107028,0.196913,0.196913,1,0,0,0,0,14.99095634,0.0,0.02787098,0.0,0.03386219,0.0018036,5.471e-05
166,6.555e-05,0.02721058,0.00106303,0.19744452,0.19744452,1,0,0,0,0,15.05574882,0.0,0.02834435,0.0,0.03458855,0.0017858,4.742e-05
167,6.522e-05,0.02619005,0.00106046,0.19797475,0.19797475,1,0,0,0,0,15.12014821,0.0,0.02832058,0.0,0.03413454,0.001861,5.314e-05
168,6.49e-05,0.02501513,0.00106371,0.1985066,0.1985066,1,0,0,0,0,15.18534849,0.0,0.02889735,0.0,0.03440828,0.00181795,4.976e-05
169,6.458e-05,0.02504133,0.0010766,0.1990449,0.1990449,1,0,0,0,0,15.25113658,0.0,0.02907898,0.0,0.03472939,0.00189784,5.2e-05
170,6.436e-05,0.02565508,0.00109206,0.19959093,0.19959093,1,0,0,0,0,15.3174387,0.0,0.02916049,0.0,0.035055,0.0019833,6.834e-05
171,6.467e-05,0.02577969,0.00108952,0.20013569,0.20013569,1,0,0,0,0,15.38368529,0.0,0.02961213,0.0,0.03469983,0.00185561,5.183e-05
172,6.499e-05,0.02481335,0.00104433,0.20065786,0.20065786,1,0,0,0,0,15.44834111,0.0,0.02862274,0.0,0.03415963,0.00179306,5.047e-05
173,6.532e-05,0.02438598,0.00103426,0.20117499,0.20117499,1,0,0,0,0,15.51433603,0.0,0.02892646,0.0,0.03500312,0.00196185,6.732e-05
174,6.571e-05,0.02368773,0.00096704,0.20165851,0.20165851,1,0,0,0,0,15.58246697,0.0,0.03066458,0.0,0.03544223,0.00193801,5.442e-05
