C,D,arm,geom,k_coh,k_pos,m_inf,n_j1,state,status,sup_frac
0.2809,0.0137,P1,wingbody,P2,P2,0.82,7,WB M0.82,OK,0.04755
0.2914,0.00666,P2,wingbody,P2,P2,0.82,7,WB M0.82,OK,0.04755
0.1541,0.0074,P3,wingbody,P2,P2,0.82,7,WB M0.82,OK,0.04755
,0.01239,S1,wingbody,P2,P2,0.82,7,WB M0.82,OK,0.04755
,0.00729,S2,wingbody,P2,P2,0.82,7,WB M0.82,OK,0.04755
,0.00666,S3,wingbody,P2,P2,0.82,7,WB M0.82,OK,0.04755
0.2432,0.00464,P0,wingbody,P1,P0,0.86,7,WB M0.86,OK,0.10905
0.4572,0.01036,P1,wingbody,P1,P0,0.86,7,WB M0.86,OK,0.10905
0.3013,0.01202,P2,wingbody,P1,P0,0.86,7,WB M0.86,OK,0.10905
0.2224,0.01998,P3,wingbody,P1,P0,0.86,7,WB M0.86,OK,0.10905
,0.01083,S1,wingbody,P1,P0,0.86,7,WB M0.86,OK,0.10905
,0.01202,S2,wingbody,P1,P0,0.86,7,WB M0.86,OK,0.10905
,0.01202,S3,wingbody,P1,P0,0.86,7,WB M0.86,OK,0.10905
0.2212,0.00527,P0,wingbody,P1,P2,0.88,7,WB M0.88,OK,0.15395
0.4786,0.00377,P1,wingbody,P1,P2,0.88,7,WB M0.88,OK,0.15395
0.396,0.00319,P2,wingbody,P1,P2,0.88,7,WB M0.88,OK,0.15395
0.2911,0.00636,P3,wingbody,P1,P2,0.88,7,WB M0.88,OK,0.15395
,0.00377,S1,wingbody,P1,P2,0.88,7,WB M0.88,OK,0.15395
,0.00377,S2,wingbody,P1,P2,0.88,7,WB M0.88,OK,0.15395
,0.0131,S3,wingbody,P1,P2,0.88,7,WB M0.88,OK,0.15395
0.1676,0.01918,P0,wingbody,P1,P0,0.88,7,WB xcoarse,OK,0.13034
0.4666,0.01918,P1,wingbody,P1,P0,0.88,7,WB xcoarse,OK,0.13034
0.3801,0.02313,P2,wingbody,P1,P0,0.88,7,WB xcoarse,OK,0.13034
0.2495,0.02642,P3,wingbody,P1,P0,0.88,7,WB xcoarse,OK,0.13034
,0.02313,S1,wingbody,P1,P0,0.88,7,WB xcoarse,OK,0.13034
,0.02313,S2,wingbody,P1,P0,0.88,7,WB xcoarse,OK,0.13034
,0.02723,S3,wingbody,P1,P0,0.88,7,WB xcoarse,OK,0.13034
0.1914,0.0067,P0,wingbody,P1,P2,0.88,7,WB medium,OK,0.17433
0.4281,0.0067,P1,wingbody,P1,P2,0.88,7,WB medium,OK,0.17433
0.2843,0.00435,P2,wingbody,P1,P2,0.88,7,WB medium,OK,0.17433
0.2135,0.0067,P3,wingbody,P1,P2,0.88,7,WB medium,OK,0.17433
,0.0067,S1,wingbody,P1,P2,0.88,7,WB medium,OK,0.17433
,0.0067,S2,wingbody,P1,P2,0.88,7,WB medium,OK,0.17433
,0.00739,S3,wingbody,P1,P2,0.88,7,WB medium,OK,0.17433
