band,side,eta,x,cp_exp,cp_S0,cp_S2,cp_S4,in_S0,in_S2,in_S4,common
LE,upper,0.65,0.03508,-1.181,-0.4335095719637113,-0.6025248503400622,-1.0872341665993188,True,True,True,True
LE,upper,0.65,0.06022,-1.14,-0.6411076482750172,-0.8150662314501081,-0.8969840295868732,True,True,True,True
LE,upper,0.65,0.10029,-1.031,-0.6761809973208887,-0.7281910946142457,-0.8249976538555946,True,True,True,True
LE,upper,0.8,0.0021,0.304,-0.2592737649849025,-0.06363331317011403,0.2941948160337798,False,True,True,False
LE,upper,0.8,0.00893,-0.324,-0.2666035445763693,-0.04064902778822027,-0.6048802534407287,True,True,True,True
LE,upper,0.8,0.02012,-0.976,-0.27990224340209996,-0.4634266096872004,-0.9109621907907436,True,True,True,True
LE,upper,0.8,0.0353,-1.206,-0.31402882022302103,-0.6497323942666142,-0.8436066596929216,True,True,True,True
LE,upper,0.8,0.06011,-1.161,-0.5789627481684307,-0.8604504367086366,-0.9844905022888896,True,True,True,True
LE,upper,0.8,0.10019,-1.058,-0.6510383190795154,-0.7073076974269668,-0.9550006522448106,True,True,True,True
LE,upper,0.9,0.00057,0.726,-0.29823442458700195,-0.01179555698343164,0.40427546405268355,True,True,True,True
LE,upper,0.9,0.00184,-0.182,-0.2984815987823313,-0.016494136474728114,0.41052999322196365,True,True,True,True
LE,upper,0.9,0.00626,-0.181,-0.29934184283221793,-0.03284667297199615,-0.7367395839561519,True,True,True,True
LE,upper,0.9,0.01228,-0.576,-0.30051348744314943,-0.26153869698440735,-0.7791443584497418,True,True,True,True
LE,upper,0.9,0.02006,-0.985,-0.3020276726712304,-0.6820454336710723,-0.9077344483865862,True,True,True,True
LE,upper,0.9,0.02988,-1.187,-0.30393889361464355,-0.720088120465092,-1.1100844486032941,True,True,True,True
LE,upper,0.9,0.04966,-1.194,-0.5464496683648197,-0.8090466417905249,-0.8041059393438639,True,True,True,True
LE,upper,0.9,0.07448,-1.14,-0.6595627708218479,-0.8912518406835716,-0.8689817822356845,True,True,True,True
LE,upper,0.9,0.09994,-1.093,-0.668435216664414,-0.813799720304808,-0.9032856789272536,True,True,True,True
LE,upper,0.9,0.13986,-1.048,-0.6727900511901772,-0.677117265339894,-0.9266787211387755,True,True,True,True
LE,lower,0.2,0.04993,-0.046,0.0869199813345366,0.036962044412102504,0.029775316109846937,True,True,True,True
LE,lower,0.2,0.02002,-0.034,0.6057114362191509,0.3658304927178361,0.07048577511478005,True,True,True,True
LE,lower,0.2,0.00593,0.549,0.6076670916969904,0.7247698742361267,0.6474889419430866,True,True,True,True
LE,lower,0.44,0.04909,-0.045,0.060959508887230354,0.04727136096244981,0.000997376522767001,True,True,True,True
LE,lower,0.44,0.01922,-0.007,0.526476739837434,0.15982427726173784,0.14495730101234242,True,True,True,True
LE,lower,0.44,0.0052,0.565,0.6222438799645803,0.7764333958458506,0.6846498531360533,True,True,True,True
LE,lower,0.65,0.05016,-0.009,0.056359679664473195,0.09024622338271497,0.007913505604493538,True,True,True,True
LE,lower,0.65,0.0201,0.026,0.5230716990624987,0.24629167690810697,0.11637615413779451,True,True,True,True
LE,lower,0.65,0.00591,0.59,0.5937561907729174,0.8544548815701194,0.5851056748813398,True,True,True,True
LE,lower,0.8,0.05017,-0.027,0.3009898043173786,0.07117361252036028,0.013350607142341478,True,True,True,True
LE,lower,0.8,0.01999,0.025,0.5039788390072936,0.28628187356298024,0.20541756735508127,True,True,True,True
LE,lower,0.8,0.00611,0.58,0.4458323368400076,0.7213031853827149,0.5860023110654982,True,True,True,True
LE,lower,0.8,0.0,0.752,0.420236146044466,0.8374577364649672,0.8414044831552443,True,True,False,False
LE,lower,0.9,0.10029,-0.121,-0.0259676671394132,-0.045332485550653584,-0.09822072969700105,True,True,True,True
LE,lower,0.9,0.0655,-0.078,-0.08400635714225244,0.04822978902437483,-0.026137565419628472,True,True,True,True
LE,lower,0.9,0.0403,-0.079,0.2503894744539532,0.10431642531799823,-0.02286356346466062,True,True,True,True
LE,lower,0.9,0.0203,-0.018,0.4237377920289317,0.45267754271455424,0.13974610606724674,True,True,True,True
LE,lower,0.9,0.00587,0.562,0.42810665497647926,0.7828311534646417,0.4553160324354307,True,True,True,True
MID,upper,0.2,0.15037,-0.442,-0.4651699777805427,-0.5197743315390856,-0.5144607726986351,True,True,True,True
MID,upper,0.2,0.20044,-0.455,-0.4004109447119454,-0.49464991166218913,-0.5078513429523828,True,True,True,True
MID,upper,0.2,0.25039,-0.459,-0.4616293631080154,-0.4899457922884689,-0.5108928680240712,True,True,True,True
MID,upper,0.2,0.3005,-0.462,-0.47203799419512743,-0.5045445804251233,-0.5351106456929029,True,True,True,True
MID,upper,0.2,0.3505,-0.48,-0.4392087932320191,-0.51845479964967,-0.550006021717404,True,True,True,True
MID,upper,0.2,0.40047,-0.505,-0.47740213230464335,-0.5407512166343715,-0.5707764371996806,True,True,True,True
MID,upper,0.2,0.4503,-0.547,-0.4706079795456791,-0.52656124163756,-0.5993397119842763,True,True,True,True
MID,upper,0.2,0.50039,-0.576,-0.45744034590907623,-0.5169778147267532,-0.5968288516260629,True,True,True,True
MID,upper,0.2,0.55025,-0.58,-0.3982931196997851,-0.4695949721854863,-0.5681933350019003,True,True,True,True
MID,upper,0.2,0.60029,-0.397,-0.34834884440857494,-0.40008577284913105,-0.49380519363968356,True,True,True,True
MID,upper,0.2,0.65032,-0.307,-0.2937801186771001,-0.31636590113912355,-0.3116471639855459,True,True,True,True
MID,upper,0.2,0.71026,-0.238,-0.26440346433267586,-0.22476633639228183,-0.19365392644051044,True,True,True,True
MID,upper,0.2,0.78026,-0.16,-0.15138385122035775,-0.1261453501754688,-0.11069629691265387,True,True,True,True
MID,upper,0.44,0.19909,-0.538,-0.4630331878017979,-0.5957853996514355,-0.6360664250931216,True,True,True,True
MID,upper,0.44,0.2508,-0.561,-0.5925080893742675,-0.5657283226912908,-0.6186680808954387,True,True,True,True
MID,upper,0.44,0.29925,-0.559,-0.45088556802613766,-0.5547761624187937,-0.6095069621993792,True,True,True,True
MID,upper,0.44,0.34927,-0.58,-0.4102358232228479,-0.5590555054919862,-0.6143961799795647,True,True,True,True
MID,upper,0.44,0.39931,-0.614,-0.5374847959657496,-0.5589329128134963,-0.6296353041023025,True,True,True,True
MID,upper,0.44,0.44897,-0.647,-0.515550155010154,-0.5226450531550192,-0.6255003602017205,True,True,True,True
MID,upper,0.44,0.49927,-0.701,-0.4179560188653902,-0.4835898188959177,-0.5932727672232191,True,True,True,True
MID,upper,0.44,0.54927,-0.374,-0.40151410247190095,-0.42238898975123007,-0.47691069773860467,True,True,True,True
MID,upper,0.44,0.59931,-0.263,-0.3235598073249379,-0.333757300149308,-0.3190066114344563,True,True,True,True
MID,upper,0.44,0.64917,-0.213,-0.202127353762198,-0.2408271057653442,-0.18528985929674285,True,True,True,True
MID,upper,0.44,0.70897,-0.151,-0.15731931550001826,-0.15862148289388947,-0.12684444754543345,True,True,True,True
MID,upper,0.44,0.77912,-0.081,-0.1353135124919329,-0.07432001112020582,-0.06484367330672441,True,True,True,True
MID,upper,0.44,0.84903,0.01,-0.02368853370438139,-0.005351259996380434,0.0014448964395323664,True,True,True,True
MID,upper,0.65,0.15032,-0.941,-0.5118239521381933,-0.6759989688138076,-0.7878951063386962,True,True,True,True
MID,upper,0.65,0.20029,-0.544,-0.46808437678466114,-0.6490991796862472,-0.7474716601118396,True,True,True,True
MID,upper,0.65,0.25024,-0.594,-0.5940905478321306,-0.6185146923493432,-0.6958762770415419,True,True,True,True
MID,upper,0.65,0.30008,-0.632,-0.493277894364775,-0.612080536777885,-0.6564246513119272,True,True,True,True
MID,upper,0.65,0.35024,-0.664,-0.47668484127367494,-0.5856985783636941,-0.6545965168083373,True,True,True,True
MID,upper,0.65,0.40037,-0.692,-0.4335360691208051,-0.5579151721311664,-0.6193972340711678,True,True,True,True
MID,upper,0.65,0.4501,-0.725,-0.43656403941339617,-0.49325243197171087,-0.5463421599884334,True,True,True,True
MID,upper,0.65,0.50024,-0.301,-0.37294493358000713,-0.43713194315240794,-0.46346535083609197,True,True,True,True
MID,upper,0.65,0.55042,-0.236,-0.2929491554462688,-0.35187867420019675,-0.30089744268875623,True,True,True,True
MID,upper,0.65,0.60071,-0.205,-0.27145989982052465,-0.24543623552869534,-0.20025797906340675,True,True,True,True
MID,upper,0.65,0.65026,-0.164,-0.24725193391427341,-0.1879777813868421,-0.1519246826364805,True,True,True,True
MID,upper,0.65,0.71034,-0.121,-0.09496253187430441,-0.10881065604380451,-0.09418381287222537,True,True,True,True
MID,upper,0.65,0.78008,-0.052,-0.0650979121182033,-0.047071565527191446,-0.044142687793189535,True,True,True,True
MID,upper,0.8,0.15024,-0.996,-0.5410867916891178,-0.7324394757141616,-0.8225694089235117,True,True,True,True
MID,upper,0.8,0.20016,-0.954,-0.547788729592655,-0.6345272065767495,-0.8017680397960953,True,True,True,True
MID,upper,0.8,0.25021,-0.618,-0.5696128178036801,-0.6367008286590562,-0.7264749934392338,True,True,True,True
MID,upper,0.8,0.30021,-0.628,-0.5463496914761559,-0.5907855672722395,-0.6839727669080962,True,True,True,True
MID,upper,0.8,0.35015,-0.677,-0.47543743395045734,-0.5465944499807699,-0.605613019296022,True,True,True,True
MID,upper,0.8,0.39977,-0.303,-0.4505179708782657,-0.4728498568247453,-0.5088758994254589,True,True,True,True
MID,upper,0.8,0.45009,-0.245,-0.3037754220201807,-0.4104888064518447,-0.3799092656738462,True,True,True,True
MID,upper,0.8,0.5002,-0.244,-0.28404287270980955,-0.34208825477546273,-0.2812652301013015,True,True,True,True
MID,upper,0.8,0.55033,-0.222,-0.2890250593183815,-0.2557609512851647,-0.207646483668223,True,True,True,True
MID,upper,0.8,0.60018,-0.181,-0.2772561994058032,-0.1956349240769048,-0.175821342127165,True,True,True,True
MID,upper,0.8,0.65015,-0.139,-0.08613072091720175,-0.14118362569087567,-0.13081499724355297,True,True,True,True
MID,upper,0.8,0.70977,-0.097,-0.07884197639184537,-0.08200601264577544,-0.07937573287840408,True,True,True,True
MID,upper,0.8,0.78012,-0.031,-0.025814848501981694,-0.032426353938167285,-0.027119346313117042,True,True,True,True
MID,upper,0.9,0.17979,-1.002,-0.43494054733677495,-0.6573380851207277,-0.8265698591786572,True,True,True,True
MID,upper,0.9,0.22001,-0.999,-0.4249128520895382,-0.6081247947871182,-0.7575253532758369,True,True,True,True
MID,upper,0.9,0.25964,-0.981,-0.44753181154644206,-0.5451878867316051,-0.6668432505020614,True,True,True,True
MID,upper,0.9,0.29983,-0.341,-0.4568887373468812,-0.5195745132592796,-0.5338934315096917,True,True,True,True
MID,upper,0.9,0.33985,-0.195,-0.41969581855986654,-0.4337828329400735,-0.40371007800947856,True,True,True,True
MID,upper,0.9,0.37986,-0.18,-0.3906874745842548,-0.3765448074248518,-0.3154601557940362,True,True,True,True
MID,upper,0.9,0.41959,-0.208,-0.3627692036715393,-0.3465877630843947,-0.30101710147640376,True,True,True,True
MID,upper,0.9,0.45975,-0.238,-0.36207775231017253,-0.30606799012236674,-0.28487818129999276,True,True,True,True
MID,upper,0.9,0.4996,-0.22,-0.31115979558097534,-0.28043584881306516,-0.23833659901406637,True,True,True,True
MID,upper,0.9,0.53959,-0.2,-0.21212414225461024,-0.23581668702749403,-0.21030882133262443,True,True,True,True
MID,upper,0.9,0.57961,-0.162,-0.1581057201543211,-0.21267741870179147,-0.17899033957767002,True,True,True,True
MID,upper,0.9,0.61987,-0.138,-0.1233170546568431,-0.14879925906734448,-0.13966998870988395,True,True,True,True
MID,upper,0.9,0.65968,-0.107,-0.09696748924407134,-0.09813050019802338,-0.09783963284254472,True,True,True,True
MID,upper,0.9,0.6997,-0.085,-0.08474391825828276,-0.07490523151585918,-0.06832536899785073,True,True,True,True
MID,upper,0.9,0.7394,-0.057,-0.012639705560477648,-0.0482952525782293,-0.02962890930255947,True,True,True,True
MID,upper,0.9,0.7796,-0.021,-0.006735709316011452,-0.014132418427705042,-0.013121787974345673,True,True,True,True
MID,upper,0.9,0.81937,0.021,0.018862414154073297,0.00862078724646591,0.024346893226700844,True,True,True,True
MID,lower,0.2,0.81597,-0.079,-0.024268671797463788,-0.036856637059595763,-0.02820307760192714,True,True,True,True
MID,lower,0.2,0.66593,-0.171,-0.1057938741371675,-0.13220573881479003,-0.14125806479415456,True,True,True,True
MID,lower,0.2,0.56588,-0.229,-0.19164671219736729,-0.20658443151707112,-0.21645481852328435,True,True,True,True
MID,lower,0.2,0.46599,-0.263,-0.1861510925425303,-0.2349548180992435,-0.24566322072748312,True,True,True,True
MID,lower,0.2,0.3658,-0.215,-0.17047409880689818,-0.19669432668750506,-0.21595243348768284,True,True,True,True
MID,lower,0.2,0.26579,-0.164,-0.13894789178221365,-0.13660992032134545,-0.1457692813171626,True,True,True,True
MID,lower,0.2,0.16594,-0.092,-0.05272295493226785,-0.07447109194827219,-0.08656823094712476,True,True,True,True
MID,lower,0.44,0.81705,-0.036,-0.01217016215812456,0.002239027466802917,-0.008170871468025157,True,True,True,True
MID,lower,0.44,0.66698,-0.151,-0.11723697445931301,-0.11984227229278899,-0.1224349502641219,True,True,True,True
MID,lower,0.44,0.56705,-0.228,-0.13454440189542324,-0.1701354270709835,-0.19555380492639818,True,True,True,True
MID,lower,0.44,0.46706,-0.269,-0.199315428080472,-0.22957362837486664,-0.25081438398735484,True,True,True,True
MID,lower,0.44,0.36705,-0.233,-0.1810961857744764,-0.20093473012894525,-0.23604947347258842,True,True,True,True
MID,lower,0.44,0.26705,-0.181,-0.1549715126607843,-0.14936112161196288,-0.17825781282540357,True,True,True,True
MID,lower,0.44,0.16699,-0.13,-0.028975394561327226,-0.09750054166218038,-0.11200783009071463,True,True,True,True
MID,lower,0.65,0.81986,-0.016,-0.01591801627574235,0.011247530376672924,-0.003936874935861001,True,True,True,True
MID,lower,0.65,0.67008,-0.143,-0.09175981322337505,-0.10457039403504424,-0.11442602186167374,True,True,True,True
MID,lower,0.65,0.57033,-0.213,-0.16775504884534578,-0.1566340192172069,-0.1932820491531823,True,True,True,True
MID,lower,0.65,0.47037,-0.279,-0.17705889032859787,-0.22024056450601157,-0.25066448806924624,True,True,True,True
MID,lower,0.65,0.37009,-0.27,-0.1824476745518385,-0.21541304185390825,-0.23510727852153956,True,True,True,True
MID,lower,0.65,0.2701,-0.196,-0.15178873873142684,-0.16221648649807285,-0.1788932463469875,True,True,True,True
MID,lower,0.65,0.1701,-0.121,-0.05759807091883978,-0.09966533781968426,-0.12025250394957299,True,True,True,True
MID,lower,0.8,0.82223,-0.005,-0.009563615164965875,0.004116037980351761,0.007751063758129871,True,True,True,True
MID,lower,0.8,0.67216,-0.131,-0.09264260148841705,-0.09159207516250192,-0.11041874108039727,True,True,True,True
MID,lower,0.8,0.5723,-0.205,-0.17116908252417468,-0.18006540700570545,-0.19350477956904533,True,True,True,True
MID,lower,0.8,0.4722,-0.285,-0.18839226708101936,-0.2293324285875914,-0.2558950830365019,True,True,True,True
MID,lower,0.8,0.37235,-0.283,-0.1549521924559244,-0.23450978226870384,-0.25614909728994667,True,True,True,True
MID,lower,0.8,0.2723,-0.23,-0.15090479452087105,-0.17006064034122415,-0.20835259827088462,True,True,True,True
MID,lower,0.8,0.17242,-0.143,-0.12147953515762044,-0.10554767216759979,-0.1392694271384417,True,True,True,True
MID,lower,0.9,0.84954,0.03,0.04135250344099224,0.008812402321071153,0.018405536546679438,True,True,True,True
MID,lower,0.9,0.75003,-0.062,-0.036937517928888046,-0.05347523852047088,-0.046932523037882166,True,True,True,True
MID,lower,0.9,0.64988,-0.13,-0.10486554572020831,-0.11506587715290122,-0.11464661970182785,True,True,True,True
MID,lower,0.9,0.54983,-0.27,-0.17463636065901203,-0.1866927362040824,-0.1830365251405372,True,True,True,True
MID,lower,0.9,0.4499,-0.268,-0.18007929016625648,-0.2285421854473471,-0.2459850317952756,True,True,True,True
MID,lower,0.9,0.35016,-0.288,-0.2011523798318207,-0.2545101279125096,-0.2712632512894522,True,True,True,True
MID,lower,0.9,0.25012,-0.277,-0.1588952776103838,-0.20714591529073706,-0.23712638999080474,True,True,True,True
MID,lower,0.9,0.15054,-0.182,-0.02387484448212913,-0.11622069434136388,-0.16860728169295516,True,True,True,True
TE,upper,0.2,0.85021,-0.058,-0.02554790329604671,-0.034128535800453004,-0.027848690169707837,True,True,True,True
TE,upper,0.2,0.92027,0.059,0.08370972497565915,0.08043316587573303,0.09162820253537622,True,True,True,True
TE,upper,0.2,0.98518,0.176,0.21684369775896759,0.2577754651082391,0.3259976943975623,True,True,True,True
TE,upper,0.44,0.91929,0.109,0.08827294999089766,0.11849267239243061,0.11210528711997506,True,True,True,True
TE,upper,0.44,0.98387,0.211,0.21646638005253577,0.25153388356270495,0.33577057921231257,True,True,True,True
TE,upper,0.65,0.85001,0.032,-0.013042420986398275,0.01994637871047475,0.024015537673502108,True,True,True,True
TE,upper,0.65,0.92012,0.123,0.07447143666630086,0.1452419597384661,0.118613017734665,True,True,True,True
TE,upper,0.65,0.98611,0.227,0.22065722623885925,0.307009741370044,0.3172599193349926,True,True,True,True
TE,upper,0.8,0.8501,0.043,0.04064491364212376,0.03648298455152147,0.031312488299790706,True,True,True,True
TE,upper,0.8,0.92005,0.132,0.07322796223854254,0.1166565697768249,0.15012346902386323,True,True,True,True
TE,upper,0.8,0.98498,0.225,0.20461021437476748,0.2932207479503963,0.338839026836787,True,True,True,True
TE,upper,0.9,0.85955,0.059,0.05296334008773989,0.04746752876894297,0.05721818074031116,True,True,True,True
TE,upper,0.9,0.8994,0.099,0.08836152164863653,0.07688825841286272,0.10308830365585571,True,True,True,True
TE,upper,0.9,0.94727,0.156,0.15846784344651912,0.15521803535770454,0.18957941722012864,True,True,True,True
TE,upper,0.9,0.98506,0.211,0.18396620984805068,0.2424989425943519,0.3291770954822059,True,True,True,True
TE,lower,0.2,0.9503,0.101,0.13294137981470164,0.16795299177864706,0.1792658544476064,True,True,True,True
TE,lower,0.44,0.94937,0.143,0.13693174477101538,0.16344196677658865,0.19123326263272705,True,True,True,True
TE,lower,0.65,0.94999,0.157,0.15701927727320902,0.19718267799740807,0.18710915797436398,True,True,True,True
TE,lower,0.8,0.94987,0.162,0.14158396141516805,0.2259208637731675,0.20123352484197185,True,True,True,True
TE,lower,0.9,0.94977,0.15,0.13798036205929037,0.1568966037866621,0.17998895809092175,True,True,True,True
