arm,s,x,turbulent,ue,theta_x,theta_o,H_x,H_o,cf_x,cf_o,ctau_x,ctau_o,march
equil,0.36246,0.33974,1,1.19547,0.000738,0.000750548701612242,1.42,1.4201453941833895,0.0031046458328948335,0.0030866498966447774,0.0013927077609999998,0.001392109789516143,A_whole
equil,0.3717499999999999,0.34903,1,1.19213,0.000759,0.0007721314648008147,1.419,1.419186888775132,0.0030868846424029865,0.003070019593708668,0.001389201984,0.0013883757809067217,A_whole
equil,0.38105,0.35833,1,1.18855,0.000781,0.0007944178234033649,1.418,1.4186444087317456,0.0030672824962453887,0.00305146234593572,0.001386519696,0.0013865625773302095,A_whole
equil,0.39037,0.36764,1,1.18516,0.000803,0.0008164622254187687,1.418,1.4178875348550282,0.003049969466075056,0.003034979205341611,0.001383542416,0.001383704620216859,A_whole
equil,0.39969999999999994,0.37697,1,1.18182,0.000825,0.0008385646142915612,1.417,1.4171485561054549,0.0030335823818695147,0.003019074093399226,0.0013806426490000003,0.0013808971652223292,A_whole
equil,0.4090499999999999,0.38631,1,1.17834,0.000848,0.0008612031013130771,1.416,1.4166650518656305,0.003015516574385478,0.0030021583747939346,0.001378265625,0.0013792614550399594,A_whole
equil,0.41840999999999995,0.39567,1,1.17487,0.000871,0.0008840052706788317,1.416,1.4162057243568558,0.002998581088888463,0.002985682336874639,0.0013760390250000002,0.0013777108409508295,A_whole
equil,0.42777999999999994,0.40503,1,1.17173,0.000893,0.0009061439152050401,1.415,1.415361291974227,0.002984082770885803,0.002972224939225424,0.0013732953640000001,0.0013743221876782305,A_whole
equil,0.43716999999999995,0.41441,1,1.16822,0.000916,0.0009294633492919515,1.415,1.415098207956365,0.002966869900122286,0.0029556410552571484,0.0013715171559999999,0.0013736415723244939,A_whole
equil,0.44655999999999996,0.4238,1,1.16499,0.000939,0.0009522022927276779,1.415,1.4144901356639468,0.0029531351159556365,0.002941744327998934,0.001369222009,0.0013713158339323218,A_whole
equil,0.45597,0.4332,1,1.16156,0.000962,0.0009757110908876723,1.414,1.41421192966494,0.002936507910437644,0.0029262653604997255,0.001367594361,0.0013705182253798249,A_whole
equil,0.46538999999999997,0.44261,1,1.15834,0.000985,0.0009988176730502635,1.414,1.4136822390043982,0.002922299574489124,0.0029128071954002224,0.001365598116,0.001368518926227402,A_whole
equil,0.4748199999999999,0.45203,1,1.15512,0.001008,0.0010221217331711806,1.414,1.413218939338886,0.002908636407940897,0.0028993921778669995,0.0013638249,0.0013668117450189505,A_whole
equil,0.4842599999999999,0.46145,1,1.15177,0.001032,0.0010460230346890306,1.413,1.4129834182400824,0.002893920441225272,0.0028849985919784356,0.001362421921,0.0013661555149897858,A_whole
equil,0.49371999999999994,0.47089,1,1.14861,0.001056,0.001069556691855799,1.413,1.4125182163621304,0.0028803045509360452,0.0028723946371542277,0.0013607245439999998,0.0013644047390505274,A_whole
equil,0.5031699999999999,0.48033,1,1.14539,0.001079,0.0010934583773314099,1.413,1.4122043443761458,0.002866794477460568,0.0028592924170153253,0.001359323161,0.0013633467170471696,A_whole
equil,0.51264,0.48979,1,1.14213,0.001103,0.0011177173354839731,1.413,1.4119803093970151,0.002853285901259095,0.002845994627974468,0.0013581436089999998,0.0013626952727375605,A_whole
equil,0.5221199999999999,0.49924,1,1.139,0.001127,0.0011417557073001463,1.412,1.4116143654689872,0.0028404689355988224,0.002833904665346635,0.001356817225,0.001361363890093642,A_whole
equil,0.5316,0.50871,1,1.13587,0.001152,0.0011659921006563609,1.412,1.4113057744329989,0.0028282422431620455,0.0028218269717180805,0.0013555651239999997,0.0013602872348636504,A_whole
equil,0.54109,0.51818,1,1.13266,0.001176,0.0011907271424793798,1.412,1.411150756508019,0.0028146756834069742,0.002809152496560639,0.0013546080249999999,0.0013599175149995651,A_whole
equil,0.5505899999999999,0.52766,1,1.12953,0.001201,0.0012153977458113962,1.412,1.4109163209983846,0.00280207984198349,0.0027972579823546426,0.0013536512639999998,0.0013591633704591406,A_whole
equil,0.5600999999999999,0.53714,1,1.12642,0.001225,0.001240217314533485,1.412,1.4106952966840725,0.0027899894187239614,0.0027855826755523467,0.0013526948409999999,0.0013584603761917606,A_whole
equil,0.56961,0.54663,1,1.12327,0.00125,0.0012653996929699839,1.411,1.4105728711502408,0.0027779197935884586,0.002773623130250846,0.0013519593610000003,0.0013582079059810991,A_whole
equil,0.5791299999999999,0.55612,1,1.12021,0.001275,0.001290464389246077,1.411,1.4103570800219944,0.0027660225932641365,0.0027624860846860726,0.0013511505639999999,0.0013575076012181226,A_whole
equil,0.58866,0.56562,1,1.11714,0.001301,0.0013157970071506742,1.411,1.4101970993851367,0.002754803764063479,0.002751288437064907,0.0013504155040000001,0.0013570586115121458,A_whole
equil,0.59819,0.57512,1,1.11397,0.001326,0.0013417546396218062,1.411,1.4102156258201517,0.0027422999694293035,0.002739313709106189,0.0013500480489999998,0.0013574357043164387,A_whole
