node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
330,0.223263,-1,turbulent,mid,4.103178e-08,5.598908e-08,9.206575e-08,5.223744e-08,2.204533e-09,5.360405e-19,9.206575e-08
331,0.233253,-1,turbulent,mid,-1.110237e-07,5.319320e-08,-2.173057e-07,5.068596e-08,2.329319e-09,3.875500e-19,2.173057e-07
332,0.243246,-1,turbulent,mid,-4.508321e-08,-2.930186e-09,-8.228395e-08,-5.672312e-09,2.242515e-09,2.950205e-19,8.228395e-08
333,0.253240,-1,turbulent,mid,-1.002910e-07,6.875326e-08,-1.931834e-07,7.204273e-08,1.850643e-09,2.261373e-19,1.931834e-07
334,0.263236,-1,turbulent,mid,2.182822e-08,1.388570e-07,3.691811e-08,1.404110e-07,1.592292e-09,2.456969e-19,1.404110e-07
335,0.273232,-1,turbulent,mid,2.381573e-08,-1.676360e-08,4.470308e-08,-2.705041e-08,2.351846e-09,2.047049e-19,4.470308e-08
336,0.283230,-1,turbulent,mid,-6.674271e-08,-2.621384e-08,-1.335255e-07,-2.626278e-08,1.970161e-09,1.456083e-19,1.335255e-07
337,0.293227,-1,turbulent,mid,-5.266165e-08,-1.749171e-08,-1.041404e-07,-1.615990e-08,1.838778e-09,1.185240e-19,1.041404e-07
338,0.303225,-1,turbulent,mid,-2.689693e-08,-1.239094e-08,-5.563510e-08,-1.016105e-08,1.856456e-09,9.384861e-20,5.563510e-08
339,0.313223,-1,turbulent,mid,1.151897e-07,1.240728e-07,2.325710e-07,1.268448e-07,1.363263e-09,6.894780e-20,2.325710e-07
340,0.323220,-1,turbulent,mid,1.083801e-07,1.514195e-07,2.073048e-07,1.539844e-07,-9.032003e-10,5.405007e-20,2.073048e-07
341,0.333217,-1,turbulent,mid,-2.478681e-07,-9.778921e-08,-4.943141e-07,-9.894598e-08,1.131880e-09,5.957599e-20,4.943141e-07
342,0.343214,-1,turbulent,mid,-6.913106e-08,-4.299947e-08,-1.313833e-07,-4.000253e-08,1.471283e-09,4.575714e-20,1.313833e-07
343,0.353210,-1,turbulent,mid,-3.539707e-08,-2.075410e-08,-6.752686e-08,-1.770932e-08,1.642642e-09,3.496624e-20,6.752686e-08
344,0.363205,-1,turbulent,mid,-2.439887e-08,-1.441854e-08,-4.638259e-08,-1.195839e-08,1.700944e-09,2.787240e-20,4.638259e-08
345,0.373199,-1,turbulent,mid,-2.431744e-08,-7.707930e-09,-4.580671e-08,-4.878423e-09,1.685989e-09,2.275067e-20,4.580671e-08
346,0.383192,-1,turbulent,mid,-2.552838e-08,-6.116581e-09,-4.774491e-08,-3.019629e-09,1.659752e-09,1.875781e-20,4.774491e-08
347,0.393184,-1,turbulent,mid,-2.734318e-08,-5.119062e-09,-5.095687e-08,-1.975514e-09,1.625092e-09,1.554102e-20,5.095687e-08
348,0.403175,-1,turbulent,mid,-2.905749e-08,-3.460674e-09,-5.403027e-08,-2.160204e-10,1.592166e-09,1.291328e-20,5.403027e-08
349,0.413165,-1,turbulent,mid,-3.083963e-08,-2.770464e-09,-5.720971e-08,5.879077e-10,1.558385e-09,1.076792e-20,5.720971e-08
350,0.423153,-1,turbulent,mid,-3.243320e-08,-2.504457e-09,-6.011614e-08,9.397963e-10,1.524804e-09,9.006990e-21,6.011614e-08
351,0.433140,-1,turbulent,mid,-3.393585e-08,-2.255443e-09,-6.291146e-08,1.171134e-09,1.492901e-09,7.554204e-21,6.291146e-08
352,0.443126,-1,turbulent,mid,-3.522565e-08,-1.670247e-09,-6.530420e-08,1.876540e-09,1.462912e-09,6.349430e-21,6.530420e-08
353,0.453111,-1,turbulent,mid,-3.641066e-08,-1.125920e-09,-6.748771e-08,2.566900e-09,1.433601e-09,5.350634e-21,6.748771e-08
354,0.463094,-1,turbulent,mid,-3.778632e-08,-1.600678e-10,-7.002739e-08,3.733816e-09,1.402857e-09,4.519939e-21,7.002739e-08
355,0.473076,-1,turbulent,mid,-3.854035e-08,6.185807e-10,-7.146615e-08,4.881424e-09,1.377002e-09,3.827594e-21,7.146615e-08
356,0.483057,-1,turbulent,mid,-3.989094e-08,5.404664e-10,-7.391982e-08,4.940228e-09,1.348158e-09,3.251382e-21,7.391982e-08
357,0.493036,-1,turbulent,mid,-4.118203e-08,6.979600e-11,-7.634837e-08,4.541046e-09,1.318941e-09,2.768212e-21,7.634837e-08
358,0.503014,-1,turbulent,mid,-4.204477e-08,-4.922332e-10,-7.801837e-08,3.864270e-09,1.293547e-09,2.361474e-21,7.801837e-08
359,0.512990,-1,turbulent,mid,-4.306380e-08,-1.670061e-10,-7.996565e-08,4.244846e-09,1.266459e-09,2.017695e-21,7.996565e-08
