idx,sigma_rel_max,abs_align_over_Fnorm
408,1.1032345216433175e-03,1.82945481e-02
409,1.1019258773818943e-03,6.85617856e-03
410,1.0897571406137934e-03,1.13545922e-02
411,1.0855051165208963e-03,2.42099604e-02
412,1.0802949405683718e-03,2.00520709e-03
413,1.0762821317748107e-03,1.75381103e-02
414,1.0684618742117082e-03,2.43709397e-02
415,1.0633233519049717e-03,4.96868757e-03
416,1.0600879735085925e-03,1.68566489e-03
417,1.0496881070466116e-03,1.60909064e-02
418,1.0496192779176924e-03,1.50059196e-02
419,1.0433227861570580e-03,4.94463180e-03
420,1.0369369555253594e-03,1.13004833e-02
421,1.0311900337778034e-03,9.51427593e-03
422,1.0248012527092226e-03,7.55686055e-03
423,1.0222669325163412e-03,1.73434414e-02
424,1.0152203751393415e-03,1.20706868e-01
425,1.0140389352605967e-03,8.27855709e-03
426,1.0081857032592141e-03,1.02639653e-02
427,1.0042672055230941e-03,9.68936287e-02
428,1.0013855293224091e-03,5.02831893e-03
429,9.9438686209390092e-04,1.08086025e-02
430,9.9173748479959990e-04,2.10039259e-02
431,9.8741008788654633e-04,1.38868448e-02
432,9.7682980765197093e-04,3.27315058e-02
433,9.7554050498912354e-04,1.68012342e-02
434,9.6937568418138838e-04,2.07314236e-02
435,9.6204912336612751e-04,2.16742539e-02
436,9.5942403841000972e-04,2.47087709e-02
437,9.4975344730663608e-04,2.66897037e-02
438,9.4175006476706767e-04,3.50199638e-02
439,9.3587247726912822e-04,1.75239840e-02
440,9.3134837771073262e-04,1.82652398e-02
441,9.2354289179749497e-04,1.14391092e-02
442,9.1625711237074668e-04,4.44374496e-02
443,9.1419302827870717e-04,2.39314297e-02
444,9.0426873005205652e-04,1.24450142e-02
445,9.0111428287113066e-04,7.18880848e-02
446,8.9102390980935493e-04,1.96940890e-02
447,8.8517919521245345e-04,9.48787954e-02
448,8.7437347973446972e-04,6.10288669e-03
449,8.7358167005806547e-04,7.66644564e-02
450,8.4652966308394642e-04,3.05116844e-02
451,8.4220954255108849e-04,6.20228222e-02
452,8.1739675523744948e-04,8.11185243e-02
453,8.1400731493946660e-04,1.70516762e-02
454,7.8963402973383345e-04,2.41082845e-02
455,7.8211978106507954e-04,4.77982947e-02
456,7.5693216930929703e-04,5.19047364e-02
457,7.5118340360706920e-04,4.65578709e-02
458,7.4018018045246016e-04,2.08313362e-03
459,7.1574765471474366e-04,1.12126138e-02
460,6.9115636314196047e-04,2.05678779e-02
461,6.7575507715794865e-04,8.25546966e-03
462,6.5553112626089453e-04,1.34021142e-01
463,6.5476545433452017e-04,6.20794774e-02
464,6.5040986390667917e-04,5.99332966e-02
465,6.2681863679251327e-04,1.11486194e-01
466,6.1394005850582008e-04,7.34482159e-02
467,5.9749320049373440e-04,8.81806320e-02
468,5.9585999454843082e-04,9.95979277e-03
469,5.9357985248423880e-04,4.11039504e-02
470,5.8329417510893391e-04,2.78586777e-02
471,5.6403654467894330e-04,9.87268580e-03
472,5.3480483238425782e-04,3.58682149e-02
473,5.2602161751267597e-04,3.38492864e-02
474,5.1864550829405418e-04,2.30122993e-02
475,4.8386860749502454e-04,1.04233422e-01
476,4.8239110320346529e-04,7.82787258e-02
477,4.5192121469761639e-04,7.57007091e-02
478,4.5153379371923818e-04,1.27741424e-01
479,4.1776653918863159e-04,1.55819770e-02
480,4.1485272719076643e-04,1.51269891e-03
481,3.7066645550382760e-04,3.83876644e-02
482,3.5486872808198028e-04,3.39289008e-02
483,3.4522618609882165e-04,2.62907888e-02
484,3.4304162470309680e-04,2.96182354e-02
485,3.2189591254372862e-04,3.82386030e-03
486,3.1065922258396398e-04,9.14512192e-02
487,2.9071460236625618e-04,3.90827145e-03
488,2.8768570025523296e-04,4.63987728e-02
489,2.7898956922863444e-04,1.46218832e-01
490,2.5796858909716154e-04,1.48210467e-01
491,2.3891220475838378e-04,7.46322653e-02
492,2.2936197048106590e-04,1.01002424e-01
493,2.2651848109321080e-04,1.83981173e-02
494,1.9743049574813375e-04,2.64807633e-03
495,1.8660255815399716e-04,1.20596805e-01
496,1.8406643904782057e-04,1.90274344e-03
497,1.4850378669027523e-04,1.44449785e-01
498,1.3963855455048732e-04,1.14390279e-02
499,1.3490562046078016e-04,9.53590001e-03
500,1.2112460071981371e-04,6.87038808e-15
501,1.2112198584869084e-04,2.86933780e-16
502,1.2070735147096320e-04,1.22363913e-05
503,1.2070491071123582e-04,2.87952145e-05
504,1.2068980303075385e-04,1.03618339e-16
505,1.2068736071465200e-04,5.50984653e-17
506,1.2034946314649844e-04,7.47153470e-06
507,1.2034686789250555e-04,7.17652175e-06
508,1.1921487107159779e-04,1.01344820e-14
509,1.1921094347325992e-04,3.73092273e-16
510,1.1879243494175026e-04,2.80518895e-06
511,1.1878858634618017e-04,1.16932717e-05
512,1.1821968043682429e-04,4.19285373e-17
513,1.1821385480194281e-04,1.17333615e-14
514,1.1787565895263568e-04,5.67788697e-06
515,1.1786987739905770e-04,1.45720595e-05
516,1.1731520604309415e-04,7.73299088e-15
517,1.1731238871511042e-04,9.83425860e-15
518,1.1688734542751696e-04,4.42459840e-06
519,1.1688454505457797e-04,2.33961235e-05
520,1.1578431319371791e-04,1.01706392e-14
521,1.1577157166943456e-04,1.74765802e-14
522,1.1543644286216825e-04,2.07557889e-05
523,1.1542381089819702e-04,2.66567059e-05
524,1.1541273981768968e-04,1.72466589e-15
525,1.1541163336266116e-04,1.97155114e-14
526,1.1497953026741471e-04,6.31027261e-06
527,1.1497831604679436e-04,1.59414114e-05
528,1.1351318807305565e-04,8.70109306e-15
529,1.1350925369527624e-04,6.66022951e-15
530,1.1338137807238429e-04,5.03906634e-14
531,1.1335914716817391e-04,4.83493273e-14
532,1.1307413752279715e-04,5.66444382e-05
533,1.1307010193965569e-04,2.28405178e-05
534,1.1302958302335415e-04,7.62429748e-05
535,1.1300731097827087e-04,3.27584600e-05
536,1.1162014238358377e-04,1.30124917e-14
537,1.1161369172339954e-04,6.72039188e-15
538,1.1117516354654873e-04,4.07603478e-05
539,1.1116864695943634e-04,1.17595619e-04
540,1.1101050648703041e-04,1.24804406e-13
541,1.1097235724585069e-04,2.47614797e-15
542,1.1065473491070598e-04,2.18205649e-04
543,1.1061634238186501e-04,1.54234347e-04
544,1.0972434273023260e-04,1.06158644e-13
545,1.0971654687922335e-04,1.39399967e-14
546,1.0927323121540486e-04,1.88014785e-04
547,1.0926531189355308e-04,1.69139013e-04
548,1.0866872065702763e-04,1.79929295e-14
549,1.0861444146343936e-04,1.13835803e-14
550,1.0830929533406488e-04,1.53663418e-03
551,1.0825417922205873e-04,1.18544783e-03
552,1.0783376578197275e-04,1.31563676e-12
553,1.0782090782709413e-04,2.46915710e-12
554,1.0781205808892281e-04,7.50143636e-02
555,1.0737637606511237e-04,3.87795277e-04
556,1.0736311768376842e-04,3.12480491e-04
557,1.0681445208270391e-04,1.25126971e-01
558,1.0636667740885737e-04,4.60312385e-15
559,1.0629135048751254e-04,3.68215422e-14
560,1.0600308851487389e-04,5.42712429e-04
561,1.0595718088567387e-04,7.55562404e-13
562,1.0594191616370308e-04,1.82393748e-14
563,1.0592623896966860e-04,3.41627579e-04
564,1.0592510240098389e-04,6.15406819e-14
565,1.0547765351248079e-04,7.41298015e-05
566,1.0546036763541984e-04,7.89649528e-04
567,1.0409553374781763e-04,3.54127411e-14
568,1.0405852266834963e-04,3.51434918e-14
569,1.0403485222157474e-04,3.20833485e-14
570,1.0399911968295662e-04,8.44151409e-15
571,1.0372812929290958e-04,2.72878557e-04
572,1.0370353584436620e-04,4.60480545e-03
573,1.0362898603381588e-04,2.11176277e-04
574,1.0358761208463985e-04,8.43503539e-05
575,1.0356335176791049e-04,3.05329687e-04
576,1.0217377437705152e-04,6.39427783e-15
577,1.0213801543649022e-04,5.84522575e-15
578,1.0185364227526328e-04,7.22700058e-16
579,1.0173876122855397e-04,1.65573267e-15
580,1.0169554843169610e-04,6.22955362e-05
581,1.0165901247358272e-04,2.45140674e-04
582,1.0148239547530765e-04,1.86065714e-04
583,1.0136325818427810e-04,1.83191699e-04
584,1.0029425996752807e-04,2.16134317e-14
585,1.0024380482601311e-04,1.77999223e-14
586,9.9809026040538940e-05,4.12453222e-06
587,9.9757756950065142e-05,2.93705791e-04
588,9.9637541002008703e-05,6.29366076e-16
589,9.9508024290285356e-05,5.73407087e-15
590,9.9262558871631047e-05,1.44152932e-04
591,9.9126852334807889e-05,1.69499311e-04
592,9.8422246073465153e-05,7.84151883e-15
593,9.8352671644083391e-05,4.00542846e-15
594,9.7929406490621413e-05,7.35417625e-05
595,9.7858799926579834e-05,2.95238730e-04
596,9.7449435282909795e-05,3.69246737e-16
597,9.7309170547442244e-05,3.51193165e-15
598,9.7070629773877312e-05,1.09760946e-04
599,9.6921857430345057e-05,1.71953919e-04
600,9.6555723762151827e-05,5.22836560e-17
601,9.6466621152334057e-05,9.80190902e-15
602,9.6055002320857253e-05,9.23960875e-05
603,9.5964694036870514e-05,3.51751893e-04
604,9.5284753193837450e-05,9.79128848e-16
