x,jump_legacy,jump_pin
2.4047,0.08278,8.92e-02
1.1578,0.05539,5.98e-02
1.2976,0.01905,2.06e-02
1.2316,0.07831,8.43e-02
1.0431,0.06025,6.50e-02
1.0089,0.06253,6.75e-02
1.1474,0.03198,3.45e-02
1.7973,0.07175,7.74e-02
2.6125,0.08363,9.01e-02
2.7228,0.08460,9.12e-02
3.2522,0.04795,5.18e-02
1.9446,0.08044,8.67e-02
2.1063,0.08350,9.00e-02
0.9353,0.07314,7.88e-02
1.0772,0.05367,5.80e-02
1.2415,0.02733,2.95e-02
0.9071,0.07491,8.07e-02
2.5765,0.08163,8.80e-02
2.0670,0.05471,5.90e-02
2.0897,0.06969,7.51e-02
2.3240,0.06895,7.44e-02
2.2676,0.06828,7.36e-02
2.0314,0.07478,8.06e-02
2.1963,0.08619,9.28e-02
0.9549,0.07610,8.20e-02
1.0224,0.07705,8.30e-02
1.4128,0.05368,5.79e-02
1.3609,0.06189,6.68e-02
1.2313,0.07147,7.71e-02
1.1668,0.07831,8.43e-02
0.9792,0.06858,7.40e-02
1.3915,0.07967,8.58e-02
1.2207,0.02460,2.66e-02
0.9524,0.07149,7.71e-02
1.3109,0.07274,7.84e-02
2.0454,0.08192,8.83e-02
1.0830,0.05189,5.60e-02
1.0927,0.07472,8.05e-02
1.0574,0.05719,6.18e-02
1.6015,0.08027,8.65e-02
2.3302,0.07887,8.50e-02
0.8854,0.07593,8.18e-02
1.1225,0.07548,8.13e-02
0.8746,0.07653,8.24e-02
1.0936,0.05163,5.58e-02
1.0625,0.05751,6.21e-02
1.1492,0.02015,2.17e-02
1.1539,0.02179,2.35e-02
1.1504,0.02566,2.77e-02
1.1605,0.01896,2.05e-02
1.1799,0.01908,2.06e-02
1.1506,0.01726,1.87e-02
1.1504,0.01807,1.95e-02
1.1467,0.02218,2.39e-02
1.4843,0.07949,8.56e-02
2.2987,0.08522,9.18e-02
2.3320,0.07792,8.40e-02
1.1942,0.05101,5.51e-02
1.1120,0.03721,4.02e-02
1.2110,0.06064,6.55e-02
1.2649,0.06515,7.03e-02
1.3655,0.06383,6.89e-02
2.0035,0.08291,8.93e-02
1.4255,0.07516,8.10e-02
1.2328,0.07549,8.13e-02
1.4478,0.07968,8.58e-02
1.1353,0.06145,6.63e-02
2.4353,0.08446,9.10e-02
1.1195,0.07159,7.72e-02
1.3446,0.07589,8.18e-02
1.1353,0.05000,5.40e-02
1.5943,0.08135,8.76e-02
1.9722,0.08031,8.65e-02
2.4511,0.08853,9.54e-02
2.9979,0.08124,8.76e-02
1.2215,0.02994,3.23e-02
1.5648,0.07150,7.71e-02
1.4318,0.06843,7.38e-02
2.0915,0.08196,8.83e-02
